Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Cogito CL,Westwood AP,Brianna Aaron,Aff,29,29
Harvard-Westlake NL,Coppell RM,Diana Alvarez,Aff,28,28
Fairview AK,Harvard-Westlake SW,Nikki Aqui,Neg,27,28
Peninsula KD,Little Rock Central MG,Vishvak Bandi,Neg,28,29
Proof DR,Monta Vista RD,Joseph Barquin,Neg,29,29
Isidore Newman EE,Immaculate Heart MF,Brett Boelkens,Aff,30,28
Albuquerque LN,James Logan SB,Austin Broussard,Aff,28,28
Cardinal Gibbons RS,Archbishop Mitty AC,Vishan Chaudhary,Aff,29,28
Evergreen Valley SV,Nova 42 RS,Dominic Cingoranelli,Neg,27,28
Denver East SB,Immaculate Heart JL,Leah Clark-Villanueva,Neg,28,29
Honor VD,Westridge KY,River Cook,Aff,29,29
Bridgeland Independent PT,ModernBrain AK,Keshav Dandu,Aff,28,28
Peninsula WW,Archbishop Mitty AS,Ari Davidson,Neg,28,29
Harvard-Westlake RV,Nova 42 NJ,Danielle Dosch,Aff,29,28
Mira Loma SG,Cogito IC,David Dosch,Aff,28,28
Harker AV,Stockdale GS,Raunak Dua,Neg,28,29
Stockdale VA,Cupertino IS,Nick Fleming,Aff,28,28
Nova 42 JF,Little Rock Central XJ,Kristina Getty,Neg,28,28
Peninsula RM,Coppell EH,Colton Gilbert,Aff,29,28
Nova 42 SJ,Westwood EG,Saran Gopalakrishnan,Neg,20,29
Peninsula SM,St Francis HU,Khamani Griffin,Aff,30,28
Harvard-Westlake JH,Peninsula BD,Gerard Grigsby,Neg,28,30
Marlborough SL,Brentwood MD,Derek Hilligoss,Aff,28,28
Cupertino YA,Leland MN,Lisa Kahler,Aff,29,29
Archbishop Mitty AA,Northland Christian CS,Saketh Kotapati,Neg,28,28
Mission San Jose MA,Harker RM,Gordon Krauss,Neg,28,29
Westridge TW,Harvard-Westlake MT,Julian Kuffour,Neg,29,29
Mission San Jose SS,Amador Valley EL,Tanish Kumar,Aff,30,30
Marlborough AK,Nova 42 CH,Truman Le,Aff,28,28
Peninsula AB,Harker VZ,Joel Lemuel,Aff,29,28
Harvard-Westlake ML,Golden State NK,Nethmin Liyanage,Aff,29,28
Immaculate Heart EL,James Logan MA,Brayan Loayza,Aff,28,28
Harker AS,Westwood SP,Aditya Madaraju,Aff,29,28
