Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
ChaCou AC,Christopher Columbus AM,Beth Behrend,Aff,28,28
McNeil AG,Lexington AKo,Ben Bozza,Aff,28,28
Lexington AnMa,Stuyvesant MZ,Vandan Patel,Neg,28,28
Stuyvesant DZ,Bronx Science SP,Lisa - Kick Gardner,Aff,29,28
Harrison EM,Princeton PE,Kayla Graham,Neg,28,29
Nashua HS South EG,Harrison MB,Eric He,Aff,29,28
Princeton VC,Stuyvesant HJ,Colter Heirigs,Neg,28,28
Harrison TB,West Des Moines Valley LS,Jian Hu,Neg,28,28
Christopher Columbus NG,Lexington AM,Animesh Joshi,Neg,28,28
Brophy TJ,Princeton JG,T.J. Maher,Neg,29,29
Bronx Science VT,Princeton AS,Akshay Manglik,Neg,28,29
Lexington EY,Brophy CC,Justin Sayoto,Aff,29,28
Princeton DW,Leland MN,Jayesh Patel,Aff,27,27
Bergen County Academies AK,Harrison JG,Andrea Reier,Aff,29,28
Hunter AI,Scarsdale DW,Pratik Shah,Aff,28,28
Stuyvesant EL,Mission San Jose AA,Samuel Shih,Neg,28,28
Lexton TG,Edgemont Junior-Senior AJ,Forrest Weintraub,Aff,28,28
San Mateo YR,,,,,
