Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Sequoia AS,Strake Jesuit  JW,Rishi Mukherjee,Neg,30,30
Durham BG,Lexington AR,Tyler Wood,Neg,29,29
Coppell RM,Brentwood AR,Jasmine Stidham,Neg,28,28
Brookfield East DJ,Durham SA,Vidya Reddy,Aff,29,28
Harker DS,Peninsula SM,Sreyaash Das,Aff,29,29
Carnegie Vanguard SR,Immaculate Heart AW,Cale McCrary,Aff,30,28
Sage MP,Strath Haven AM,Tommy Jordan,Aff,30,29
Marlborough VA,Sam Barlow EL,Sim Guerrero,Neg,28,28
New Trier RK,Marlborough MS,Devin Anderson,Neg,28,28
Harvard-Westlake JH,Strake Jesuit  JK,Gordon Krauss,Aff,29,29
Scarsdale OL,Unionville PW,Henry Eberhart,Aff,29,29
Holy Cross JD,Westlake AK,Conor Obrien,Neg,26,28
Charlotte Latin AP,Scripps Ranch AS,Nethmin Liyanage,Neg,28,30
Peninsula BD,Harvard-Westlake MT,David Kilpatrick,Aff,29,28
Village RB,Holy Cross ND,Chris Randall,Neg,29,29
Montgomery JA,Thomas Edison EnergySmart Charter VG,Praphulla Suryawanshi,Aff,29,29
Northland Christian LB,American Heritage Broward EM,Jalyn Wu,Neg,29,29
Ramsay DF,Charlotte Latin EL,Claudia Ribera,Neg,29,29
Harrison AC,Lexington AT,Nathan Frenkel,Aff,29,29
Millburn AX,Cardinal Gibbons RS,Nigel Taylor-Ward,Aff,30,29
Lexington AK,Monta Vista RD,David Herrera,Aff,29,29
Strake Jesuit  JY,Durham RL,Rachel Ding,Aff,28,28
Bridgeland PT,Scarsdale KS,Becca Traber,Aff,29,29
Ardrey Kell AS,Lincoln East EB,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Westlake MR,Memorial BD,Julian Kuffour,Aff,29,29
Pennsbury GB,NSU SF,Shampurna Mitra,Neg,27,28
Immaculate Heart JL,Lexington BF,Priya George,Aff,28,27
Strake Jesuit  JS,Harvard-Westlake CC,Grant Brown,Aff,29,29
North Allegheny RR,St Agnes EH,Chris Castillo,Neg,28,28
Marlborough MJ,North Allegheny ST,Yoyo Lei,Neg,28,28
Lynbrook SY,Harvard-Westlake IC,Alex Berry,Aff,29,29
Holy Ghost Prep CR,Lincoln East BH,Chris Colvin,Neg,28,29
Memorial SC,American Heritage Broward SS,Andrew Shaw,Neg,29,29
Loveless Academic Magnet Program RR,Peninsula AL,Hanna Rice,Aff,29,29
Harker AR,Peninsula RM,Jacob Palmer,Neg,30,30
Millard North NL,West Des Moines Valley RT,Luke Bagdon,Aff,29,29
Ayala AM,Eden Prairie AG,David Dosch,Aff,29,29
Memorial DX,Harrison JP,Iyana Trotman,Neg,29,29
Vestavia Hills DS,Plano Independent JN,Ari Davidson,Aff,28,28
Orange Lutheran AZ,Prospect ST,Parth Misra,Aff,30,30
Presentation AB,Bronx Science IP,Aashril Shazar,Aff,29,29
Midlothian VS,Coppell HA,Eugene Toth,Neg,29,29
Cary CP,Millard North JS,Dayanand Bhojak,Aff,29,27
Peninsula AB,Lake Highland Prep AB,David McGinnis,Neg,28,29
Carrollton KK,King CP,Morgan Copeland,Neg,29,29
West Des Moines Valley SJ,Lake Highland Prep AV,Jenn Melin,Neg,29,29
NSU RL,Montgomery CH,Robert Burns,Neg,28,28
Silver Creek KZ,Riverside NS,Zaid Umar,Neg,28,28
Catonsville AT,Denton Guyer SB,Gerard Grigsby,Aff,30,29
,Lincoln East LZ,,Neg BYE,Neg BYE,
Vestavia Hills GJ,Saratoga AG,James Stuckert,Neg,28,29
Academy Of Classical Christian Studies JM,Millard North AR,Jack Quisenberry,Aff,28,28
Riverwood LF,La Salle TP,Jung Park,Neg,28,29
Claudia Taylor Johnson AP,Strake Jesuit  KS,Leah Clark-Villanueva,Neg,29,30
Mercer Island KS,Unionville AS,Jeffrey Swift,Aff,29,28
Southlake Carroll PK,Isidore Newman EE,dylan jones,Aff,30,30
Ft Lauderdale EB,Millburn ST,Derek Ying,Neg,28,29
Bronx Science NK,Immaculate Heart RR,Bennett Dombcik,Neg,29,29
Woodrow Wilson SR,Ardrey Kell RG,Madeleine Conrad-Mogin,Neg,29,29
Harker MK,Woodrow Wilson CO,Kiarra Broadnax,Aff,29,28
Midlothian AC,Lake Highland Prep PS,Carlos Carrasco,Neg,29,29
Immaculate Heart BC,Monta Vista KR,Samantha McLoughlin,Aff,29,29
