Aff,Neg,Judges,Votes,Result
Strake Jesuit  ZD,Westwood AG,"Grant Brown																																		Joshua StPeter																																		Kassie Colón","Aff																												Aff																												Aff","3-0																															AFF"
Garland LY,Lexington AG,"Javier Navarrete																																		Jayanne Forrest																																		Austin Broussard","Aff																												Aff																												Neg","2-1																															AFF"
Strake Jesuit  DA,Lexington VM,"Andrew Qin																																		Jacob Palmer																																		Lukas Krause","Neg																												Neg																												Neg","3-0																															NEG"
Lake Highland Prep AV,BASIS Peoria PY,"Avery Wilson																																		Holden Bukowsky																																		River Cook","Neg																												Neg																												Neg","3-0																															NEG"
Bergen County Academies AK,Harker RM,"David Dosch																																		Lena Mizrahi																																		Gordon Krauss","Neg																												Aff																												Aff","2-1																															AFF"
Harrison JP,Harker AR,"Morgan Copeland																																		Andrew Wixson																																		Arianna Nelson","Aff																												Aff																												Neg","2-1																															AFF"
Strake Jesuit  VM,Homestead SL,"Patrick Fox																																		Tate Weston																																		Mark Kivimaki","Neg																												Aff																												Neg","2-1																															NEG"
DTHS HV,Marlborough WR,"Derek Hilligoss																																		Julian Kuffour																																		Peyton Reeves","Aff																												Aff																												Neg","2-1																															AFF"
Presentation NR,Saratoga AG,"Rodrigo Paramo																																		Jenn Melin																																		Joseph Barquin","Aff																												Neg																												Neg","2-1																															NEG"
Westwood PM,Lake Highland Prep YA,"Sam Anderson																																		James Stuckert																																		Jacob Nails","Neg																												Aff																												Neg","2-1																															NEG"
Strake Jesuit  KS,Strake Jesuit  JS,,Strake Jesuit  KS advances,Strake Jesuit  KS advances
Lexington JB,Lexington BF,,Lexington JB advances,Lexington JB advances
Marlborough MJ,San Mateo YR,"Micah Thode																																		Jack Quisenberry																																		Nick Fleming","Neg																												Neg																												Neg","3-0																															NEG"
Ayala AM,Lexington AK,"Danielle Dosch																																		Sreyaash Das																																		Emmiee Malyugina","Aff																												Aff																												Aff","3-0																															AFF"
Greenhill KD,Carnegie Vanguard SR,"Michael Kurian																																		Raunak Dua																																		Indu Pandey","Aff																												Neg																												Neg","2-1																															NEG"
Westwood BJ,Academy Of Classical Christian Studies JM,"Chris Castillo																																		Colton Gilbert																																		Nelson Okunlola","Neg																												Aff																												Aff","2-1																															AFF"
