Aff,Neg,Judges,Votes,Result
Harker DS,Little Rock Central MG,"Elijah Smith																																		Saianurag Karavadi																																		Jyleesa Hampton","Aff																												Aff																												Aff","3-0																															AFF"
Lexington BF,Lexington AT,,Lexington BF advances,Lexington BF advances
Westwood PM,Strake Jesuit  ZD,"Chetan Hertzig																																		Yardley Rosas																																		Chris Flowers","Neg																												Neg																												Neg","3-0																															NEG"
Strake Jesuit  JX,Strake Jesuit  VC,,Strake Jesuit  JX advances,Strake Jesuit  JX advances
Immaculate Heart JL,Strath Haven AM,"Eric He																																		Andrew Halverson																																		Michael Stephan","Aff																												Neg																												Neg","2-1																															NEG"
Saratoga AG,Harrison AA,"Truman Le																																		Erick Berdugo																																		Jharick Shields","Neg																												Aff																												Neg","2-1																															NEG"
Plano East AW,Peninsula BD,"Sam Anderson																																		Samantha McLoughlin																																		Andrew Gong","Neg																												Aff																												Aff","2-1																															AFF"
Loyola AP,Sage Hill MP,"Nick Fleming																																		Felicity Park																																		Rodrigo Paramo","Neg																												Neg																												Neg","3-0																															NEG"
Memorial SC,Harker ASh,"Rachel Mauchline																																		David Dosch																																		Tej Gedela","Neg																												Neg																												Neg","3-0																															NEG"
Cardinal Gibbons RS,Northland Christian LB,"Chris Castillo																																		James Stuckert																																		Kartikeya Kotamraju","Neg																												Neg																												Aff","2-1																															NEG"
Strake Jesuit  KS,Harker RM,"Matt Moorhead																																		Aaron Barcio																																		Eric Melin","Aff																												Neg																												Aff","2-1																															AFF"
Bellarmine  AK,Carnegie Vanguard SR,"Tate Weston																																		Varad Agarwala																																		Nigel Taylor-Ward","Aff																												Aff																												Aff","3-0																															AFF"
Southlake Carroll PK,Strake Jesuit  JS,"David Yi																																		Tom Evnen																																		Jack Quisenberry","Aff																												Aff																												Aff","3-0																															AFF"
DTHS HV,Peninsula RM,"Claudia Ribera																																		Arya Goel																																		Christopher Vincent","Neg																												Neg																												Aff","2-1																															NEG"
Sequoia AS,Lexington AK,"Serena Lu																																		Gordon Krauss																																		Ishan Rereddy","Neg																												Neg																												Aff","2-1																															NEG"
Plano East NG,Immaculate Heart BC,"Chris Theis																																		Tarun Ratnasabapathy																																		Austin Broussard","Aff																												Neg																												Aff","2-1																															AFF"
