Aff,Neg,Judges,Votes,Result
Homestead SL,Harvard-Westlake KD,"Albert Cardenas																																		Nethmin Liyanage																																		Alex Baez","Aff																												Aff																												Aff","3-0																															AFF"
Immaculate Heart BC,Loveless Academic Magnet Program RR,"Diana Alvarez																																		Connor Lindquist																																		Leah Clark-Villanueva","Aff																												Aff																												Aff","3-0																															AFF"
Harvard-Westlake IC,Marlborough WR,"David Dosch																																		Lena Mizrahi																																		Donald Fagan","Neg																												Aff																												Neg","2-1																															NEG"
Proof DR,Lexington CH,"Gordon Krauss																																		Kabir Dubey																																		Aryan Jasani","Neg																												Neg																												Aff","2-1																															NEG"
Edgemont Junior-Senior AA,Catonsville AT,"Passa Pungchai																																		Truman Le																																		Luca Galardi","Neg																												Neg																												Neg","3-0																															NEG"
Lynbrook SY,Presentation NR,"Joseph Barquin																																		Jada Stinnett																																		X Braithwaite","Neg																												Neg																												Neg","3-0																															NEG"
Peninsula RM,Southlake Carroll PK,"Claudia Ribera																																		Jonathan Hsu																																		Ben Cortez","Neg																												Aff																												Aff","2-1																															AFF"
Westlake MR,Sage MP,"Jacob Smith																																		Davina Le																																		Alex Baez","Neg																												Neg																												Neg","3-0																															NEG"
Immaculate Heart AW,Orange Lutheran AZ,"Jonathan Hsu																																		Rafael Sanchez																																		Donald Fagan","Neg																												Neg																												Neg","3-0																															NEG"
West Des Moines Valley SJ,Interlake DB,"Silma Bathily																																		John Sims																																		Luca Galardi","Neg																												Aff																												Neg","2-1																															NEG"
West Des Moines Valley MM,Diamond Bar NC,"Gordon Krauss																																		Truman Le																																		Aryan Jasani","Neg																												Neg																												Neg","3-0																															NEG"
Martin Luther King JO,Ayala AM,"Sam Larson																																		David Dosch																																		Lena Mizrahi","Neg																												Neg																												Neg","3-0																															NEG"
San Mateo YR,Northern Valley HS Independent JS,"T.J. Maher																																		Connor Lindquist																																		Joseph Barquin","Aff																												Aff																												Aff","3-0																															AFF"
Millard North NL,Westwood PM,"Claudia Ribera																																		Heaven Montague																																		Kabir Dubey","Neg																												Neg																												Neg","3-0																															NEG"
Lexington AK,,,,
Immaculate Heart JL,,,,
