Aff,Neg,Judge,Result
Marlborough WR,Northwood AA,Maxine Adams,Aff
Marlborough SG,Plano East Senior AD,Nathan Russell,Aff
Harvard-Westlake LD,Lexington AR,Naomi Alan,Aff
Troy Independent AP,Midtown AS,Gabriela Gonzalez,Aff
Able2Shine MC,Harvard-Westlake KD,Kwudjwa Osei,Aff
Ayala AM,Windward LP,Savit Bhat,Aff
Stockdale GS,Millard North JS,Derek Hilligoss,Aff
Immaculate Heart BC,Millard North NL,Jack Barber,Aff
Marlborough LF,OA Independent VD,Andrew Sinsioco,Neg
Marlborough AK,Harvard-Westlake EJ,Jacob Nails,Aff
Brophy TJ,Sage Hill JS,Leah Clark-Villanueva,Aff
Orange Lutheran AZ,Marlborough ZG,Madeleine Conrad-Mogin,Aff
Wyoming Virtual JC,Harvard-Westlake WL,Ronald Contreras,Aff
Sequoia AS,Proof DR,Ben Cortez,Neg
Marlborough MJ,Sammamish LW,Zoella Lin,Neg
Tays KM,Millard North AR,Jackson Frankwick,Neg
West Des Moines Valley RT,Uni RN,Diana Alvarez,Aff
Immaculate Heart SP,Harvard-Westlake JH,Tej Gedela,Aff
La Costa Canyon MZ,LHS YL,Braedon Kirkpatrick,Neg
Mountain View EN,Village RB,Lukas Krause,Neg
St Francis HU,Monta Vista KR,Dominic Henderson,Neg
Unionville PW,OCSA AK,Jonathan Meza,Aff
Immaculate Heart RR,Lynbrook SY,Joseph Barquin,Aff
Northwood ST,Portola NJ,Claudia Ribera,Neg
Marlborough OO,Rye Country Day SK,Aditya Madaraju,Aff
Marlborough MS,Immaculate Heart EL,Saketh Kotapati,Aff
Cogito CL,Harvard-Westlake MT,Gerard Grigsby,Aff
Marlborough PS,Able2Shine EZ,Dillon Johnson,Aff
Vestavia Hills DS,St Agnes EH,Aayush Patel,Neg
Immaculate Heart SS,Fullerton Union AB,Valorie Lam,Aff
Sage Hill IP,Beckman PD,,"Aff FFT																									Neg BYE"
Immaculate Heart JL,West Des Moines Valley AM,Sam Larson,Aff
Harvard-Westlake AT,Windward AE,Erika Linares,Aff
Windward HK,Harvard-Westlake JK,Annabelle Long,Neg
Brophy CC,Lexington AS,Jacob Lugo,Aff
West Des Moines Valley MM,Lexington AM,Michael Harris,Aff
Marlborough PP,Immaculate Heart MF,Samantha McLoughlin,Aff
Marlborough ML,Monta Vista RD,Scott Brown,Neg
Marlborough SK,Southlake Carroll PK,Darin Park,Neg
Plano East Senior AW,Crean JZ,Nikki Aqui,Aff
Midtown KT,Harvard-Westlake ML,Zaid Umar,Aff
Stockdale RP,Harvard-Westlake NL,Christopher Perez,Neg
Sage Hill MP,Portola AS,Gordon Krauss,Aff
McNeil AG,Plano East Senior RP,Kavin Kumaravel,Neg
Aragon ZA,Harvard-Westlake AW,Truman Le,Aff
Mission San Jose AA,Littleton LS,,"Aff BYE																									Neg FFT"
Catonsville AT,Plano East Senior JN,,"Aff FFT																									Neg BYE"
Marlborough GA,Memorial BD,Tarun Ratnasabapathy,Neg
Marlborough HL,Wyoming Virtual HG,Jalyn Wu,Aff
Mission San Jose AD,West Ranch JY,Shikhar Srivastava,Aff
Iowa City West FZ,Lynbrook MD,Sam Gustavson,Aff
Stanford OHS AY,Northern Valley HS Independent JS,Yoyo Lei,Neg
Archer SC,Midtown FB,Lawrence Zhou,Neg
West Ranch SV,,,
