Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Durham ZG,Lake Highland Prep YA,Malachi Ambrose,Neg,28,29
Lake Highland Prep MS,Montville TV,Kevin Cheng,Aff,29,29
La Salle TP,Lake Highland Prep WH,Kiarra Broadnax,Neg,29,29
Millburn ST,Syosset LG,Grant Brown,Neg,28,29
Walt Whitman EY,Ardrey Kell RG,Katherine Burke,Aff,28,29
Samammish LW,Harrison JC,Emily Chan,Aff,29,28
Hunter AI,Catonsville AT,Andrew Chin,Aff,30,29
Pennsbury EH,Princeton PE,Faizaan Dossani,Neg,28,27
Ardrey Kell SG,BASIS Independent Silicon Valley SK,Mark Early,Aff,29,29
Bronx Science NK,Stuyvesant HJ,Henry Eberhart,Neg,30,29
Harrison AC,La Salle ZW,Rachel Elias,Aff,28,28
Charlotte Latin AP,Lexington EY,Fabrice Etienne,Neg,29,29
Summit JC,Bronx Science KH,Jayanne Forrest,Aff,29,29
Princeton DW,Harrison JP,Nathan Frenkel,Neg,29,29
Dwight-Englewood EK,Dublin AL,Matthew Friar,Neg,28,28
Milton AT,Lexington JB,Jonah Gentleman,Neg,29,30
Lake Highland Prep SS,Durham SA,Eric He,Neg,28,29
Westview YK,Harrison TB,Vishnu Vennelakanti,Aff,29,29
Lake Highland Prep SV,Acton-Boxborough AL,Jonathan Hsu,Neg,28,28
Summit MR,Mission San Jose AA,Albert Kang,Aff,29,28
Thomas Jefferson HSST AP,Byram Hills EW,Ashley Nguyen,Aff,28,28
Montville SH,Scarsdale RM,Katherine Brainard,Neg,27,28
Princeton AS,Randolph CC,Patrick Li,Neg,28,28
Durham BG,Princeton CB,Qing Liu,Aff,29,28
Harrison MB,Bronx Science RP,Wesley Loofbourrow,Aff,30,27
Princeton JG,Redlands MM,Ethan Massa,Aff,29,28
Millburn AX,Strath Haven AM,Jenn Melin,Neg,29,30
Charlotte Latin EL,Ardsley ZS,Arianna Nelson,Aff,29,29
Lexington MS,Olympia OE,Jacob Palmer,Neg,28,29
Scarsdale OL,Olympia BO,Phoenix Pittman,Aff,29,29
Lake Highland Prep AR,Durham JH,Andrew Prescott,Neg,29,29
Scarsdale BS,Collegiate SF,Claudia Ribera,Aff,29,29
Lexington AA,Montville RP,Tara Riggs,Aff,30,30
Montville NP,Scarsdale SV,David Wrone,Neg,28,28
Stuyvesant LC,Lake Highland Prep HL,Joshua StPeter,Neg,29,29
Bergen County Academies AK,Ramsay DF,Abishek Stanley,Aff,29,29
Academy Of Classical Christian Studies JM,Unionville AS,Jalyn Wu,Aff,29,29
Bronx Science RA,Princeton VC,Michael Zhou,Neg,28,29
Ardsley KK,,,Aff BYE,Aff BYE,
