Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
King AT,Memorial SC,Allison Aldridge,Neg,30,30
Trinity Prep ND,William P. Clements Independent MM,Alfonso Arreola,Neg,28,29
Lake Highland Prep AB,Memorial DXu,Holden Bukowsky,Aff,29,28
Tays KM,Dulles JL,Isaac Chao,Aff,28,28
Southlake Carroll PK,Academy Of Classical Christian Studies JM,Patrick Fox,Aff,29,29
Woodlands College Park TS,West HS SLC HZ,Jack Quisenberry,Neg,28,28
King CP,Westlake MR,Connor Lindquist,Neg,29,29
Dulles NJ,Samammish LW,Nelson Okunlola,Aff,29,29
Carnegie Vanguard SR,West HS SLC ML,Phoenix Pittman,Aff,27,28
Heights AW,Vestavia Hills DS,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Westside RD,William P. Clements Independent KK,Andrew Qin,Neg,27,27
Memorial BD,Northern Valley HS Independent JS,Joshua StPeter,Neg,30,30
Memorial DX,Cooper City NR,Maximilian Tran,Aff,29,29
Lake Highland Prep PS,Denton Guyer SB,Megan Wu,Aff,29,29
Dulles VN,Southlake Carroll SD,angela zhong,Aff,29,29
,Westside MM,,Neg BYE,Neg BYE,
