Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Lexington MS,American Heritage Broward AP,Donny Peters,Aff,29,28
CR North NS,Durham BG,Vishnu Anand,Neg,29,30
Apple Valley KW,American Heritage Broward MC,Delon Fuller,Neg,28,28
American Heritage Broward JA,Buchholz LW,Bennett Dombcik,Neg,28,29
Everglades AW,Eden Prairie AK,Natalie Fernandez,Neg,28,28
Trinity Prep JC,Lake Highland Prep AR,Saied Beckford,Aff,28,28
Durham RL,Murphy Independent AW,Josh Gavsie,Neg,28,29
Isidore Newman PJ,Durham SA,Eric He,Neg,29,29
Isidore Newman EE,Lake Highland Prep WH,Shweta Kondapi,Aff,29,29
American Heritage Broward SS,Lake Highland Prep HL,Nethmin Liyanage,Aff,29,28
King CP,Lake Highland Prep AV,T.J. Maher,Neg,29,30
Durham ZG,Lake Highland Prep AB,Heaven Montague,Neg,29,30
Lexington AK,Cardinal Gibbons RS,Jacob Nails,Neg,29,29
Lexington BF,Lake Highland Prep PS,Jacob Palmer,Aff,29,29
Durham JH,Lake Highland Prep SV,Glenn Prince,Neg,29,29
Albuquerque AK,Unionville AS,Daniel Shatzkin,Neg,28,28
Lincoln East BH,CR North GY,Isaiah Salgado,Aff,28,28
American Heritage Broward EM,King AT,Becca Traber,Aff,30,29
Lexington AS,,,Aff BYE,Aff BYE,
