Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Pittsburgh Central Catholic EF,Harrison TB,Elias Altman,Aff,29,29
West Des Moines Valley RT,Brophy SA,Allison Aldridge,Aff,29,28
Princeton ND,Millburn AX,Symone Whalin,Neg,29,29
Montville AM,Olympia BO,Christian Brown,Neg,28,29
Stuyvesant MZ,Strake Jesuit  HZ,Curtis Chang,Aff,29,28
American Heritage Broward MC,Acton-Boxborough AM,Andrew Chin,Neg,29,29
Millburn BW,American Heritage Broward SS,Grant Chmielewski,Neg,28,29
Randolph CC,Sam Barlow EL,Owen Sayre,Neg,28,29
Strake Jesuit  NW,Walt Whitman EY,Mariana Colicchio,Neg,30,30
Lexington FM,Stuyvesant LC,Devin Jiang,Neg,29,29
Olympia OE,Syosset LG,Eric Tang,Neg,28,29
Princeton VC,Lincoln JR,Abhilash Datti,Neg,28,28
Unionville AS,Lexington AK,Keshav Dandu,Neg,29,29
West Des Moines Valley SJ,Harrison EM,Justin Smith,Aff,30,30
Millburn AK,Chaminade ZS,Eric Endsley,Aff,29,28
Charlotte Latin EL,BASIS Peoria PY,Amelia Ritenour,Neg,29,30
Lexington CH,West Des Moines Valley CK,Bennett Fees,Aff,29,29
Monta Vista RD,Edgemont Junior-Senior AA,Nathan Frenkel,Aff,30,29
McDowell JJ,West Des Moines Valley JS,Clement Agho-Otoghile,Neg,28,28
Syosset ML,Oak Grove AA,Jake Vigeant,Aff,29,28
James Logan AB,Princeton ML,Wyatt Hatfield,Neg,29,30
Summit MR,Bronx Science IP,Pothiraj Selvaraj,Aff,27,25
Hunter AH,Memorial BD,David Herrera,Neg,29,29
Mission San Jose SR,Lexington AG,Animesh Joshi,Aff,29,29
James Logan RS,Acton-Boxborough AK,Ildar Khabibrakhmanovk,Neg,28,29
Monta Vista KR,Byram Hills AK,Amy Nyberg,Aff,30,29
Strake Jesuit  MS,Bronx Science NK,Rohit Lakshman,Neg,29,29
James Logan SM,Millburn WW,Andrew Lee,Neg,28,28
Westford AW,Byram Hills EW,Richard Li,Neg,29,29
Park City NL,American Heritage Broward JA,Amulya Natchukuri,Aff,29,29
Ridge DJ,La Salle TP,Xiaohong Dan,Neg,28,28
King AT,Dulles TY,T.J. Maher,Neg,29,30
Holy Ghost Prep MM,Needham TL,Anandhi Manikantan,Aff,28,27
Holy Trinity Episcopal BL,Charlotte Country Day AC,Chitralekha Dhamija,Aff,28,28
Scarsdale JT,Needham LF,David McGinnis,Neg,27,27
Edgemont Junior-Senior AJ,Catonsville AT,Parth Misra,Neg,30,30
Claudia Taylor Johnson AP,Lake Highland Prep YA,Eshwar Mohan,Aff,29,29
Loveless Academic Magnet Program RR,Hunter AI,Abby Morris,Neg,29,29
Mountain View EN,Ridge VS,Jacob Nails,Aff,29,28
American Heritage Broward EM,Harrison JC,Ananya Natchukuri,Aff,30,29
Hoover SL,Scripps Ranch AS,Scott Klein,Neg,28,28
Pennsbury GB,Lexington AR,Temitope Ogundare,Neg,28,29
Montville AA,Westford AP,Nikos Papageorgiou,Neg,28,29
Montville NP,Lexington AMa,Fabrice Etienne,Neg,28,28
Flintridge Prep TV,Unionville MG,Abby Henry,Aff,28,26
Brophy CC,Durham BG,Kate Phillippo,Neg,28,28
Dublin AL,Hunter AL,Nitin Rastogi,Neg,28,28
Pennsbury EH,Princeton JG,Aaron Pottinger,Neg,29,29
Scarsdale OL,Lovejoy JV,Anand Rao,Neg,29,30
Princeton CB,Montville RP,Alex Rivera,Neg,28,29
Strake Jesuit  VM,Milton AT,Tajaih Robinson,Aff,30,29
Lake Nona BJ,Byram Hills SH,Remington Roy,Neg,28,29
Charlotte Latin AP,Thomas Jefferson HSST AP,Conal Thomas-McGinnis,Neg,29,29
Strake Jesuit  JW,West Des Moines Valley MM,Stephen Scopa,Aff,28,28
James Logan ZW,Ardrey Kell SG,Jude Sims-Barber,Neg,27,28
Colonial Forge SR,Village RB,Aeryn Smith,Aff,29,29
North Mecklenburg PM,Scarsdale BS,Abishek Stanley,Aff,28,28
American Heritage Broward NR,Ridge SN,Favian Sun,Aff,28,29
Montville SH,Bronx Science TB,Anthony Survance,Aff,28,26
Millburn EC,Randolph JP,Praphulla Suryawanshi,Aff,29,28
Harrison MB,Lake Highland Prep AV,Katy Stenner,Aff,29,29
Dr. Phillips AD,Memorial DX,Arshita Sandhiparthi,Neg,30,30
Lexington VM,Bronx Science KH,Neville Tom,Aff,29,29
Syosset BL,Academy Of Classical Christian Studies JM,Ashish Tripathi,Neg,29,30
Millburn ST,Mission San Jose SB,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Lexington JB,King CP,Ben Waldman,Aff,29,28
Roeper RL,Clover Hill MM,Mitch Barry,Aff,29,29
Lake Highland Prep PS,Ardrey Kell SA,Annie Wang,Aff,29,28
Peachtree Ridge RL,Sharon RG,Dylan Jones,Neg,27,28
Strake Jesuit  DA,Evergreen Valley SS,Tyler Wood,Aff,29,29
Solebury LN,Unionville PW,lila lavender,Neg,28,29
