Aff,Neg,Judges,Votes,Result
Lambert KS,Centennial LY,"Ximena Bustillo																																		Sydney Nelson																																		Tanner Jones","Aff																												Aff																												Aff","3-0																															AFF"
Thomas Jefferson HSST ZL,,,,
Boston Latin MT,,,,
Montgomery ZX,,,,
Winston Churchill HM,,,,
La Salle  NG,,,,
Lincoln East BX,,,,
Milpitas CC,,,,
Boston Latin LC,,,,
Boston Latin YZ,,,,
Acton-Boxborough EF,,,,
Bergen County Academies CK,,,,
St Mary's Hall TC,,,,
Edina SW,,,,
Delbarton CE,,,,
Lakeville South MG,,,,
Acton-Boxborough BG,,,,
West Windsor Plainsboro HS North CM,,,,
Edina EJ,,,,
Summit AC,,,,
Lakeville North SD,,,,
Bethesda Chevy Chase SS,,,,
Summit RN,,,,
BASIS Scottsdale DS,,,,
Edina SJ,,,,
Lincoln-Sudbury SC,,,,
Summit JT,,,,
Blake DU,,,,
Boston Latin JC,,,,
Overlake CV,,,,
Cary JL,,,,
Edina BS,,,,
