Aff,Neg,Judges,Votes,Win
Westlake MR,Harker NK,"Madeleine Conrad-Mogin																																		Lilly Broussard																																		Ishan Rereddy","Aff																												Aff																												Aff","3-0																															AFF"
Harker KB,Raina Batra,"Lena Mizrahi																																		Kavin Kumaravel																																		Aaron Barcio","Aff																												Aff																												Aff","3-0																															AFF"
Peninsula AI,Coppell HA,"Samantha McLoughlin																																		Julia Hunter																																		Michael Harris","Neg																												Neg																												Neg","3-0																															NEG"
Marlborough WR,Harker NA,"Danielle Dosch																																		Lilly Broussard																																		Tarpan Mishra","Aff																												Aff																												Aff","3-0																															AFF"
McNeil RS,Lynbrook SY,"Scott Brown																																		Harun Vemulapalli																																		Skye Spindler","Neg																												Neg																												Neg","3-0																															NEG"
Immaculate Heart EL,Monta Vista KR,"Zahir Shaikh																																		Anthony Trufanov																																		Navya Simha","Neg																												Neg																												Neg","3-0																															NEG"
Peninsula DL,Lynbrook OM,"Jack Quisenberry																																		Gabriel Jankovsky																																		Benjamin Wolf","Aff																												Aff																												Aff","3-0																															AFF"
Oak Ridge AA,Polytechnic AT,"David Kilpatrick																																		Pranay Ippagunta																																		Adam Martin","Aff																												Aff																												Aff","3-0																															AFF"
Notre Dame San Jose AG,Harker DV,"Danielle Dosch																																		Sameer Nayyar																																		Chris Theis","Aff																												Aff																												Aff","3-0																															AFF"
Amador Valley EM,Isidore Newman EE,"Jacob Lugo																																		Jonathan Meza																																		Steven Sander","Neg																												Neg																												Neg","3-0																															NEG"
BASIS Independent Silicon Valley JK,Monta Vista RD,"Felicity Park																																		Anshul Reddy																																		Dhruv Channa","Neg																												Neg																												Neg","3-0																															NEG"
Everett Yau,Harker VL,"Aaron Barcio																																		Samantha McLoughlin																																		Dhruv Channa","Aff																												Neg																												Neg","2-1																															NEG"
BASIS Independent Silicon Valley SK,Peninsula AB,"Miguel Harvey																																		Gabriel Jankovsky																																		Aniruth Narayanan","Aff																												Neg																												Aff","2-1																															AFF"
Westridge KY,Harvard-Westlake IC,"Miguel Harvey																																		Akshay Manglik																																		Chris Theis","Neg																												Neg																												Neg","3-0																															NEG"
Stanford OHS AY,Harker PG,"Felicity Park																																		Madeleine Conrad-Mogin																																		Kavin Kumaravel","Neg																												Neg																												Neg","3-0																															NEG"
Immaculate Heart AW,Marlborough HL,"Harun Vemulapalli																																		Julia Hunter																																		Navya Simha","Neg																												Aff																												Neg","2-1																															NEG"
L C Anderson NW,Flower Mound ST,"Christian Han																																		Gordon Krauss																																		Austin Broussard","Neg																												Aff																												Neg","2-1																															NEG"
Strath Haven AM,Harvard-Westlake WL,"Tim Alderete																																		Pranay Ippagunta																																		Gordon Krauss","Aff																												Neg																												Aff","2-1																															AFF"
Lynbrook BZ,ModernBrain AK,"Graham Johnstone																																		Ben Harris																																		David Kilpatrick","Neg																												Neg																												Neg","3-0																															NEG"
Marlborough MJ,Peninsula AY,"Lena Mizrahi																																		Anthony Trufanov																																		Mark MacDermott","Aff																												Neg																												Aff","2-1																															AFF"
Mount Vernon TK,Harker RA,"Kristina Getty																																		Tim Alderete																																		Cameron Lange","Neg																												Neg																												Neg","3-0																															NEG"
McNeil AG,Westridge TW,"Tajaih Robinson																																		Skye Spindler																																		Sameer Nayyar","Neg																												Neg																												Neg","3-0																															NEG"
Immaculate Heart RR,Monta Vista EY,"Christian Han																																		Jonathan Meza																																		Michael Harris","Aff																												Aff																												Aff","3-0																															AFF"
Silver Creek KZ,Harker AV,"Jack Quisenberry																																		Tajaih Robinson																																		Emma Blemaster","Aff																												Aff																												Aff","3-0																															AFF"
Harker AA,Immaculate Heart SS,"Lukas Krause																																		Jacob Lugo																																		Amy Chakladar","Neg																												Neg																												Neg","3-0																															NEG"
McNeil YM,Mission San Jose SS,"Akshay Manglik																																		Brandon Molina																																		Benjamin Wolf","Neg																												Neg																												Neg","3-0																															NEG"
Marlborough JS,Los Altos AK,"Dominic Henderson																																		Ian Brown																																		Ishan Rereddy","Neg																												Neg																												Neg","3-0																															NEG"
Westlake JM,Mission San Jose AD,"Ted Kim																																		Aashril Shazar																																		Abi Shiva","Neg																												Neg																												Neg","3-0																															NEG"
Harker MK,Honor VD,"Lukas Krause																																		Preston Stolte																																		Dylan Liu","Neg																												Neg																												Neg","3-0																															NEG"
Bellarmine  AK,Irvington SD,"lila lavender																																		Deepak Goyal																																		Gil Gandionco","Aff																												Aff																												Aff","3-0																															AFF"
Honor AP,Harker RM,"Preston Stolte																																		Dylan Liu																																		Brandon Molina","Neg																												Neg																												Neg","3-0																															NEG"
Harker AS,Harker AP,,Harker AS advances,Harker AS advances
