Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Harvard-Westlake WL,Monta Vista KR,Mohul Aggarwal,Neg,29.1,29.2
Maggie L. Walker Governor's PT,James Logan JSu,Clement Agho-Otoghile,Aff,28.0,28.0
Ridge RD,Millard North JS,Sam Anderson,Neg,28.9,28.8
Harvard-Westlake ZG,Archbishop Mitty AC,Joseph Barquin,Aff,28.7,28.5
Vestavia Hills TP,Seven Lakes VS,Yajat Bhargav,Neg,30.0,30.0
Little Rock Central BF,American Heritage Broward JW,Kyra Boorsma Bergerud,Neg,28.7,29.0
La Reina LS,Millard North SB,Jack Booth,Aff,28.6,28.5
Hamilton GB,Unionville AS,Daniel Brown,Aff,26.0,25.5
Heights AW,Millard North AR,Grant Brown,Aff,30.0,29.1
Eagan AE,Iowa City West NW,Holden Bukowsky,Neg,29.0,29.3
McDowell JJ,Maggie L. Walker Governor's SM,Antonina Clementi,Aff,25.0,25.0
Cypress Bay ZR,Barrington SD,Matthew Doggett,Aff,28.5,28.0
American Heritage Broward MR,Oak Ridge AH,Faizaan Dossani,Aff,28.7,28.2
Trinity Prep JC,Monta Vista AA,Sean Fahey,Neg,28.0,28.8
Ridge SN,Bellarmine  AK,Diego Flores,Neg,28.8,29.4
William G. Enloe PD,Hawken ST,Jayanne Forrest,Neg,28.8,30.0
Millard North NL,BASIS Independent Silicon Valley SK,Brett Fortier,Neg,28.7,28.6
Bronx Science LW,Lake Highland Prep AB,Khamani Griffin,Neg,28.9,29.8
Maggie L. Walker Governor's IR,Harvard-Westlake RV,Gerard Grigsby,Neg,27.5,28.5
Westridge KY,Claudia Taylor Johnson JA,Colter Heirigs,Neg,28.4,28.3
Bronx Science VL,Brophy CC,Chetan Hertzig,Neg,28.0,28.1
MAST@FIU DZ,Harker DS,Cyrus Jackson,Aff,28.1,28.0
McDowell AK,Isidore Newman SR,Rob Jewell,Aff,27.5,27.0
Isidore Newman AB,Hamilton AL,Sanju John,Neg,28.0,29.0
Newman Smith SJ,Dulles NJ,Kyle Kopf,Neg,28.9,29.3
Oak Ridge AA,Prospect ST,Lukas Krause,Neg,29.3,29.5
American Heritage Broward SS,Harker KB,Eva Lamberson,Aff,30.0,29.2
Memorial BD,Greenhill SL,Alexandra Mork,Neg,29.1,29.2
Bronx Science KH,Hunter SL,Qi Bin Lei,Neg,29.2,29.3
James Logan AA,West Des Moines Valley JS,Vik Maan,Aff,29.4,27.9
Southlake Carroll AR,Providence Senior AK,Akshay Manglik,Neg,28.5,28.6
Lexington RL,St Agnes EH,Cale McCrary,Neg,26.8,29.5
Archbishop Mitty AP,James Logan JS,David McGinnis,Aff,27.2,27.0
McNeil MY,Edgemont Junior-Senior EG,Parth Misra,Aff,29.9,29.8
Harvard-Westlake AW,McNeil AG,Jacob Nails,Aff,29.5,29.6
Millburn MM,La Reina IB,Anita Natzkova-Zvetkova,Aff,28.0,28.0
Harker SS,Greenhill AK,Vanessa Nguyen,Aff,29.0,28.9
Dulles VN,James Bowie NW,Nelson Okunlola,Neg,29.5,29.6
Little Rock Central MG,Marlborough MJ,Rodrigo Paramo,Aff,29.5,29.3
West Des Moines Valley BT,St Francis DG,Abhived Pulapaka,Aff,28.0,27.9
San Mateo YR,Oxford VM,Jack Quisenberry,Aff,29.6,29.5
Edina DS,Durham SA,Chris Randall,Neg,28.0,29.5
Little Rock Central XJ,Ardsley KK,Ishan Rereddy,Aff,27.6,27.2
St Francis HU,Trinity Prep AD,Grace Sahualla,Neg,28.5,29.0
Acton-Boxborough TW,Meadow Glen VW,Marvin Sanchez,Aff,28.0,24.0
William G. Enloe RN,Cherokee Trail TB,Aashril Shazar,Neg,27.0,28.0
Harvard-Westlake EG,Los Alamos MP,Daniel Shi,Neg,30.0,30.0
Harrison TB,Academy Of Classical Christian Studies JM,John Sims,Neg,29.2,29.4
Westlake AH,Marlborough VA,Allyson Spurlock,Neg,28.3,28.4
Carnegie Vanguard LH,Millard North SD,Matt Stannard,Aff,28.8,28.1
Mercer Island AW,BASIS Independent Silicon Valley JK,Becca Traber,Aff,28.5,28.4
Barrington AC,Lexington AM,Conal Thomas-McGinnis,Neg,28.0,28.9
Harvard-Westlake IC,James Logan HS,Christopher Vincent,Aff,28.3,28.0
Lake Highland Prep NP,Charlotte Latin EL,Lauren Woodall,Neg,29.7,29.8
Chaminade AS,Harvard-Westlake ML,Jalyn Wu,Aff,28.9,28.6
Monta Vista RD,Lake Highland Prep HL,Daniel Xu,Neg,28.9,28.9
Isidore Newman EE,Southlake Carroll EP,jackson hanna,Neg,29.3,29.1
Stuyvesant DZ,Lake Highland Prep PS,lila lavender,Neg,29.0,29.5
Marlborough JS,Plano East PG,Mohul Aggarwal,Neg,28.9,29.2
Marlborough HL,West Des Moines Valley RT,Sam Anderson,Aff,29.2,28.6
Harrison JA,Lake Highland Prep VS,Yajat Bhargav,Neg,30.0,30.0
Monta Vista EY,Harrison JP,Grant Brown,Neg,28.9,29.6
Southlake Carroll AS,Saratoga EV,Sean Fahey,Neg,28.0,28.4
Pine View EL,Dwight-Englewood EK,Diego Flores,Neg,29.0,29.1
Harrison JG,Hawken AS,Jayanne Forrest,Neg,29.0,29.1
Oxford VD,Athenian EY,Khamani Griffin,Aff,30.0,29.1
Apple Valley KW,Los Altos AK,Gerard Grigsby,Aff,30.0,29.8
Memorial DX,Harker SY,Lukas Krause,Aff,28.4,28.3
Jordan VS,Westlake MR,Ishan Rereddy,Aff,29.4,29.2
Bronx Science RP,Little Rock Central CS,Vik Maan,Aff,29.5,29.0
Harker VL,Stuyvesant LC,Jacob Nails,Neg,28.6,28.9
Brophy TJ,Vestavia Hills EP,Nelson Okunlola,Neg,29.0,29.1
Harker PG,Marlborough WR,Rodrigo Paramo,Neg,29.1,29.3
Mercer Island KS,James Logan RS,Jack Quisenberry,Aff,29.0,28.4
Marlborough YN,Claudia Taylor Johnson RM,Aashril Shazar,Neg,28.0,28.5
Poly Prep Country Day RG,Palisades Charter SM,Allyson Spurlock,Aff,29.0,28.7
Memorial MG,Ardsley LL,Becca Traber,Aff,28.6,28.3
Kenston EJ,Lake Highland Prep ABa,Jenn Melin,Neg,28.2,28.8
Harrison JB,Durham PA,Christopher Vincent,Aff,28.8,28.5
Westridge TW,Edina JS,jackson hanna,Aff,28.8,27.8
Monta Vista PP,JPG JF,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Maggie L. Walker Governor's DK,,,Aff BYE,Aff BYE,
