Aff,Neg,Judge,Win,"Aff								Points & Ranks","Neg								Points & Ranks"
Little Rock Central KC,Plano East NG,Michael Kurian,Neg,"27.9																																																														2","29.0																																																														1"
Dulles VN,St Agnes EH,Tajaih Robinson,Neg,"29.3																																																														2","29.4																																																														1"
Isidore Newman EE,Memorial BD,Brett Cryan,Neg,"29.6																																																														2","29.7																																																														1"
Byron Nelson BW,Westlake AC,Jacob Koshak,Neg,"27.8																																																														2","28.8																																																														1"
Plano East VR,Westlake BR,Dominic Henderson,Aff,"28.3																																																														1","28.2																																																														2"
Flower Mound ST,Jordan VS,Armaan Christ,Neg,"27.2																																																														2","28.2																																																														1"
Westlake DB,Garland AG,Drew Marshall,Aff,"28.5																																																														1","28.0																																																														2"
Memorial DM,Coppell AS,Becca Traber,Neg,"28.4																																																														2","28.8																																																														1"
Cy-Fair AM,Southlake Carroll EP,Jack Quisenberry,Neg,"28.0																																																														2","29.0																																																														1"
Strake Jesuit  VM,Marcus MO,Sebastian Cho,Aff,"29.2																																																														1","29.1																																																														2"
American Heritage Broward SS,Westwood DL,Abbey Chapman,Neg,"28.2																																																														2","28.9																																																														1"
Westwood AP,Strake Jesuit  NW,Joshua Smith,Neg,"28.5																																																														2","29.6																																																														1"
McNeil YM,Strake Jesuit  VJ,Harun Vemulapalli,Neg,"29.2																																																														1","29.1																																																														2"
Coppell EH,Lake Highland Prep HL,Daksh Kapoor,Neg,"27.0																																																														2","28.0																																																														1"
Byron Nelson SS,Strake Jesuit  JK,Phoenix Pittman,Neg,"27.1																																																														2","29.5																																																														1"
Greenhill SL,Westwood BJ,Isaac Chao,Neg,"28.6																																																														2","29.0																																																														1"
Plano East PG,McNeil AG,Jayanne Forrest,Neg,"28.7																																																														2","29.7																																																														1"
Little Rock Central MG,Lake Highland Prep VS,Daniel Lee,Aff,"29.4																																																														1","28.5																																																														2"
Norman North EH,Westwood AG,Evan Engel,Neg,"28.0																																																														2","28.1																																																														1"
Westlake GW,Cy-Fair SB,Jacob Koshak,Neg,"28.0																																																														2","28.1																																																														1"
Strake Jesuit  MS,Coppell HA,Becca Traber,Aff,"29.5																																																														1","29.4																																																														2"
St John's RS,Southlake Carroll ASh,Jay Conklin,Aff,"28.7																																																														1","28.4																																																														2"
Strake Jesuit  CB,Southlake Carroll TA,Harun Vemulapalli,Neg,"28.7																																																														2","28.8																																																														1"
Memorial MG,Cy-Fair DS,Isaac Chao,Aff,"27.3																																																														2","27.9																																																														1"
Memorial DX,Little Rock Central XJ,Brett Cryan,Aff,"29.0																																																														1","28.9																																																														2"
James Bowie NW,Strake Jesuit  KS,Elmer Yang,Neg,"29.0																																																														2","29.7																																																														1"
Cy-Fair MF,Strake Jesuit  DA,Sebastian Cho,Neg,"29.4																																																														2","29.5																																																														1"
Christopher Columbus AM,Northland Christian JM,Angela Zhong,Neg,"29.0																																																														1","28.8																																																														2"
Byron Nelson PM,Heights AW,Amanda Ciocca,Neg,"29.7																																																														2","29.8																																																														1"
Seven Lakes VS,Christopher Columbus NG,dylan jones,Neg,"28.6																																																														1","28.4																																																														2"
Strake Jesuit  JW,Keller RG,Angela Zhong,Aff,"29.4																																																														1","28.0																																																														2"
Dripping Springs CD,Westlake AK,Daksh Kapoor,Neg,"27.0																																																														2","29.0																																																														1"
Southlake Carroll DP,Plano East AW,Michael Kurian,Neg,"28.0																																																														2","30.0																																																														1"
Strake Jesuit  LW,Lake Highland Prep SV,Dominic Henderson,Neg,"28.6																																																														2","29.0																																																														1"
L C Anderson AS,Heights CH,Daniel Lee,Aff,"29.0																																																														1","28.0																																																														2"
Elkins ZW,Garland DA,Drew Marshall,Aff,"27.5																																																														1","27.0																																																														2"
Flower Mound AM,Garland NG,Amanda Ciocca,Aff,"29.8																																																														1","29.0																																																														2"
Little Rock Central BF,Southlake Carroll SD,Nethmin Liyanage,Neg,"28.4																																																														2","29.1																																																														1"
Greenhill CR,Cypress Woods JB,Daniel Ciocca,Aff,"28.0																																																														1","27.8																																																														2"
Cypress Woods SL,Dulles NJ,Austin Broussard,Neg,"28.0																																																														2","29.5																																																														1"
Cypress Woods AZ,Colleyville Heritage CS,Daniel Ciocca,Aff,"29.0																																																														1","28.9																																																														2"
Seven Lakes SK,Strake Jesuit  OZ,Jack Quisenberry,Neg,"28.2																																																														2","28.3																																																														1"
Westlake MR,L C Anderson NW,Joshua Smith,Aff,"29.5																																																														1","28.5																																																														2"
Heights CT,Strake Jesuit  RC,Tajaih Robinson,Neg,"29.0																																																														1","28.9																																																														2"
Claudia Taylor Johnson MR,Southlake Carroll AR,Nethmin Liyanage,Aff,"28.6																																																														2","29.0																																																														1"
Strake Jesuit  JS,Northland Christian AH,Phoenix Pittman,Aff,"28.7																																																														1","28.0																																																														2"
Newman Smith SJ,Challenge Early JA,Abbey Chapman,Neg,"29.2																																																														2","29.4																																																														1"
BASIS Peoria PY,Carnegie Vanguard LH,Armaan Christ,Aff,"30.0																																																														1","28.7																																																														2"
William P. Clements KK,Plano East HN,Jayanne Forrest,Aff,"29.3																																																														1","28.6																																																														2"
Academy Of Classical Christian Studies JM,Garland LA,Austin Broussard,Aff,"29.5																																																														1","28.0																																																														2"
Newman Smith KM,Greenhill SK,Lilly Broussard,Neg,"28.0																																																														2","28.2																																																														1"
Centennial NM,Challenge Early KU,dylan jones,Aff,"28.5																																																														1","25.5																																																														2"
Cabot JB,McNeil KJ,Lilly Broussard,Neg,"28.0																																																														2","29.6																																																														1"
Greenhill AK,Tompkins AL,Jay Conklin,Aff,"29.2																																																														1","28.5																																																														2"
Cypress Woods OS,Lake Highland Prep PS,Vik Maan,Neg,"29.4																																																														2","29.5																																																														1"
Southlake Carroll AS,Cypress Woods CT,Evan Engel,Aff,"28.5																																																														1","28.1																																																														2"
Lake Highland Prep NP,Dripping Springs AS,Vik Maan,Aff,"29.4																																																														1","29.3																																																														2"
Lynbrook SY,Strake Jesuit  KM,Elmer Yang,Aff,"29.2																																																														1","29.1																																																														2"
