Aff,Neg,Judge,Win
Santa Clara SM,Little Rock Central BF,Clement Agho-Otoghile,Neg
Lexington JB,Monta Vista AA,Sam Anderson,Aff
Memorial BD,Coppell HA,Joseph Barquin,Aff
King CP,Valley International Prep EL,Saied Beckford,Aff
COPPHU GO,Newark Science AL,Graham Johnstone,Neg
Sammamish LW,Lexington MS,Xain Bhagwandin,Aff
Monta Vista KR,Strath Haven AM,Savit Bhat,Neg
Brophy CC,Memorial DX,John Boals,Aff
Strake Jesuit  JS,Harrison JP,Grant Brown,Neg
Langham Creek ML,Plano East AW,Scott Brown,Neg
Oxford VM,Bellarmine  AK,Spiridhon Hoxha,Aff
Mission San Jose SR,Ardsley LL,Nolan Burdett,Aff
Eastern LW,Millard North AR,Sebastian Cho,Neg
Heights CT,Oak Ridge AH,Carlos Carrasco,Aff
William G. Enloe PD,Harvard-Westlake WL,Isaac Chao,Aff
Iowa City West NW,St Agnes EH,Armaan Christ,Neg
Westridge KY,William G. Enloe RN,Yeou Dong,Neg
Clear Springs EG,Westwood DL,Holden Bukowsky,Neg
Hawken NS,BASIS Independent Silicon Valley JK,Colton Gilbert,Neg
Meadow Glen VW,Harvard-Westlake RV,Gerard Grigsby,Aff
Strake Jesuit  KM,Lake Highland Prep HL,Lilia Guizatoullina,Neg
Hawken NK,Dulles NJ,Michael Harris,Neg
Westridge TW,Harker RM,Eric He,Neg
Village HL,McLean MH,Cyrus Jackson,Neg
Mountain House ES,Strake Jesuit  KS,Saianurag Karavadi,Neg
McNeil AG,Jordan FJ,Kyle Kopf,Aff
San Mateo YR,Harker KB,Lukas Krause,Aff
Village SZ,Isidore Newman EE,Truman Le,Neg
Holy Cross JD,Cy-Fair SB,Briajia Levi,Aff
Harvard-Westlake ZG,Silver Creek KZ,Nethmin Liyanage,Neg
Saratoga AG,Prospect ST,Emmiee Malyugina,Neg
Park City NC,Chaminade AS,Ian Matsuzeski,Neg
Lake Highland Prep SV,Providence Senior AK,Jonathan Meza,Aff
Southlake Carroll EP,Pine View EL,Parth Misra,Neg
McNeil MY,Marlborough WR,Jacob Nails,Neg
Los Altos AK,Harvard-Westlake AM,Vanessa Nguyen,Aff
Westlake MR,Marcus MO,Aidin O'Brien,Aff
Millard North NL,Apple Valley SI,Nelson Okunlola,Aff
Eagan AE,Harrison TB,Ceili Peake,Aff
Harrison JG,Mercer Island KS,Christopher Randall,Neg
Dougherty Valley AP,Jordan VS,Claudia Ribera,Neg
Solebury LN,Little Rock Central MG,Rafael Sanchez,Neg
James Bowie NW,South Eugene KS,Aashir Sanjrani,Aff
Coppell AS,Lynbrook SY,Danijel Seep,Neg
Harker SS,West Des Moines Valley AM,Daniel Shi,Aff
Harker AS,Plano East NG,John Sims,Neg
Harrison JB,Harvard-Westlake CR,Elijah Smith,Neg
Harvard-Westlake AD,Strake Jesuit  JW,Allyson Spurlock,Neg
Marlborough MJ,Coppell EH,Preston Stolte,Aff
Heights AW,Monta Vista RD,James Stuckert,Neg
L C Anderson NW,Winston Churchill PH,Chris Theis,Neg
Harker PG,Brophy TJ,Asher Towner,Aff
Briarcliff EW,Dougherty Valley KZ,Jannat Verma,Aff
Harker MK,Dulles VN,Immanuel Victor,Neg
Unionville AS,Scripps Ranch AS,Ananta Wadhwa,Neg
Hawken AS,Harker SY,Vontrez White,Aff
Marlborough JS,Buchholz VB,Lindsey Williams,Aff
Oak Ridge AA,Oxford VD,Ari X,Neg
Carnegie Vanguard LH,Westwood SP,Elmer Yang,Aff
Apple Valley KW,Iowa City West ST,Angela Zhong,Neg
