Aff,Neg,Judges,Votes,Win
Southlake Carroll Shetty,Strake Jesuit  Wen,"Jack Quisenberry																																		Sophie Wilczynski																																		dylan jones","Neg																												Neg																												Neg","3-0																															NEG"
Plano East Walia,American Heritage Broward Burkeen,"Joseph Georges																																		Tuyen Le																																		dylan jones","Aff																												Aff																												Aff","3-0																															AFF"
Westlake Hou,American Heritage Broward Swickle,"Jarvis Xie																																		Angela Zhong																																		Eric Gao","Neg																												Neg																												Neg","3-0																															NEG"
Memorial Gu,Coppell Ahmad,"Dustyn Beutelspacher																																		Nelson Okunlola																																		Alex Myers","Neg																												Neg																												Neg","3-0																															NEG"
Strake Jesuit  Shah,Northland Christian McCathran,"Isaac Chao																																		Holden Bukowsky																																		Iyad Chowdhury","Aff																												Aff																												Aff","3-0																															AFF"
Coppell Sibanda,Prospect Tian,"Abhived Pulapaka																																		Jennifer Xac																																		Lawson Hudson","Neg																												Neg																												Neg","3-0																															NEG"
Strake Jesuit  Sun,Cypress Woods Zhang,"Alfonso Arreola																																		Isaac Chao																																		Hunter Foster","Aff																												Aff																												Aff","3-0																															AFF"
Strath Haven Manaker,American Heritage Broward Rodriguez,"Ishan Rereddy																																		William Walker																																		Matthew Doggett","Aff																												Aff																												Aff","3-0																															AFF"
Woodlands Mohler,Diamond Bar Chu,"Tommy Yu																																		Angela Zhong																																		Nandak Dhurjati","Neg																												Aff																												Aff","2-1																															AFF"
Dulles Nataraja,L C Anderson Sharma,"Matthew Doggett																																		Lilly Broussard																																		Aaron Barcio","Aff																												Aff																												Aff","3-0																															AFF"
Westwood Jeon,Westlake Conklin,"Tristan Rios																																		Vivian McDonald																																		Spiridhon Hoxha","Aff																												Aff																												Aff","3-0																															AFF"
McNeil Gulati,Dulles John,"Armaan Christ																																		Vivian McDonald																																		Spiridhon Hoxha","Aff																												Aff																												Neg","2-1																															AFF"
St Agnes Huang,Lamar Mahendru,"Benjamin Wolf																																		Parker Traxler																																		Cana Blanton","Aff																												Aff																												Aff","3-0																															AFF"
Claudia Taylor Johnson Reichle,Westlake Roberts,"Joseph Georges																																		Brett Cryan																																		Nigel Taylor-Ward","Neg																												Neg																												Aff","2-1																															NEG"
Village Li,Westlake Keeler,"Jarvis Xie																																		Jacob Lugo																																		Truman Le","Neg																												Neg																												Neg","3-0																															NEG"
James Bowie Weerakoon,Flower Mound Thandassery,"Elmer Yang																																		Temitope Ogundare																																		Ishan Rereddy","Neg																												Neg																												Neg","3-0																															NEG"
Carnegie Vanguard Huang,Greenhill Watt,"Kylie Hedge																																		Holden Bukowsky																																		William Walker","Neg																												Aff																												Aff","2-1																															AFF"
Lake Travis Story,Newman Smith Jampala,"Elmer Yang																																		Aaron Barcio																																		Cana Blanton","Neg																												Neg																												Neg","3-0																															NEG"
Northland Christian Hao,L C Anderson Watkins,"Tuyen Le																																		Avery Wilson																																		Iyad Chowdhury","Neg																												Neg																												Neg","3-0																															NEG"
Mount Pleasant Orellana,Greenhill Koshy,"Passa Pungchai																																		Jacob Lugo																																		Adam Lipton","Aff																												Aff																												Neg","2-1																															AFF"
McNeil Mustafa,Memorial Duong,"Jack Quisenberry																																		Benjamin Wolf																																		Parker Traxler","Neg																												Aff																												Neg","2-1																															NEG"
Westlake Coulter,Langham Creek Le,"Temitope Ogundare																																		Avery Wilson																																		Lawson Hudson","Neg																												Neg																												Neg","3-0																															NEG"
Immaculate Heart Pisarik,Southlake Carroll Pinjani,"Brett Cryan																																		Garrett Bishop																																		Alex Myers","Neg																												Neg																												Neg","3-0																															NEG"
Strake Jesuit  Arcos,L C Anderson Millard,"Alfonso Arreola																																		Dustyn Beutelspacher																																		Adrita RayChaudhuri","Aff																												Aff																												Aff","3-0																															AFF"
Strake Jesuit  Meng,Memorial Ting,"Maanik Chotalla																																		Tommy Yu																																		Hunter Foster","Neg																												Aff																												Aff","2-1																															AFF"
Immaculate Heart Rees,Village Wang,"Zaid Umar																																		Tristan Rios																																		Caleb White","Aff																												Aff																												Aff","3-0																															AFF"
Greenhill Kesselman,Brophy Chun,"Armaan Christ																																		Sophie Wilczynski																																		Lilly Broussard","Neg																												Aff																												Aff","2-1																															AFF"
McNeil Challa,Carnegie Vanguard Cui,"Stephen Scopa																																		Truman Le																																		Noah McCuistion","Aff																												Neg																												Neg","2-1																															NEG"
Challenge Early Adegoke,Memorial Xu,"Abhived Pulapaka																																		Jennifer Xac																																		Nelson Okunlola","Neg																												Aff																												Neg","2-1																															NEG"
Woodlands Hant,Strake Jesuit  Walker,"Maanik Chotalla																																		Stephen Scopa																																		Adrita RayChaudhuri","Neg																												Neg																												Neg","3-0																															NEG"
Plano East Gong,Plano East Gorty,,Plano East Gong advances,Plano East Gong advances
Westwood Ganesan,Westwood Pissay,,Westwood Ganesan advances,Westwood Ganesan advances
