Pro,Con,Judge,Win
Oakwood HW,Dougherty Valley DD,Cecilia Xi,Con
Independent Hamilton TN,Dougherty Valley NS,Nate Kruger,Con
Quarry Lane BD,Alsion Montessori SS,Ravi Pinnamaneni,Con
Mission San Jose KK,Dougherty Valley AP,Devon Weis,Pro
Quarry Lane NV,Los Altos CL,Zheng Wan,Pro
Woodside Priory WW,Harker CZ,Nate Kruger,Con
Archbishop Mitty AD,Mission San Jose VP,Steve Li,Con
Harker JG,Overlake Unaffiliated CV,Yogesh Bhayana,Con
Silver Creek LD,Dougherty Valley UC,Rashmi Goyal,Con
Silver Creek LJ,Quarry Lane LY,Cecilia Xi,Pro
Mission San Jose PM,Quarry Lane YY,Anousha Athreya,Con
Dougherty Valley GB,College Prep HuPi,Keith Kottenbach,Con
Quarry Lane PS,College Prep YM,Wyatt Alpert,Pro
American JR,Poly Prep Country Day ST,Zheng Wan,Con
Harker LS,Nueva XX,Gauri Pawar,Con
Dougherty Valley BK,Harker YC,Steve Li,Pro
Archbishop Mitty LC,Saratoga JG,Ravi Pinnamaneni,Con
Overlake Unaffiliated CL,Dougherty Valley PM,Devon Weis,Pro
Nueva CL,Del Norte Independent AH,Gauri Pawar,Con
Archbishop Mitty MN,Harker PC,Yogesh Bhayana,Pro
BASIS Chandler CV,Archbishop Mitty BC,Sergio Martinez,Pro
Oakwood BT,Dougherty Valley PD,Rashmi Goyal,Pro
Palo Alto GS,Harker SS,Wyatt Alpert,Pro
Monta Vista GT,College Prep ElRa,,"Pro BYE																									Con FFT"
