Aff,Neg,Judges,Votes,Win
Washington-Liberty DM,Northland Christian LM,"Isaac Chao																																						Maxwell Zen ONLINE																																						Amanda Ciocca","Neg																															Aff																															Neg","2-1																															NEG"
Clark Independent RC,Heights EP,"Leslie Rini																																						Immanuel Victor																																						Michael Reichle","Neg																															Neg																															Neg","3-0																															NEG"
Stuyvesant PH,Strake Jesuit  SV,"Cyrus Jackson																																						Shanthi Ashok																																						Joanne Park","Neg																															Neg																															Neg","3-0																															NEG"
Heights CT,MAST@FIU DZ,"Lalit Kumar																																						William Walker																																						Praphulla Suryawanshi","Neg																															Aff																															Aff","2-1																															AFF"
Northland Christian JH,Travis B. Bryan EC,"Faizaan Dossani																																						Kwudjwa Osei																																						Jesse Nguyen","Aff																															Neg																															Aff","2-1																															AFF"
Claudia Taylor Johnson Independent RM,North Allegheny KW,"Christian Lopez																																						Ben Zhang																																						Carl Cheng","Neg																															Aff																															Aff","2-1																															AFF"
Monta Vista AA,Washington Independent WL,"Sasha Turner																																						Katie Wang																																						aanya ghosh","Neg																															Neg																															Neg","3-0																															NEG"
Millard North SB,Northland Christian AH,"Dae-Kyung Kim																																						Parker Traxler																																						Julia Zeleny","Aff																															Neg																															Neg","2-1																															NEG"
Clear Lake MK,Woodlands Independent SP,"Cynthia Chen																																						David Wu																																						Joey Antonelli","Neg																															Aff																															Aff","2-1																															AFF"
Clear Lake RM,Palisades Charter SM,"Zoran Curgus																																						Jack Quisenberry																																						Emily Jang","Aff																															Aff																															Aff","3-0																															AFF"
Strake Jesuit  OZ,Strake Jesuit  CB,,,
Sharks Independent JP,,,,
Village SZ,,,,
Lincoln East BH,,,,
Arizona College Prep Independant WC,,,,
Strake Jesuit  SR,,,,
