Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Lovejoy SD,Immaculate Heart HY,Gordon Krauss,Neg,29,29
Northland Christian JH,Stanford OHS AY,Chris Castillo,Neg,28,29
LAMP RR,Southlake Carroll AS,Christopher Stearns,Aff,29,29
Sage Oak Charter AK,Harvard-Westlake LD,Adam Torson,Aff,28,28
Dulles TV,Brophy TJ,Elmer Yang,Neg,29,29
McNeil KJ,Lake Washington AC,Elmer Yang,Aff,29,29
Harker PG,Heights CT,Anna Myers,Aff,29,28
Westlake AH,Harker RA,David Dosch,Neg,28,29
Newark Science AL,Walt Whitman HZ,Vontrez White,Aff,30,30
Harrison JB,Westwood AP,Blake Andrews,Aff,30,27
Coppell EH,Newark Science AM,Sai Karavadi,Neg,29,29
Marlborough HL,Harvard-Westlake JT,Demarcus Powell,Aff,29,29
Arizona LK,Winston Churchill EM,Suhani Jampala,Neg,28,28
Carnegie Vanguard LH,Marlborough MJ,Cana Blanton,Neg,29,29
Northland Christian AH,Jasper RC,Armaan Christ,Neg,28,29
Strake Jesuit  VJ,Immaculate Heart SS,Suhani Jampala,Neg,28,30
Delores Taylor Arthur School for Young Men JB,Troy AP,Chaz Wyche,Neg,29,30
Cary Acad DH,Monta Vista KR,Anna Myers,Neg,29,29
Greenhill AK,St Agnes SL,dylan jones,Neg,28,28
Harvard-Westlake WL,Village SZ,dylan jones,Aff,30,29
Flower Mound AM,Stephen F Austin EN,Claudia Ribera,Aff,29,29
Southlake Carroll GD,McNeil MY,Michael Harris,Aff,29,28
Notre Dame San Jose AG,St Agnes EH,Eric Schwerdtfeger,Neg,29,30
Heights EP,Strake Jesuit  SV,Alexander Yoakum,Neg,29,29
Harrison JG,Immaculate Heart AW,Blake Andrews,Aff,30,29
BASIS Independent Silicon Valley JK,Peninsula SU,Alice Waters,Neg,28,28
Harvard-Westlake MT,Peninsula AY,Greg Achten,Aff,29,29
Meadow Glen VW,Greenhill MA,Jacob Lugo,Aff,29,28
Lynbrook MD,Northland Christian JM,Gordon Krauss,Neg,28,28
Harker SS,Westlake MR,Chris Castillo,Neg,29,29
Barrington AC,Plano East PG,Eric Schwerdtfeger,Aff,29,30
Lynbrook OM,Harker AA,David Dosch,Aff,29,29
Coppell KT,Dulles JC,Chaz Wyche,Aff,29,28
Winston Churchill PH,Carnegie Vanguard JB,Dominic Henderson,Aff,28,28
Dulles CS,Travis B. Bryan EC,Vontrez White,Aff,29,29
West Des Moines Valley JB,Southlake Carroll TY,Joseph Georges,Neg,28,28
McNeil AB,Westwood IX,Cana Blanton,Aff,29,29
Cary Acad RR,Concord Carlisle FZ,Jack Quisenberry,Aff,29,29
Strake Jesuit  KM,Marlborough WR,Alexandra Mork,Neg,29,29
Christopher Columbus MM,McNeil AS,Chetan Hertzig,Aff,29,28
Monta Vista AA,Immaculate Heart EL,Muzzi Khan,Aff,29,29
Meadows ZN,Plano East VR,Alexandra Mork,Neg,28,28
Harvard-Westlake LR,Harker VL,Demarcus Powell,Neg,28,29
Kinkaid SZ,Peninsula AB,Chris Theis,Neg,28,28
Northland Christian LM,Clear Springs EG,Philimon Yosafat,Neg,29,29
Brophy YS,Peninsula AL,Tim Alderete,Neg,28,28
Peninsula KN,Strake Jesuit  NW,Muzzi Khan,Aff,29,29
St Agnes CL,Lynbrook BZ,Chris Theis,Neg,28,29
Strake Jesuit  OZ,Lynbrook JH,Alice Waters,Aff,29,28
Strake Jesuit  AS,Coppell SK,Sai Karavadi,Neg,29,29
East Chapel Hill AX,Strake Jesuit  JW,Nelson Okunlola,Neg,30,30
Harker AS,West Des Moines Valley LS,Temitope Ogundare,Aff,30,29
