Aff,Neg,Judges,Votes,Win
Concord Carlisle FZ,Durham SA,"Austin Broussard																																						Jack Quisenberry																																						Annabelle Kim","Neg																															Neg																															Neg","3-0																															NEG"
Lincoln East JM,Monta Vista KR,"Amanda Ciocca																																						Lukas Krause																																						Jeremiah Jolivette","Neg																															Neg																															Aff","2-1																															NEG"
Honor VD,Memorial DX,"Michael Lovaglio																																						dylan jones																																						Michael Harris","Neg																															Neg																															Neg","3-0																															NEG"
Jordan FJ,Stanford OHS AY,"Bernardo Medeiros																																						Elizabeth Elliott																																						Stephen Lewis","Neg																															Aff																															Neg","2-1																															NEG"
Harvard-Westlake WL,Acton-Boxborough NK,"Isaac Chao																																						Shahina Chatur																																						Nethmin Liyanage","Aff																															Aff																															Aff","3-0																															AFF"
Coppell KT,Brophy TJ,"Cynthia Chen																																						Joseph Barquin																																						Sasha Turner","Aff																															Neg																															Neg","2-1																															NEG"
Harvard-Westlake KM,Durham PA,"Alaric Pan																																						Patrick Fox																																						Maxine Adams","Neg																															Aff																															Aff","2-1																															AFF"
Westlake MR,Flower Mound AM,"Nelson Okunlola																																						Amadea Datel																																						Coralynn Yang","Aff																															Aff																															Aff","3-0																															AFF"
Marlborough VA,OCSA Independent IL,"Adam Mimou																																						Iris Chen																																						Sruthi Ilangovan","Neg																															Neg																															Neg","3-0																															NEG"
Archbishop Mitty AP,Oak Ridge AA,"Sira Ahuja																																						Scott Brown																																						Cyrus Jackson","Neg																															Neg																															Neg","3-0																															NEG"
Harvard-Westlake AW,Christopher Columbus MM,"Jay-Z Flores																																						Alex Berry																																						Joe Kieklak","Neg																															Aff																															Aff","2-1																															AFF"
Seven Lakes VS,James Logan JS,"Sabeeh Mirza																																						Ammu Christ																																						Avery Horton","Aff																															Aff																															Aff","3-0																															AFF"
Clear Lake MK,Amador Valley EM,"Garrett Bishop																																						Sarah Zhou																																						Holden Bukowsky","Aff																															Neg																															Neg","2-1																															NEG"
Marlborough OO,Heights EP,"Jai Sehgal																																						Bryce Sheffield																																						Temitope Ogundare","Neg																															Neg																															Neg","3-0																															NEG"
Westridge TW,Lakeville South EH,"Raunak Dua																																						Matt Casas																																						Nicholas Ford","Neg																															Neg																															Aff","2-1																															NEG"
Village SZ,Shetty Independent VS,"Vontrez White																																						Jonathan Meza																																						Claudia Ribera","Aff																															Neg																															Neg","2-1																															NEG"
