Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Riverside JD,Boston Latin RB,Kevin Sánchez Cueva,Aff,28.0,26.0
Millard North AV,Oak Park RY,Alexandra Walters,Aff,28.0,27.0
Sehome EM,Papaya Valley SK,Quinn Curtis,Aff,29.4,28.9
MAST@FIU DZ,Brearley MH,Jack Xuan,Aff,27.0,26.0
Lincoln East NH,Oak Park MS,Melissa Swauncy-Coleman,Aff,26.0,26.5
"University HS, Irvine SC",BASIS Silicon Valley VP,Leslie Rini,Neg,28.5,29.1
Able2Shine WZ,Saratoga EV,Carolyn Wu,Neg,26.9,27.7
Shetty Independent VS,Able2Shine CL,Chaitra Pirisingula,Aff,30.0,28.9
Monta Vista AA,Golden State SC,Vinay Vellore,Aff,30.0,29.0
Amador Valley KC,Honor ALe,Terri Messelt,Aff,30.0,29.0
Germantown SS,Project Dialogue WZ,Sudipta Routray,Neg,26.9,27.0
Heritage High WT,Papaya Valley LK,Ollie Mei,Neg,28.0,29.0
Phoenix Country Day KG,Edgemont SU,Albert Hsu,Aff,27.5,27.0
Oak Park DV,Lincoln East KP,Andres Marquez,Neg,28.7,28.9
Interlake EW,Kinkaid SZ,Malcolm Davis,Neg,28.5,30.0
Kent Denver CH,Edgemont NH,Sreenivasulu Kankanala,Neg,25.0,27.0
Coppell SA,Dougherty Valley PN,Faizaan Dossani,Neg,28.2,28.3
Lake Highland Prep WH,Mercer Island AW,Clement Agho-Otoghile,Aff,28.7,28.0
Har-Ber AG,Phillips Academy Andover DB,Brittany Stanchik,Neg,28.0,28.5
Mira Loma CF,Ardrey Kell SD,Suraj Gowda,Aff,28.5,28.0
Honor AL,Edgemont AP,Paul Shone,Aff,28.5,28.3
San Marino WC,Millard North JS,Briajia Levi,Aff,29.3,29.2
Los Altos EY,Vestavia Hills JR,Reza Shahmohammadi Arani,Aff,27.0,26.0
Millard North SP,Saratoga AK,Sam Allen,Neg,28.5,28.6
Pinewood TA,Millard North SG,Max Wiessner,Neg,28.5,28.7
Equality Independent RC,James Logan KG,Jun Chen,Aff,27.5,27.4
Monta Vista AC,Lexington AL,Richard Butler,Neg,27.0,28.0
Northwood JS,Palo Alto AS,Cynthia Chen,Aff,28.5,27.5
Phillips Exeter ES,Lake Buena Vista AR,Michael Fain,Aff,29.3,28.0
Lincoln East JM,Charlotte Latin AT,Jayden Bai,Neg,29.2,29.0
Mountain Lakes EW,Interlake BD,Daniel Shi,Aff,30.0,29.9
Charlottesville LC,BASIS Silicon Valley JK,Zaid Umar,Neg,27.9,28.6
Acton-Boxborough NK,Millard North PP,Matthew St-Germain,Aff,28.6,27.9
Dougherty Valley AM,Amador Valley LA,Nicholas Santiago,Aff,28.5,28.3
BASIS Chandler HL,Carrollwood Highschool DL,Sheetal Shreedhar,Aff,28.5,28.0
Washington Independent WL,Millard North SB,Liam Nyberg,Aff,29.3,29.2
Heritage High RL,American AS,Mahdis Miller,Neg,28.0,30.0
Mira Loma KV,Palisades Charter SM,SANJAY KALRA,Neg,28.0,29.0
Ardrey Kell IJ,Cary Acad RM,Ravi Yarlagadda,Aff,27.5,27.0
Oak Park DH,American SS,Ruth Robinson,Aff,29.0,28.0
DuPont Manual HS    Youth Performing Arts MG,BASIS Silicon Valley AY,Schylar Smith,Neg,27.5,28.2
Oak Ridge Independent AH,Acton-Boxborough AK,Elena Belashchenko,Aff,29.5,29.4
Charlotte Latin NG,Lincoln East BH,Matt Casas,Neg,29.9,30.0
Palmer Hills Independent DG,Dougherty Valley SL,Pratham Soni,Aff,30.0,29.9
St Croix Prep BA,James Logan AA,Shali Shetty,Neg,26.0,28.0
Riverside SH,Lexington NW,Daniel Shatzkin,Aff,28.7,27.9
Sage Hill AJ,Millard North GS,Scott Brown,Aff,29.1,29.0
Ardrey Kell NG,Dougherty Valley AP,Cyrus Jackson,Neg,29.0,29.1
Dougherty Valley SK,Interlake SY,Sarah Picciola,Neg,27.5,28.0
Kennedy Independent KR,Science NB,Vishali Jujjavarapu,Aff,28.0,27.0
Project Dialogue OX,Interlake JP,Di Wu,Neg,29.3,29.5
University Prep Seattle SR,Amador Valley EM,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
,DuPont Manual HS    Youth Performing Arts MK,,Neg BYE,Neg BYE,
