Aff,Neg,Judges,Votes,Win
Germantown Unaffiliated YK,Harrison RP,"Zi Wang																																						Hakan Eskici																																						Elissa Lu","Neg																															Neg																															Neg","3-0																															NEG"
Westlake MR,Interlake JP,"Eva Lamberson																																						Tyler Thur																																						Elijah Pitt","Aff																															Aff																															Neg","2-1																															AFF"
Lynbrook OM,Harrison BS,"Matthew St-Germain																																						Hunter Harwood																																						Nick Loew","Neg																															Neg																															Aff","2-1																															NEG"
Horace Greeley AM,Village SZ,"Andrew Tran																																						Bennett Dombcik																																						Ayman Badawy","Aff																															Neg																															Neg","2-1																															NEG"
Heritage High WT,Cary Acad DH,"Cynthia Chen																																						Michael Harris																																						Aidan Etkin","Aff																															Neg																															Aff","2-1																															AFF"
Midtown HJ,Harrison JG,"Victor Chen																																						Scott Brown																																						Jacob Nails","Aff																															Neg																															Neg","2-1																															NEG"
Newark Science AL,Acton-Boxborough NK,"Cyrus Jackson																																						Alexis Sibanda																																						David Wu","Neg																															Neg																															Aff","2-1																															NEG"
Harrison AG,Harker NB,"Eleanora Lawrence																																						Amanda Ciocca																																						Collin Goemmer","Neg																															Aff																															Aff","2-1																															AFF"
Monta Vista EY,Washington Independent WL,"Elaine Dong																																						Nethmin Liyanage																																						Grace Kessler","Neg																															Neg																															Neg","3-0																															NEG"
Amador Valley EM,Harker SY,"Antonina Clementi																																						Michael Zhou																																						Faizaan Dossani","Aff																															Aff																															Neg","2-1																															AFF"
"University HS, Irvine RN",Memorial DX,"Michael Lovaglio																																						Nathan Gong																																						Conner Shih","Aff																															Neg																															Neg","2-1																															NEG"
Lexington RL,Harker SS,"Reyna Abhyankar																																						Nathan Chu																																						Avery Dover","Aff																															Neg																															Neg","2-1																															NEG"
Athenian EY,Walt Whitman HZ,"Chaz Espinal Wyche																																						Jack Ave																																						Ariel Gabay","Neg																															Neg																															Neg","3-0																															NEG"
Lake Highland Prep WH,Colonial Forge SR,"Jeff Freedman																																						Mattew Anazco																																						Elizabeth Miani","Neg																															Neg																															Neg","3-0																															NEG"
Jordan KV,Lexington AT,"Briajia Levi																																						Peter Haynes																																						Elysian Orlando","Neg																															Neg																															Aff","2-1																															NEG"
Christopher Columbus MM,Harker PG,"Bryce Sheffield																																						Chris Paredes																																						Benjamin Lannis","Neg																															Neg																															Aff","2-1																															NEG"
