Aff,Neg,Judges,Votes,Win
Christopher Columbus MM,Meadow Glen VW,"Cyrus Jackson																																						Taylor Dougherty																																						Ryan Curran","Neg																															Aff																															Aff","2-1																															AFF"
Neenah NB,Carnegie Vanguard LH,"Rui Ma																																						Sai Karavadi																																						Avery DeWitt","Neg																															Neg																															Aff","2-1																															NEG"
Summit MR,BASIS Independent Silicon Valley SK,"Lissette Gonzalez																																						Abhived Pulapaka																																						James Vasquez","Aff																															Neg																															Neg","2-1																															NEG"
Harrison JG,Colonial Forge SR,"Zi Wang																																						Karen Scarmozzino																																						Patrick McGhee","Aff																															Neg																															Aff","2-1																															AFF"
Charlotte Latin AT,Ridge RD,"Amadea Datel																																						Bryan Torres																																						Dylan Shi","Neg																															Neg																															Aff","2-1																															NEG"
Brophy TJ,Aragon ZA,"Immanuel Victor																																						Nataliya Kasatkin																																						Jacob Nails","Aff																															Aff																															Aff","3-0																															AFF"
Scripps Ranch AS,Montville PM,"Tyler Gamble																																						Conal Thomas-McGinnis																																						Folu Ogundipe","Aff																															Aff																															Neg","2-1																															AFF"
Lexington MS,Cary Acad RR,"Sid Thandassery																																						Tommy Yu																																						Lei Huang","Neg																															Neg																															Neg","3-0																															NEG"
Coppell SK,Lawrenceville MM,"Charles Zenhausern																																						Enya Pinjani																																						Michael Harris","Aff																															Neg																															Neg","2-1																															NEG"
Lake Highland Prep GM,Coppell KT,"Shruti Narayanabhatla																																						Mark Kivimaki																																						Laura Lin","Neg																															Neg																															Aff","2-1																															NEG"
Midtown HJ,Chaminade AS,"Hang Pan																																						Vishnu Nataraja																																						Kaily Kim","Neg																															Neg																															Aff","2-1																															NEG"
Unionville AS,Princeton AS,"Robert Gale																																						Lauren Chin																																						Aditya Kurra","Aff																															Neg																															Neg","2-1																															NEG"
Clear Lake RM,Ridge SG,"Tina Sood																																						Nilay Patel																																						Muhammed Hossain","Aff																															Neg																															Neg","2-1																															NEG"
Concord Carlisle FZ,Jasper RC,"Srisha Raj																																						Jalyn Wu																																						Vishnu Vennelakanti","Aff																															Aff																															Neg","2-1																															AFF"
American Heritage Palm Beach CW,Durham PA,"Tajaih Robinson																																						Lotem Levy																																						Anand Rao","Aff																															Neg																															Neg","2-1																															NEG"
Claudia Taylor Johnson RM,Lynbrook BZ,"Graham Johnstone																																						Amber Bendersky																																						David Mogadati","Aff																															Aff																															Neg","2-1																															AFF"
Lexington RL,Jordan VS,"Joshua Adegoke																																						Patrick Tapia																																						Annabelle Kim","Neg																															Neg																															Aff","2-1																															NEG"
Clear Springs EG,Millburn ST,"Aanya Ghosh																																						Karan Shah																																						Clement Agho-Otoghile","Neg																															Aff																															Aff","2-1																															AFF"
Harrison AG,Heights EP,"Zakai Petilon																																						Isabel Hoffman																																						Blake Ziegler","Neg																															Neg																															Aff","2-1																															NEG"
American Heritage Broward MC,Isidore Newman AB,"Vik Maan																																						Arun Kodumuru																																						Paxton Sheppard","Aff																															Aff																															Neg","2-1																															AFF"
Delores Taylor Arthur School for Young Men JB,Pine View EL,"Gallo Patel																																						Andrea Peterson-Longmore																																						Garrett Bishop","Neg																															Neg																															Neg","3-0																															NEG"
BASIS Independent Silicon Valley JK,Collegiate ND,"Nikhil Weerakoon																																						Ava Said																																						Ammaar Siddiqui","Neg																															Neg																															Neg","3-0																															NEG"
Durham SA,MAST@FIU DZ,"Anne Morel																																						Nicholas Ford																																						Darius White","Neg																															Aff																															Aff","2-1																															AFF"
Jordan FJ,Village SZ,"Carinne Granchi																																						Isaac Chao																																						Faizaan Dossani","Neg																															Aff																															Neg","2-1																															NEG"
VDA - Vancouver OC,Jordan KV,"Regina Blenda																																						Deena McNamara																																						Jarvis Xie","Neg																															Aff																															Neg","2-1																															NEG"
East Chapel Hill AX,GHS LW,"Kristopher Samuel																																						Dhruv Raghavan																																						Shannon Rodgers","Neg																															Neg																															Aff","2-1																															NEG"
Lake Highland Prep SV,McDowell JJ,"Antonina Clementi																																						Christopher Randall																																						Forrest Weintraub","Neg																															Aff																															Neg","2-1																															NEG"
Winston Churchill PH,Stuyvesant DZ,"Eva Lamberson																																						Brett Fortier																																						Ishan Rereddy","Aff																															Neg																															Neg","2-1																															NEG"
Monta Vista KR,Monta Vista AA,,Monta Vista KR advances,Monta Vista KR advances
American Heritage Broward SS,,,,
San Mateo YR,,,,
Seven Lakes VS,,,,
