Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Aragon ZA,Neenah SH,Stephen Scopa,Aff,28.5,28.2
Lexington MS,American Heritage Palm Beach CW,Mark Kivimaki,Aff,28.6,28.5
Christopher Columbus ND,Delores Taylor Arthur School for Young Men JB,Shannon Rodgers,Neg,29.7,29.8
Randolph FH,Syosset KP,Muhammed Hossain,Neg,28.5,29.5
Heights SC,Lake Highland Prep VS,Jalyn Wu,Aff,28.2,28.0
Hill JG,Wayzata BF,Tina Sood,Aff,28.0,27.0
Neenah AL,Princeton MM,Peter Zhang,Aff,29.0,28.9
Scarsdale CW,Poly Prep Country Day RG,Abhived Pulapaka,Neg,28.0,28.1
Village HL,Cary Acad SH,Ryan Parimi,Aff,29.1,28.7
Lexington AL,Durham SA,Zakai Petilon,Neg,29.7,29.9
Lynbrook BZ,MAST@FIU DZ,Robert Mingey,Neg,28.4,28.6
Harrison JG,VDA - Vancouver OC,Eva Lamberson,Aff,29.0,28.7
Bellingham MC,Upper St Clair JZ,Ava Said,Aff,29.0,28.8
DuPont Manual HS    Youth Performing Arts KD,Village SZ,Dhruv Raghavan,Neg,28.3,29.6
Lynbrook VV,Isidore Newman JD,Ishan Rereddy,Aff,28.2,28.8
Saratoga ES,Horace Greeley SG,Cyrus Jackson,Neg,29.1,29.2
American Heritage Broward SS,Southlake Carroll AS,Conal Thomas-McGinnis,Aff,30.0,28.8
Lake Highland Prep GM,West Des Moines Valley LS,Darius White,Aff,28.8,28.7
Jordan RH,Germantown YK,Annabelle Kim,Neg,28.4,29.4
Charlotte Latin NG,Lynbrook MD,Nathan Gong,Neg,28.7,28.8
Saratoga EV,Jasper RC,Zi Wang,Neg,28.4,28.5
Unionville AS,Charlotte Latin AT,Vik Maan,Neg,29.5,29.6
Coppell SK,James Logan AS,Anand Rao,Aff,29.6,29.3
James Logan JS,Midtown HJ,Kristopher Samuel,Neg,28.7,28.8
Syosset VH,Millburn RH,Jennifer Stenard,Aff,29.0,28.0
Phoenix Country Day KG,Cary Acad RR,Tajaih Robinson,Neg,28.8,29.1
McDowell JJ,Ridge MS,Amber Bendersky,Aff,29.0,28.9
Ridge RD,Claudia Taylor Johnson RM,Aditya Kurra,Aff,29.4,29.0
Valley Christian CL,Stuyvesant PH,Joshua Adegoke,Neg,29.1,29.2
Monta Vista EY,Ridge SG,Vishnu Nataraja,Aff,29.3,28.5
Sehome EM,San Mateo YR,Brett Fortier,Neg,29.1,29.3
Arizona LK,BASIS Scottsdale SC,Laura Lin,Neg,29.1,29.7
Stuyvesant DZ,Concord Carlisle FZ,Michael Harris,Neg,29.0,29.1
Midtown FB,Princeton AS,Garrett Bishop,Neg,28.5,29.0
Boston Latin MM,Clear Springs EG,Antonina Clementi,Neg,27.8,28.8
Brophy TJ,Vestavia Hills MH,Amadea Datel,Aff,29.4,29.2
Harrison SR,Neenah KH,Clement Agho-Otoghile,Aff,29.0,28.5
Claudia Taylor Johnson JA,Southlake Carroll GD,Deena McNamara,Aff,29.5,28.5
Harrison AGe,BASIS Independent Silicon Valley SK,Lauren Chin,Neg,29.0,29.7
Clear Lake RM,Chaminade AS,Arun Kodumuru,Neg,28.8,28.9
DuPont Manual HS    Youth Performing Arts SS,Lexington SF,Tommy Yu,Neg,29.5,30.0
Meadow Glen VW,Montville AM,Levin David,Aff,29.0,27.7
Strake Jesuit  SQ,Carrollwood Day DL,Tyler Gamble,Aff,30.0,29.9
Summit CC,Brophy YS,Tyler Mruczinski,Aff,29.1,29.0
BASIS Independent Silicon Valley JK,Monta Vista KR,Lei Huang,Neg,29.0,29.5
Isidore Newman AB,Neenah NB,Christopher Randall,Aff,28.5,28.0
Scarsdale IA,Broad Run SW,Andrea Peterson-Longmore,Aff,28.2,27.8
Harrison AG,Horace Greeley AM,Patrick Tapia,Neg,28.5,29.0
Scarsdale JK,DuPont Manual HS    Youth Performing Arts JS,Dylan Shi,Neg,28.3,28.2
Dulles CS,BASIS Chandler HL,Hang Pan,Neg,28.0,29.0
Palo Alto AS,Carnegie Vanguard KF,Alan Munschy,Neg,27.9,28.9
Stuyvesant GC,Lexington AR,Sid Thandassery,Aff,29.7,29.6
Hunter SO,Scripps Ranch AS,Faizaan Dossani,Neg,28.0,27.7
Mountain lakes high EW,Cypress Bay IK,Graham Johnstone,Aff,28.8,28.6
Cary Acad RL,Jordan FJ,Taylor Dougherty,Neg,29.0,29.2
East Chapel Hill AX,American Heritage Palm Beach AE,Regina Blenda,Aff,28.5,28.2
Lexington LY,Holy Trinity Episcopal RP,Blake Ziegler,Neg,28.2,28.7
Pine View EL,Lexington NW,Shruti Narayanabhatla,Aff,29.7,29.1
