Pro,Con,Judges,Votes,Win
SF Lincoln WW,Lakeville North LM,"Reagan Yount																																						Joshua Enebo																																						Moti Begna","Pro																															Con																															Con","2-1																															CON"
Dougherty Valley PB,Monta Vista TG,"Stella Sung																																						Christopher Bryant																																						Vasu Rajanna","Pro																															Pro																															Con","2-1																															PRO"
Theodore Roosevelt TB,Theodore Roosevelt LH,,Theodore Roosevelt TB advances,Theodore Roosevelt TB advances
Edina SR,,,,
Kinkaid LT,,,,
St Paul Academy and Summit CK,,,,
Westlake SS,,,,
Blake PT,,,,
Lakeville North SZ,,,,
Iowa City West KE,,,,
Canyon Crest SS,,,,
Dougherty Valley AJ,,,,
Blake CK,,,,
Cranbrook WS,,,,
Blake CB,,,,
Blake OR,,,,
Dougherty Valley GD,,,,
Eden Prairie GK,,,,
Westlake KP,,,,
Fairmont Prep MT,,,,
Theodore Roosevelt GA,,,,
St Paul Academy and Summit CS,,,,
Harker SL,,,,
Dougherty Valley UM,,,,
Blake BC,,,,
Delbarton XP,,,,
Blake KV,,,,
Kinkaid ZY,,,,
Delbarton CE,,,,
Fairmont Prep SS,,,,
Dougherty Valley SD,,,,
Ravenwood MM,,,,
