Pro,Con,Judges,Votes,Win
Memorial TN,Westlake KP,"Jeffrey Song																																						Neo Curry																																						Joshua Martinez","Con																															Con																															Con","3-0																															CON"
Seven Lakes ML,Westwood SI,"Blake Andrews																																						Justin Shim																																						Gabrielle Smith","Pro																															Pro																															Pro","3-0																															PRO"
Plano West KL,James Bowie BB,"Ryan Love																																						Lisa Haddock																																						Suchitra Malepati","Pro																															Pro																															Pro","3-0																															PRO"
Lovejoy PP,Jasper YQ,"Anbu Subramanian																																						El Contreras																																						Austin Zhao","Pro																															Con																															Con","2-1																															CON"
Southlake Carroll SB,Strake Jesuit  MT,"Andy Stubbs																																						Chris Gong																																						Amogh Mahambare","Pro																															Pro																															Con","2-1																															PRO"
Westwood DV,Kinkaid YZ,"Nahom Tulu																																						Skandha Gopinath																																						Avinash Chivakula","Pro																															Con																															Pro","2-1																															PRO"
Jasper VA,Kinkaid LT,"Alejandra Varghese																																						Araceli Casasola																																						Arham Kundi","Pro																															Pro																															Pro","3-0																															PRO"
Seven Lakes KS,Southlake Carroll KA,"Brian McAninch																																						Caden Day																																						Amey Sharma","Pro																															Con																															Con","2-1																															CON"
Flower Mound KK,A and M Consolidated VW,"Alejandra Varghese																																						Araceli Casasola																																						Arham Kundi","Con																															Pro																															Pro","2-1																															PRO"
Jasper AB,Seven Lakes MJ,"Brian McAninch																																						Caden Day																																						Amey Sharma","Pro																															Pro																															Pro","3-0																															PRO"
Westlake WK,Dulles MB,"Ryan Love																																						Lisa Haddock																																						Suchitra Malepati","Con																															Con																															Con","3-0																															CON"
Southlake Carroll SN,A and M Consolidated LP,"Andy Stubbs																																						Chris Gong																																						Amogh Mahambare","Con																															Con																															Con","3-0																															CON"
Westlake CR,Seven Lakes CL,"Anbu Subramanian																																						El Contreras																																						Austin Zhao","Con																															Pro																															Con","2-1																															CON"
L C Anderson SM,Southlake Carroll BK,"Pranav Kasibhatla																																						Shantala Shastri																																						Atul Kapoor","Con																															Con																															Con","3-0																															CON"
Westwood BK,St John's CJ,"Nahom Tulu																																						Skandha Gopinath																																						Avinash Chivakula","Con																															Pro																															Pro","2-1																															PRO"
Southlake Carroll RY,Southlake Carroll GW,,Southlake Carroll RY advances,Southlake Carroll RY advances
