Pro,Con,Judges,Votes,Win
Schreiber FD,Ridge ZM,"James Bailey																																						Christopher Robertson																																						Richard Nash","Con																															Con																															Con","3-0																															CON"
Half Hollow Hills HS East GS,Delbarton EC,"Owen Sibal																																						Aidan Gouley																																						Aubrey Semple","Con																															Con																															Con","3-0																															CON"
Bronx Science WZ,Summit AB,"Becky Weaver																																						Henry Turner																																						Sebastien Nordenson","Pro																															Pro																															Con","2-1																															PRO"
Princeton MJ,Bergen County Academies LS,"Mike Siller																																						Andy Forest																																						Vinayak Menon","Con																															Con																															Con","3-0																															CON"
Regis CK,Hunter BG,"Ying Zou																																						Janet Zhang																																						Shashikumar Boriahkrishnappa","Con																															Pro																															Pro","2-1																															PRO"
St Luke's GG,Hunter MK,"Anthony Cruz																																						Sean Merkel																																						Teresa Uthurralt","Pro																															Con																															Pro","2-1																															PRO"
Stuyvesant MH,Regis BT,"Bob Shurtz																																						Tanay Dalmia																																						Gennaro Fontano","Pro																															Pro																															Pro","3-0																															PRO"
Lexington FJ,Poly Prep Country Day BN,"Ben Bartels																																						Lisa Gring-Pemble																																						Colin Adamo","Pro																															Pro																															Pro","3-0																															PRO"
Regis BK,Timothy Christian SC,"Yongshun Lin																																						Gary Silverman																																						Deven Singh","Pro																															Pro																															Pro","3-0																															PRO"
Richard Montgomery LW,Riverdale Country SS,"Evan Bubniak																																						Ria Vasishtha																																						Ray Chang","Pro																															Pro																															Pro","3-0																															PRO"
JR Masterman CA,Millburn GW,"David Levin																																						Alex Dischler																																						Shreeram Modi","Pro																															Pro																															Pro","3-0																															PRO"
Acton-Boxborough LJ,Delbarton XA,"Ben Bartels																																						Lisa Gring-Pemble																																						Colin Adamo","Pro																															Pro																															Pro","3-0																															PRO"
Collegiate KF,Delbarton DV,"Owen Sibal																																						Aidan Gouley																																						Aubrey Semple","Con																															Con																															Pro","2-1																															CON"
Collegiate AW,Lexington MaLi,"Charles Karcher																																						Noah Mengisteab																																						Yushu Xue","Con																															Con																															Con","3-0																															CON"
McLean WJ,Regis AQ,"David Cho																																						John Davis																																						Kylene D'Alfonso","Con																															Pro																															Con","2-1																															CON"
McLean WK,Medina Senior EW,"Melodie Ting																																						Christie Walser																																						Xiaohong Fang","Pro																															Con																															Pro","2-1																															PRO"
Hunter KP,Spence CC,"Andrea Stein																																						Brooke Blanton																																						Noor Lima Boudakian","Con																															Con																															Con","3-0																															CON"
Stuyvesant LY,Westfield DM,"David Levin																																						Alex Dischler																																						Shreeram Modi","Con																															Con																															Con","3-0																															CON"
Bergen County Academies CM,Dulles LH,"Bob Shurtz																																						Tanay Dalmia																																						Gennaro Fontano","Pro																															Pro																															Con","2-1																															PRO"
Bronx Science GM,Cambridge Rindge and Latin PR,"Melodie Ting																																						Christie Walser																																						Xiaohong Fang","Con																															Con																															Con","3-0																															CON"
Byram Hills PA,Acton-Boxborough SS,"Ying Zou																																						Janet Zhang																																						Shashikumar Boriahkrishnappa","Con																															Con																															Con","3-0																															CON"
Horace Mann JS,Hunter MM,"Kenneth Donnelly																																						Cassie Ehrenberg																																						Laura De Olden","Pro																															Con																															Con","2-1																															CON"
Millburn SD,Regis CM,"Yongshun Lin																																						Gary Silverman																																						Deven Singh","Con																															Con																															Con","3-0																															CON"
Horace Mann HG,Hawken JG,"Zach Frieden																																						James Colagiuri																																						Ayanava Ganguly","Con																															Con																															Con","3-0																															CON"
Regis FM,James Madison HH,"Jacob Thomas																																						Henry Turner																																						Wendy Schauben","Pro																															Con																															Pro","2-1																															PRO"
Stuyvesant LB,Lexington SM,"Andrea Stein																																						Brooke Blanton																																						Noor Lima Boudakian","Pro																															Con																															Pro","2-1																															PRO"
James Madison KP,Horace Mann GY,"David Cho																																						John Davis																																						Kylene D'Alfonso","Con																															Pro																															Pro","2-1																															PRO"
CR North TaZh,Scarsdale LL,"Conor MacVarish																																						Nicholas Budny																																						Charlie Grabois","Con																															Pro																															Con","2-1																															CON"
Millburn CW,Half Hollow Hills HS East ZS,"James Bailey																																						Christopher Robertson																																						Richard Nash","Con																															Con																															Con","3-0																															CON"
Germantown Friends LZ,Berkeley Carroll BK,"Charles Karcher																																						Noah Mengisteab																																						Yushu Xue","Pro																															Pro																															Pro","3-0																															PRO"
Scarsdale ZL,Stuyvesant TL,"David JIANG																																						James Thompson																																						Stephen Leo","Pro																															Con																															Con","2-1																															CON"
River Hill BT,Horace Mann KC,"Conor MacVarish																																						Nicholas Budny																																						Charlie Grabois","Pro																															Pro																															Pro","3-0																															PRO"
