Aff,Neg,Judges,Votes,Win
West Broward PF,Westlake WK,"Luiz Bravim																																						Kelly Schwab																																						Drew Peterson","Aff																															Neg																															Aff","2-1																															AFF"
Cardinal Gibbons LW,North Broward Prep SA,"Stan Banks																																						Evan Burkeen																																						Taha Khan","Neg																															Neg																															Neg","3-0																															NEG"
Montgomery Blair LT,Richard Montgomery LW,"Narlyn Lopes																																						Spencer Grosso																																						Jordan Botknecht","Aff																															Neg																															Neg","2-1																															NEG"
Ravenwood KS,Strake Jesuit  SZ,"Zhumei Guo																																						Sreekar Nagulapalli																																						Lisa Swickle","Neg																															Aff																															Aff","2-1																															AFF"
Pine View MG,River Hill BT,"Montine Vona-Pergola																																						Jerry Crist																																						Bing Zou","Aff																															Aff																															Neg","2-1																															AFF"
Langley RC,East Ridge MV,"Julia Hren																																						Tohida Shahrokhi																																						Sully Mrkva","Aff																															Aff																															Aff","3-0																															AFF"
Trinity Prep MP,Strake Jesuit  HH,"Steven Sigler																																						Benjamin Redler																																						Maria Riofrio","Neg																															Neg																															Neg","3-0																															NEG"
Ransom Everglades CE,Trinity Prep DF,"Sameera Bazaz																																						Daniel Gutkin																																						Jordan Press","Neg																															Aff																															Neg","2-1																															NEG"
Ravenwood BM,Brentwood YM,"Sarah Bi																																						Uma Venkat																																						Sharan Sawlani","Aff																															Aff																															Aff","3-0																															AFF"
Ransom Everglades SM,Westlake KP,"Quinn McKenzie																																						Gabe Seidman																																						Alice Luoh","Neg																															Neg																															Aff","2-1																															NEG"
Princeton Independent CK,Hamilton ZC,"Reagan Yount																																						Ishan Dubey																																						Matthew Norman","Aff																															Aff																															Aff","3-0																															AFF"
Hamilton NS,Pembroke Pines Charter PO,"Joe Pergola																																						Irene Hong-McAtee																																						Vijay Kasturi","Aff																															Aff																															Aff","3-0																															AFF"
Strake Jesuit  GZ,,,,
Christopher Columbus AS,,,,
Richard Montgomery XC,,,,
Hunter Independent QA,,,,
