Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
West HS SLC KS,Alta SF,Peyton Cook,Neg,26.5,28.5
St Francis ZC,Eagle DZ,Grace Nelson,Aff,29.0,27.0
Marlborough PS,Milpitas DY,Joshua mitchell,Aff,29.8,29.4
Valley Christian CL,Marlborough AM,Genevieve Gunnarson,Aff,30.0,29.0
Marlborough FM,Salem Hills EB,Jordyn Bates,Neg,27.0,30.0
West HS SLC VV,Skyline MC,Steve Knell,Neg,27.5,27.9
Corner Canyon WH,West HS SLC BS,Yardley Rosas,Aff,28.8,28.5
West HS SLC SS,Park City LG,Rajul Jain,Aff,29.0,28.5
Marlborough KM,Eagle EB,Ethan Wall,Aff,28.9,28.7
Park City BJ,West HS SLC LM,Korinna Hylen,Aff,29.5,29.4
Fort Collins DR,Marlborough TZ,Michael O’Brien,Neg,29.0,30.0
Salem Hills BL,Meadows TB,Greysen Gill,Neg,29.9,30.0
Marlborough JG,Eagle AA,Molly Cozzens,Aff,29.0,28.0
Bingham AJ,Notre Dame San Jose VS,Willow Wilson,Neg,25.0,28.0
Marlborough CT,Oakwood BW,Jason Clarke,Neg,28.0,29.0
Park City AB,Highland ES,Chessley Hungerford,Neg,28.0,28.6
West HS SLC HB,Park City KF,Cristofer Henderson,Aff,28.5,27.9
Marlborough GA,Bingham ZM,Ryan Knippel,Aff,28.0,26.0
Marlborough MS,Alta CC,Riley Robinson,Aff,29.0,28.0
Bingham RH,Marlborough ED,Jett Smith,Neg,26.0,28.2
Marlborough OO,Highland LP,Jack Wareham,Aff,29.5,29.4
Highland XG,Eagle JZ,Kristen Parker,Neg,30.0,25.0
Marlborough SG,,,,,
