Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
BASIS Peoria AK,Kent Denver DG,Jacqueline Croswhite,Neg,28.0,28.0
BASIS Peoria SR,Brophy VF,Kyle Hietala,Neg,28.7,29.5
Cajon HT,BASIS Scottsdale SS,Asia Thomas,Neg,27.0,27.5
BASIS Peoria SK,Hamilton CW,Annisa Cardona,Neg,26.0,28.0
Layton AB,BASIS Scottsdale AK,Emerald Spencer,Neg,29.0,30.0
Kent Denver IR,Middle CG,Jacqueline Croswhite,Neg,27.4,28.9
Archbishop Mitty AM,Hector G Godinez Fundamental ECe,Jyleesa Hampton,Aff,29.2,28.9
Dougherty Valley SV,Hamilton NS,Nate Graziano,Aff,29.3,29.2
Brophy TJ,Parker LH,Fei Wang,Aff,29.5,29.0
Alta SF,Parker SF,Paddu Vedam,Aff,28.0,26.5
West HS SLC LM,BASIS Scottsdale JV,Maanik Chotalla,Neg,29.1,29.8
BASIS Peoria VT,Middle DV,Ryan Knippel,Aff,28.5,26.0
Corner Canyon CF,Dougherty Valley SL,Maanik Chotalla,Neg,29.9,30.0
Kent Denver CH,Archbishop Mitty AG,Jyleesa Hampton,Neg,29.0,29.1
Advanced Technologies YM,Desert Vista AY,Genevieve Gunnarson,Neg,28.0,29.0
Park City SV,Brophy MS,Benjamin Harrison,Aff,28.0,27.5
Westmont AK,Nova 42 SR,Paul Li,Neg,27.5,28.5
Westmont AL,Lincoln AA,Vasudevan Swamidurai,Neg,24.0,26.0
BASIS Scottsdale AV,Desert Vista JL,Benjamin Harrison,Neg,25.0,26.0
Presentation CC,Desert Vista SS,James Miller,Aff,30.0,29.0
BASIS Scottsdale BH,McClintock DC,Rajani Chennamaneni,Aff,30.0,29.0
Palo Alto IK,Hamilton CL,Stefan Harmeling,Aff,27.0,27.0
Kent Denver CM,Park City LG,Emerald Spencer,Aff,29.0,28.0
Palo Alto AC,BASIS Peoria AR,Senthil Kumar Chockalingam,Aff,28.0,27.0
Westmont MD,BASIS Peoria AN,Rajani Chennamaneni,Aff,29.0,29.0
Brophy VW,BASIS Phoenix RS,Fei Wang,Neg,28.5,29.0
Layton LN,Cajon SP,Senthil Sivaprakasam,Neg,28.3,28.5
Corner Canyon WH,Westmont MS,Lumen Joslin,Aff,30.0,26.0
BASIS Peoria LZ,Hector G Godinez Fundamental EC,Vasudevan Swamidurai,Aff,27.0,25.0
BASIS Scottsdale TK,BASIS Peoria EC,Jason Barton,Aff,29.4,28.8
Cajon RT,Desert Mountain KH,Victor Estrada,Aff,28.0,27.5
Kent Denver AA,BASIS Chandler HL,Ted Kim,Neg,28.5,28.0
Middle AS,West HS SLC SS,Senthil Sivaprakasam,Neg,28.0,28.4
Palo Verde CB,Dougherty Valley PN,Jason Barton,Neg,29.9,30.0
BASIS Peoria YS,Hamilton MM,Ted Kim,Neg,28.0,28.3
Desert Vista AP,BASIS Phoenix SL,Rajesh Kulandaivadivelu,Aff,29.0,28.0
Albuquerque EG,BASIS Scottsdale MK,Paul Li,Neg,28.5,29.0
McClintock DM,Palo Alto AD,Naveen Thogati,Neg,28.0,29.0
Parker MB,,,Aff BYE,Aff BYE,
