Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Harker SY,Monta Vista EY,Wyeth Renwick,Neg,29.1,29.2
Stanford OHS ES,Harker JY,Julie Herman,Neg,28.4,28.7
Amador Valley EM,Harker TP,Hope Lee,Neg,29.2,29.3
Berkeley Independent DG,Lynbrook ST,David Kilpatrick,Neg,28.5,28.6
Marlborough PP,Harker RA,Ava Manaker,Neg,28.7,28.8
Marlborough LF,Harker VL,Elizabeth Su,Neg,29.2,29.3
Los Altos AK,Harker NB,Shreeram Modi,Aff,29.7,29.6
Golden State MW,Monta Vista AA,Tanya Wei,Neg,28.9,29.0
Brophy VF,Lynbrook AS,Vishnu Vennelakanti,Aff,29.0,27.3
Notre Dame San Jose YG,Harker ID,Clare Bradley,Neg,28.7,28.8
SLC Independent LM,Tri-Valley Coalition LA,Charles Schletzbaum,Neg,27.5,27.7
Harker ASi,Archbishop Mitty AP,Elizabeth Su,Neg,28.8,29.6
Milpitas AR,Immaculate Heart AE,Lidor Avigad,Neg,28.9,29.2
Milpitas VP,Immaculate Heart MF,Deeya Viradia,Neg,28.6,28.8
Heritage Independent RL,Mountain View CS,John Cao,Aff,26.0,25.0
Leigh HH,Marlborough CS,Shrey Raju,Neg,28.7,28.8
Marlborough TZ,Harker JS,Ava Manaker,Neg,28.2,28.3
Riverside Independent PK,Immaculate Heart BS,Alexandra Mork,Neg,27.4,27.5
Marlborough LS,Harker LC,Jenny Liu,,29.2,
Marlborough KM,Palisades Charter SM,Nick Fleming,Neg,29.0,29.1
Harker AA,ADL VK,Iris Chen,Aff,29.1,28.9
Marlborough MSa,Santa Clara SM,Allyson Spurlock,Aff,29.0,28.8
Monta Vista SC,Archbishop Mitty AM,Michael Harris,Aff,28.8,28.7
Immaculate Heart ES,BASIS Silicon Valley YS,Hope Lee,Aff,29.1,29.0
Immaculate Heart MD,Harker LY,Julie Herman,Neg,28.0,28.1
Sehome RS,Cupertino Independent AC,Bob Yang,Neg,29.2,29.4
Dublin HS Independent AG,Harker LL,Jenny Liu,Aff,29.0,28.8
BASIS Silicon Valley JK,Lynbrook NM,Taylor Tsan,Aff,28.9,28.6
Brophy VW,Marlborough RB,Allyson Spurlock,Neg,29.1,29.3
Marlborough OO,Lynbrook VV,Samantha McLoughlin,Aff,29.4,28.4
Lynbrook OM,Marlborough AM,Ana Bittner,Neg,29.5,29.6
Marlborough DK,Lynbrook BZ,Alexandra Mork,Neg,28.4,29.4
Harker AY,Golden State AC,Michael Giove,Neg,28.0,29.0
Archbishop Mitty DM,Harker SD,Nicole Mui,Neg,29.3,29.7
Monta Vista HL,Milpitas DY,Mariel Cruz,Aff,27.5,27.8
,Gabrielino OL,,Neg BYE,Neg BYE,
