Aff,Neg,Judge,Win
Lincoln East JS,BASIS Scottsdale TK,Yesh Rao,Neg
Chapin MK,Hunter JS,Shishir Agrawal,Neg
Chaminade AG,Awty International DC,Krishna Karna,Aff
West HS SLC LM,Southlake Carroll SK,Minh Le,Neg
Monta Vista AA,Stuyvesant KS,Scott Brown,Aff
Chapin AL,Phillips Exeter AC,Sandeep Duggal,Aff
Dr. Phillips CL,Northland Christian LM,Abby Chen,Neg
Horace Greeley CC,BASIS Phoenix RS,Shailendra Dhondiyal,Neg
Cary Acad LM,Lincoln East MH,Patrick Tapia,Neg
Dawson independent EC,Stuyvesant MY,Chongwoo Kim,Aff
Tri-Valley Coalition LA,Flintridge Prep IL,Nina Potischman,Neg
New Orleans Charter Science And Math DN,Los Altos NM,Daphne O’Sullivan,Neg
New Orleans Charter Science And Math JW,Stuyvesant EM,Amanda Bulbrook,Neg
Coppell KT,BASIS Scottsdale SS,Amanda Zhu,Aff
Horace Greeley SR,Stuyvesant EL,Yumna Apta,Aff
Livingston SK,Winston Churchill GL,Rikin Patel,Aff
Phillips Exeter ES,SD BZ,Feng Ma,Aff
American Heritage Broward EC,East Chapel Hill AX,Paul Aldrich,Neg
St Thomas CO,Woodlands Independent ML,Lalit Kumar,Neg
Edgemont SU,Germantown CZ,Grant Brown,Neg
Phillips Exeter RQ,Project Dialogue WZ,Ioel Katz,Aff
Mission San Jose MW,Brearley IL,Pratham Soni,Neg
Northern Valley AC,Valley Christian CL,Nicole Tommarazzo,Neg
Carnegie Vanguard LH,Hunter SO,Henry Ji,Aff
Cupertino Independent AC,BASIS San Antonio Shavano ZR,Yin Thein,Aff
Northland Christian AH,BASIS Scottsdale AK,Ashton Spradling,Neg
New Orleans Charter Science And Math LD,Millard North PA,Prachi Sharma,Neg
Mavericks RS,Papaya Valley SK,Fei-Lu Qian,Neg
Lincoln East KP,Lake Buena Vista AR,Neelima Namburi,Aff
Mason AD,Travis B. Bryan EC,Osmane Sanogo,Neg
Stuyvesant AQ,Prospect Independent AS,Vasudevan Swamidurai,Aff
Stuyvesant GC,Fort Collins IC,Leslie Rini,Aff
American Heritage Broward CW,Phillips Exeter KG,Aman Jha,Neg
Woodlands Independent SP,Stuyvesant YL,,"Aff FFT																									Neg BYE"
Fordham Prep OB,,,Aff BYE
