Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Marlborough EL,Loyola KO,Aaron Zhang,Neg,28.1,28.4
Immaculate Heart CM,Head-Royce AJ,Anish Ramireddy,Neg,28.7,29.3
Immaculate Heart NH,Peninsula AS,Elvis Pineda,Aff,29.2,28.7
Sage Hill AJ,Immaculate Heart ES,Gordon Krauss,Neg,28.8,28.9
Marlborough DK,Stockdale CI,Deven Cooper,Neg,28.0,28.5
Harvard-Westlake LR,Marlborough CS,Aaron Zhang,Aff,29.1,28.9
Marlborough SM,Harvard-Westlake KM,Gordon Krauss,Neg,29.1,29.2
Marlborough AK,Harvard-Westlake DB,Jared Burke,Neg,28.7,28.8
Immaculate Heart BS,Harvard-Westlake LSt,Hope Lee,Neg,28.9,29.5
Loyola MT,Immaculate Heart EB,Jackson Mills,Aff,28.9,28.6
Harvard-Westlake AM,Peninsula EE,Yardley Rosas,Aff,29.0,28.4
Marlborough LS,Peninsula AL,Patrick Fox,Neg,28.8,29.1
Marlborough PH,Harvard-Westlake FS,Isaiah Salgado,Neg,28.0,28.1
Immaculate Heart JC,Peninsula BS,Hope Lee,Aff,28.5,29.2
Flintridge Prep IL,Loyola TG,Jared Burke,Neg,29.2,29.3
Loyola UT,Meadows AS,Emmelyne Lay,Aff,28.9,28.8
Peninsula AI,Immaculate Heart MF,Maya Jen,Neg,28.6,29.0
Loyola JR,Peninsula DN,Claire Shank,Neg,28.7,28.9
Sage Hill IH,Peninsula ES,Felicity Park,Aff,28.6,28.4
Marlborough JK,Immaculate Heart OA,Alex Borgas,Neg,28.6,28.9
Harvard-Westlake JW,Marlborough RB,Patrick Fox,Neg,28.3,28.6
Valley Christian CL,Immaculate Heart IZ,Anish Ramireddy,Aff,28.9,28.7
Redlands EZ,Meadows TB,Albert Cardenas,Neg,28.5,28.8
Harvard-Westlake EG,St Francis ZC,Emmelyne Lay,Aff,29.0,28.9
Loyola TH,Harvard-Westlake AS,Simone Pisarik,Neg,28.9,29.2
Loyola ED,Harker JA,Shaina Sanchez,Aff,28.9,28.8
Harker AM,Immaculate Heart MD,Alex Borgas,Neg,28.5,28.8
Sage Hill LZ,Loyola RV,Adam Mimou,Neg,28.6,29.3
Peninsula WW,Harvard-Westlake SB,David Martinez,Neg,28.7,28.8
Immaculate Heart HY,Gretchen A. Whitney DM,Elvis Pineda,Neg,28.8,28.9
Peninsula AY,Immaculate Heart SH,Claire Shank,Aff,29.2,28.6
Loyola AK,Peninsula SU,Felicity Park,Neg,28.3,28.5
Marlborough SS,Harker EX,Adam Mimou,Aff,28.7,28.6
Loyola JM,Marlborough SK,Simone Pisarik,Aff,28.6,28.5
Peninsula KN,Harvard-Westlake BC,Yardley Rosas,Aff,29.0,28.5
Immaculate Heart WD,Peninsula KH,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Marlborough EP,,,,,
