Aff,Neg,Judges,Votes,Win
Wayzata NS,Flintridge Prep IL,"Eva Lamberson																																						Truman Le																																						Ian Matuszeski","Neg																															Neg																															Neg","3-0																															NEG"
Village SZ,Greenhill PS,"Jennifer Buckner																																						Austin Broussard																																						Truman Le","Aff																															Aff																															Aff","3-0																															AFF"
Greenhill TH,Acton-Boxborough NK,"Kevin Bertram																																						Jacob Nails																																						Mark Bishop","Aff																															Neg																															Neg","2-1																															NEG"
Millard North KB,Delores Taylor Arthur School for Young Men JB,"Chetan Hertzig																																						Jonathan Crowley																																						Mark Bishop","Neg																															Neg																															Neg","3-0																															NEG"
Winston Churchill PH,Greenhill MA,"Austin Broussard																																						Amanda Ciocca																																						Jacob Nails","Neg																															Aff																															Aff","2-1																															AFF"
Northland Christian LM,Hawken JJ,"Lydia Wang																																						Minh Le																																						eliza buckner","Aff																															Neg																															Aff","2-1																															AFF"
Greenhill EX,Harrison AG,"Sam Fulton																																						Amanda Ciocca																																						Claudia Ribera","Aff																															Neg																															Neg","2-1																															NEG"
Cabot KB,Clear Lake RM,"Charles Zenhausern																																						Seth Lee																																						Nicholas Ford","Aff																															Neg																															Neg","2-1																															NEG"
Midtown NF,Plano West AR,"Lydia Wang																																						Elizabeth Elliott																																						Jennifer Buckner","Neg																															Neg																															Aff","2-1																															NEG"
Harrison FW,Iowa City West JL,"Seth Lee																																						Nicholas Ford																																						Maggie Woodward","Neg																															Neg																															Aff","2-1																															NEG"
Waring MB,Wheatley AM,"Temitope Ogundare																																						Elizabeth Elliott																																						Eva Lamberson","Neg																															Aff																															Aff","2-1																															AFF"
Greenhill DM,Newark Science AL,"Chetan Hertzig																																						Colton Gilbert																																						Cody Morrow","Aff																															Neg																															Neg","2-1																															NEG"
Northland Christian AH,Colleyville Heritage GM,"Claudia Ribera																																						Minh Le																																						Chance Boreczky","Aff																															Aff																															Neg","2-1																															AFF"
Lakeridge JZ,Kinkaid SZ,"Temitope Ogundare																																						Shania Raimer																																						Colton Gilbert","Neg																															Neg																															Neg","3-0																															NEG"
Greenhill AK,Greenhill AN,,Greenhill AK advances,Greenhill AK advances
Clear Lake CW,,,,
