Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Neenah AL,Millard North GS,Ryan Magalhaes,Aff,29.0,28.0
Millard North AG,West Des Moines Valley JC,John Holen,Neg,28.0,26.0
West Des Moines Valley JB,SF Lincoln CP,Benjamin Hoover,Aff,29.9,28.5
West Des Moines Valley LS,Wayzata BF,John Holen,Aff,28.4,28.7
SF Lincoln EM,West Des Moines Valley LV,Jesse Nguyen,Neg,29.0,30.0
Lincoln East MH,Millard North KB,Kevin Lai,Neg,28.9,29.2
Lincoln East JS,Millard North SD,Kevin Lai,Neg,29.0,29.1
Neenah DB,Harrisburg IS,David McGinnis,Aff,29.4,20.0
Neenah KH,5 Steps AY,Grady Stein,Aff,29.5,28.0
Neenah JB,SF Lincoln OR,Grady Stein,Aff,28.4,28.0
Harrisburg ES,Lincoln East KP,Conal Thomas-McGinnis,Neg,29.0,28.0
Neenah MM,Johnston EH,Benjamin Hoover,Neg,29.0,29.5
Neenah CH,West Des Moines Valley JN,Chase McCool,Neg,29.1,29.9
Johnston SD,Glenbrook South MT,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Neenah DC,Johnston BA,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
,Lincoln East JG,,Neg BYE,Neg BYE,
