Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Cary Acad AL,Hawken NS,Dwijavanti Varatharajan,Aff,28.0,27.0
Bronx Science JT,Hawken AJ,Audrey Young,Aff,27.8,27.4
Research Triangle PS,Cary Acad PL,Joshua Kubie,Aff,29.0,29.1
Northland Christian GD,Jack Britt LR,Suraj Ramdas,Aff,29.0,28.0
William G. Enloe TH,Cary Acad SL,George Holdefehr,Aff,28.0,27.5
Harrison JG,Isidore Newman MB,Davis Shedd,Aff,29.7,28.9
Northland Christian JH,Hawken BG,Hamza Adnan,Neg,29.9,30.0
Marvin Ridge RB,Christopher Columbus TP,Eva Lamberson,Neg,28.0,29.5
Cuthbertson MF,Jack Britt CH,Sachin Aggarwal,Aff,28.9,28.8
Northland Christian AH,Marvin Ridge MC,Ethan Massa,Aff,29.5,28.3
Vestavia Hills VZ,Cape Fear MS,Monica Livingston,Aff,29.0,28.7
Cary Acad RP,Northland Christian LM,Deena McNamara,Neg,28.0,29.0
Collegiate RP,Isidore Newman JD,Angie Xu,Neg,27.0,29.0
American Heritage Palm Beach AI,Bronx Science AR,Arafath Mohammad,Aff,29.0,28.0
Hawken IK,William G. Enloe ES,Aran Canes,Aff,28.9,28.8
Northland Christian JM,Bronx Science CD,Sangeeta Parakala,Aff,28.0,27.0
Charlotte Latin JB,Cuthbertson AO,Roopa Yalamanchili,Aff,29.0,28.0
Isidore Newman RH,Harrison RP,KALPESH PAREKH,Aff,29.2,29.0
Marvin Ridge JW,William G. Enloe SG,Nathan Bell,Aff,28.1,28.0
Cary Acad LM,Isidore Newman SE,Ryan Si,Neg,29.9,30.0
Cape Fear IR,William G. Enloe AP,Jon Farace,Aff,29.7,28.8
Marvin Ridge AW,Bronx Science KO,Ethan Massa,Neg,28.4,28.9
