Aff,Neg,Judges,Votes,Win
Colleyville Heritage GM,Stuyvesant YL,"Rodrigo Paramo																																						Agastya Sridharan																																						Jeremiah Cha","Aff																															Aff																															Aff","3-0																															AFF"
Millburn LH,Memorial DX,"Chris Castillo																																						Nigel Taylor-Ward																																						aidan etkin","Neg																															Neg																															Neg","3-0																															NEG"
Jordan FJ,Strake Jesuit  KS,"Bernardo Medeiros																																						Elizabeth Elliott																																						Andrew Gong","Aff																															Aff																															Aff","3-0																															AFF"
Sharks Independent EC,American Heritage Broward JX,"Deena McNamara																																						Nicholas Ford																																						Rushil Chetty","Neg																															Aff																															Neg","2-1																															NEG"
Lake Highland Prep CB,Sharks Independent WL,"Douglas Evans																																						Sasan Kasravi																																						Miah Ebels-Duggan","Neg																															Neg																															Neg","3-0																															NEG"
Georgians Independent HJ,Neenah DB,"Joshua Hansen																																						Diane Macina																																						Chris Arthur","Neg																															Aff																															Neg","2-1																															NEG"
Ridge MS,Strake Jesuit  SR,"Danny Frank-Siegel																																						Sophia Tian																																						Agastya Sridharan","Aff																															Neg																															Neg","2-1																															NEG"
Clear Lake MK,Horace Greeley CC,"Chetan Hertzig																																						Garrett Bishop																																						Zion Dixon","Aff																															Aff																															Aff","3-0																															AFF"
Georgians Independent PC,Jasper SG,"Rose Larson																																						Rodrigo Paramo																																						Ishan Bhatt","Aff																															Neg																															Neg","2-1																															NEG"
Research Triangle PS,Phillips Exeter Independent RQ,"James Garza-Long																																						Sasan Kasravi																																						Paul Li","Neg																															Aff																															Neg","2-1																															NEG"
James Logan HS,Berkeley Carroll JH,"Brice Ezell																																						Amberle Amadori-Lawson																																						Arthur Kulawik","Neg																															Aff																															Neg","2-1																															NEG"
Strake Jesuit  AS,American Heritage Broward JG,"Everett Yau																																						Nicholas Ford																																						Daniel Xu","Neg																															Neg																															Neg","3-0																															NEG"
Bronx Science KL,Westlake AH,"Maanik Chotalla																																						Niranjan Deshpande																																						Andrew Qin","Neg																															Neg																															Neg","3-0																															NEG"
Cherry Hill HS East CR,Bronx Science IM,"Maanik Chotalla																																						Steven Sigler																																						Kaushal Balagurusamy","Neg																															Aff																															Neg","2-1																															NEG"
Horace Greeley AM,Bronx Science LS,"Chetan Hertzig																																						Sonali Nicola																																						Eddie Fitzgerald","Aff																															Aff																															Aff","3-0																															AFF"
Lexington AL,Brophy MS,"Charles Zenhausern																																						Kyle Hietala																																						Zhiying Hu","Neg																															Neg																															Aff","2-1																															NEG"
Village AW,American Heritage Broward JW,"Ayman Badawy																																						Zion Dixon																																						Tajaih Robinson","Aff																															Aff																															Aff","3-0																															AFF"
Bronx Science KO,Memorial BL,"Thomas Berg																																						Nigel Taylor-Ward																																						Amanda Ciocca","Neg																															Neg																															Neg","3-0																															NEG"
Holy Trinity Episcopal CH,Memorial CS,"Spencer Swickle																																						Ayman Badawy																																						Antonina Clementi","Neg																															Neg																															Neg","3-0																															NEG"
Ridge HK,Greenhill VT,"Frasat Chaudhry																																						Bodhi Rosen																																						Miah Ebels-Duggan","Neg																															Neg																															Neg","3-0																															NEG"
Bronx Science LW,Lake Highland Prep ET,"Jharick Shields																																						E. Cook																																						Blake Ziegler","Aff																															Aff																															Aff","3-0																															AFF"
American Heritage Broward CM,Harrison AN,"Charles Karcher																																						Arthur Kulawik																																						Tajaih Robinson","Neg																															Aff																															Aff","2-1																															AFF"
Harrison RP,,,,
Acton-Boxborough NK,,,,
Amador Valley EM,,,,
Carnegie Vanguard LH,,,,
Harrison JB,,,,
Klein Oak JW,,,,
Greenhill DM,,,,
Phillips Exeter Independent ES,,,,
Horace Greeley SG,,,,
Northern Valley AC,,,,
Memorial EJ,,,,
Lake Highland Prep PS,,,,
BASIS Scottsdale TK,,,,
Lake Highland Prep WH,,,,
Strake Jesuit  KM,,,,
Plano West AR,,,,
McNeil AS,,,,
North Allegheny SA,,,,
Strake Jesuit  NH,,,,
Strake Jesuit  SV,,,,
Ridge SK,,,,
Clear Lake RM,,,,
American Heritage Broward ZC,,,,
Syosset JK,,,,
Georgians Independent NF,,,,
BASIS Scottsdale SS,,,,
Strake Jesuit  LC,,,,
Waring MB,,,,
Riverside Independent SH,,,,
Mountain Lakes EW,,,,
Strake Jesuit  JW,,,,
Harrison AG,,,,
Cherokee Trail TB,,,,
Harrison JG,,,,
Brophy TJ,,,,
Bowie Lee BL,,,,
Gabrielino OL,,,,
Harrison BS,,,,
American Heritage Broward CW,,,,
Jordan KV,,,,
Greenhill SK,,,,
J.B. independent JB,,,,
