Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Immaculate Heart IZ,Sage Hill LZ,Patrick Fox,Neg,28.4,28.6
Harvard-Westlake FS,Marlborough DK,Bryce Sheffield,Neg,28.4,28.7
Immaculate Heart ES,Marlborough SW,Bryce Sheffield,Aff,29.0,28.7
Harvard-Westlake JT,ModernBrain JH,Joseph Barquin,Neg,28.8,28.9
Marlborough SM,Harvard-Westlake WL,Jan Wimmer,Neg,28.4,29.1
Peninsula KN,Marlborough AK,Elizabeth Su,Aff,29.1,28.8
Parker NN,Honor DM,Gordon Krauss,Neg,28.5,28.6
Los Altos NM,Honor AL,Zane Dille,Aff,28.2,28.4
Peninsula KT,BASIS Silicon Valley YS,Noah Christiansen,Aff,28.6,28.4
Harvard-Westlake DB,Northwood JS,Amy Lopez,Neg,28.5,28.7
Northwood GH,Peninsula SU,Katie Raphaelson,Neg,29.0,29.5
Peninsula AL,Loyola AK,Felicity Park,Aff,28.7,28.3
Harvard-Westlake BC,Marlborough KM,Patrick Fox,Neg,28.6,28.8
Arizona Chandler Independent WC,Harker GN,Andrew Park,Aff,29.6,28.7
Parker EH,Marlborough OO,Jan Wimmer,Neg,28.7,29.2
Loyola RV,Harvard-Westlake EY,Anish Ramireddy,Aff,28.7,28.6
Peninsula ES,Archbishop Mitty AC,James Zucker,Neg,27.0,29.0
Marlborough ED,Arizona Chandler Independent LK,Dhruv Channa,Aff,28.4,28.2
Peninsula EE,Davidson Academy Of Nevada IT,Rohan B. Ray,Neg,28.7,29.2
Stockdale CI,BASIS Chandler Independent HL,Amy Lopez,Aff,28.5,28.3
Washington Independent WL,Marlborough PP,Noah Christiansen,Neg,29.0,29.2
Dublin HS Independent AG,Redlands MF,Anirv Ayyala,Aff,29.0,28.5
Loyola KK,Mercer Island Independent JY,Krizel Guansing,Neg,28.9,29.2
Peninsula AS,Loyola TH,Felicity Park,Aff,28.9,28.6
Marlborough LS,OCSA IL,Adam Mimou,Neg,29.0,29.4
Redlands EZ,ModernBrain JD,Isaiah Salgado,Neg,28.1,28.2
Flintridge Prep IL,Brentwood EY,Joseph Barquin,Aff,28.9,27.9
ILearn Education AJ,St Francis ZC,Anirv Ayyala,Neg,28.6,28.7
Immaculate Heart MF,Flintridge Prep EX,Brian Saipramouk,Aff,27.9,27.6
Peninsula AY,ILearn Education CL,Jun Kwon,Aff,29.5,29.0
Immaculate Heart OA,Peninsula BS,Gerard Grigsby,Neg,28.5,29.0
OCSA RS,Harvard-Westlake LS,Gordon Krauss,Neg,28.7,28.8
Peninsula DN,Immaculate Heart AE,Andrew Park,Neg,29.1,29.2
Immaculate Heart JC,Los Altos AK,James Zucker,Neg,27.0,29.0
Sage Hill AJ,Harker AP,Anish Ramireddy,Aff,28.7,28.6
Monta Vista EY,Harvard-Westlake KM,Jun Kwon,Aff,29.4,29.5
Oakwood BW,Marlborough FM,Elizabeth Su,Aff,29.2,29.0
Marlborough LF,Tri-Valley Coalition LA,Isaiah Salgado,Neg,28.3,28.4
Monta Vista SC,Marlborough CS,Timothy Meyer,Neg,28.7,29.0
Peninsula AI,Immaculate Heart CM,Gerard Grigsby,Aff,28.5,28.3
Sage Hill IH,Peninsula KH,Zane Dille,Neg,28.4,28.6
Granada Hills Charter JP,Marlborough RB,Rohan B. Ray,Neg,28.4,29.0
Marlborough SG,Harvard-Westlake JW,Adam Mimou,Neg,28.9,29.0
Brentwood RA,Los Altos EP,Dhruv Channa,Aff,28.9,28.8
Archbishop Mitty AP,,,,,
