Aff,Neg,Judges,Votes,Win
Strake Jesuit  JW,Germantown CZ,"William Shachar																																						Joe Getto																																						Sonnie Picallo","Aff																															Neg																															Aff","2-1																															AFF"
Lake Highland Prep WH,Bronx Science IM,"Hunniya Ahmad																																						wyatt hatfield																																						Conal Thomas-McGinnis","Aff																															Aff																															Aff","3-0																															AFF"
Strake Jesuit  AS,Acton-Boxborough AK,"Tom Evnen																																						Rusem Paul																																						Everest Yang","Neg																															Neg																															Aff","2-1																															NEG"
Cary Acad RR,Lake Highland Prep GM,"Hunniya Ahmad																																						Chen Lu																																						Sanjay Srivastava","Aff																															Aff																															Aff","3-0																															AFF"
Waring MB,McNeil AS,"Chris Castillo																																						Casey Meyer																																						Ella Layton","Aff																															Aff																															Aff","3-0																															AFF"
Colleyville Heritage GM,Harrison AG,"Amy Bourque																																						Sonnie Picallo																																						Guhan Krishnan","Neg																															Neg																															Neg","3-0																															NEG"
Cary Acad DH,Harrison FW,"Chris Castillo																																						Zhiying Hu																																						Jasjyot Nanra","Aff																															Aff																															Aff","3-0																															AFF"
American Heritage Broward CW,Phillips Exeter Independent RQ,"Charles Zenhausern																																						Zoe Huang																																						Bernardo Medeiros","Aff																															Aff																															Aff","3-0																															AFF"
West Des Moines Valley LS,Bronx Science LW,"Tom Evnen																																						Everest Yang																																						Vik Maan","Neg																															Neg																															Neg","3-0																															NEG"
Poly Prep RG,Bronx Science JS,"Spencer Swickle																																						Charles Zenhausern																																						Bernardo Medeiros","Neg																															Neg																															Neg","3-0																															NEG"
Colleyville Heritage CB,Cherry Hill HS East CR,"Joe Getto																																						Jordana Bales																																						Brad Biswas","Neg																															Neg																															Neg","3-0																															NEG"
Phillips Exeter Independent ES,Harrison BS,"Conal Thomas-McGinnis																																						Pankaj Bansal																																						Feodor Morozov","Neg																															Neg																															Neg","3-0																															NEG"
Lake Highland Prep PS,Acton-Boxborough NK,"Spencer Swickle																																						Stephen Scopa																																						Rusem Paul","Neg																															Aff																															Neg","2-1																															NEG"
Strake Jesuit  SR,West Des Moines Valley JN,"Donny Peters																																						Amy Bourque																																						Vik Maan","Neg																															Aff																															Aff","2-1																															AFF"
Strake Jesuit  MM,Strake Jesuit  MMa,,Strake Jesuit  MM advances,Strake Jesuit  MM advances
Lake Highland Prep NA,Lake Highland Prep ET,,Lake Highland Prep NA advances,Lake Highland Prep NA advances
