Aff,Neg,Judges,Votes,Win
American Heritage Broward CW,Walt Whitman HZ,"Eva Lamberson																																						Mark Kivimaki																																						Avery Wilson","Aff																															Neg																															Neg","2-1																															NEG"
Lynbrook BZ,BASIS Scottsdale TK,"Micah Wang																																						Michael Lovaglio																																						Patrick Fox","Aff																															Neg																															Aff","2-1																															AFF"
Phillips Exeter Independent RQ,BASIS Scottsdale SS,"Vontrez White																																						Spencer Thomas																																						Quinn McKenzie","Neg																															Neg																															Neg","3-0																															NEG"
Lake Highland Prep WH,BASIS Silicon Valley JK,"aanya ghosh																																						Adam Mimou																																						Lydia Wang","Neg																															Neg																															Neg","3-0																															NEG"
Isidore Newman DC,Sharks Independent EC,"Jonathan Meza																																						Briajia Levi																																						David Sposito","Aff																															Aff																															Neg","2-1																															AFF"
Amador Valley EM,Stanford OHS AY,"Ben Cortez																																						Truman Le																																						Fiker Tesfaye","Aff																															Neg																															Aff","2-1																															AFF"
Isidore Newman AB,OCSA IL,"Nethmin Liyanage																																						Deven Cooper																																						Andrew Park","Neg																															Aff																															Neg","2-1																															NEG"
Vestavia Hills MH,Phillips Exeter Independent ES,"Laurel Pack																																						Scott Brown																																						Ava Wegmann-Gatarz","Neg																															Neg																															Aff","2-1																															NEG"
Washington Independent JP,Riverside Independent SH,"Gerbie Gandionco																																						Michael Harris																																						Gordon Krauss","Neg																															Neg																															Neg","3-0																															NEG"
Awty International DC,Mountain Lakes EW,"Amanda Ciocca																																						Antonina Clementi																																						Nicholas Copland","Neg																															Aff																															Aff","2-1																															AFF"
Harvard-Westlake JT,Wayzata NS,"Max Perin																																						Anika Ganesh																																						Fei Wang","Aff																															Neg																															Neg","2-1																															NEG"
Ridge MS,Harvard-Westlake AS,"Sachin Aggarwal																																						Madison Arenaz																																						Matheno Frazier-Bey","Neg																															Aff																															Aff","2-1																															AFF"
Archbishop Mitty AP,Vestavia Hills VZ,"Kristopher Samuel																																						Joe Rhee																																						Anirv Ayyala","Aff																															Neg																															Aff","2-1																															AFF"
Carnegie Vanguard LH,Cabot KB,"Nicholas Ford																																						Daniel Medina																																						Curtis Ortega","Neg																															Neg																															Aff","2-1																															NEG"
BASIS Scottsdale JV,Monta Vista AA,"Lukas Krause																																						Elizabeth Su																																						Nhu Vo","Neg																															Neg																															Neg","3-0																															NEG"
Harvard-Westlake KM,Harvard-Westlake MR,,Harvard-Westlake KM advances,Harvard-Westlake KM advances
