Aff,Neg,Judges,Votes,Win
Loyola TG,Harrison RP,"Carson Bath																																						Isabella Maldia																																						Lesly De Anda","Neg																															Aff																															Neg","2-1																															NEG"
American Heritage Broward CW,Lynbrook BZ,"Lewis Martin																																						Neel Kanamangala																																						Gage Larson","Neg																															Neg																															Neg","3-0																															NEG"
OCSA IL,BASIS Silicon Valley YS,"Kaijun Ding																																						Riley Rees																																						Avery Dover","Aff																															Aff																															Aff","3-0																															AFF"
BASIS Silicon Valley JK,Harrison JG,"Nicholas Ford																																						Garrett Bishop																																						Phoenix Pittman","Neg																															Neg																															Neg","3-0																															NEG"
Loyola UT,Ridge MS,"Rob Sosa																																						Rose Larson																																						Kumail Zaidi","Neg																															Neg																															Neg","3-0																															NEG"
Ridge SK,Acton-Boxborough NK,"Nathan Weimar																																						Elvis Pineda																																						Fianah McMillan","Neg																															Neg																															Neg","3-0																															NEG"
Lakeside PK,Lynbrook OM,"Amanda Ciocca																																						Joey Antonelli																																						Kavin Kumaravel","Neg																															Neg																															Neg","3-0																															NEG"
Harrison AGa,Loyola TH,"Ryan Morgan																																						Sim Low																																						Gerard Grigsby","Neg																															Neg																															Neg","3-0																															NEG"
Altamont JS,Lake Highland Prep NA,"Eva Lamberson																																						Briajia Levi																																						Mark Kivimaki","Aff																															Aff																															Aff","3-0																															AFF"
Sharks Independent WL,Walt Whitman HZ,"Jim Sydnor																																						Saied Beckford																																						Spencer Anderson McElligott","Neg																															Aff																															Neg","2-1																															NEG"
Isidore Newman DC,Horace Greeley AM,"Sonali Nicola																																						Luna Schultz																																						Cyrus Jackson","Neg																															Neg																															Aff","2-1																															NEG"
Monta Vista EY,BASIS Scottsdale SS,"Henry Mitchell																																						Leslie Rini																																						Zakai Petilon","Aff																															Aff																															Aff","3-0																															AFF"
BASIS Scottsdale JV,Waring MB,"Shan Yang																																						chan park																																						Mariama Thiam","Aff																															Neg																															Neg","2-1																															NEG"
Pinewood TA,BASIS Scottsdale TK,"Shruti Narayanabhatla																																						Patrick Maher																																						Blake Ziegler","Neg																															Neg																															Neg","3-0																															NEG"
Brophy MS,Hawken JK,"Guhan Krishnan																																						David Henning																																						Andrew Choi","Aff																															Aff																															Neg","2-1																															AFF"
Marlborough LS,Bronx Science LS,"Michael Caplan																																						David Guidry																																						Antonina Clementi","Neg																															Neg																															Aff","2-1																															NEG"
