Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Acton-Boxborough GrSu,Midtown SA,Sofia Kingston,Aff,"JSun																																																												29.3																																																																																								AGraia																																																												30.0","CSkourteris																																																												28.0																																																																																								AAnderson																																																												29.0"
Mountain Brook LN,Marist MM,Amanda Nobra,Neg,"WLong																																																												27.0																																																																																								ENoel																																																												28.0","TMastella																																																												29.0																																																																																								WMastella																																																												30.0"
Quarry Lane LG,Lambert BM,Jamie Corcoran,Neg,"VGupta																																																												27.0																																																																																								JLi																																																												28.5","AMyneni																																																												28.0																																																																																								NBudda																																																												27.5"
Chattahoochee SK,Park City KG,Nathan Wang,Neg,"GShin																																																												27.0																																																																																								BKang																																																												27.2","EKuck																																																												28.3																																																																																								GGladson																																																												28.9"
Nueva ES,Mountain House JP,Cale McCrary,Aff,"DSoral																																																												29.4																																																																																								MEmanuel																																																												28.9","AJanganure																																																												28.1																																																																																								RPrashanth																																																												28.2"
Nueva RI,Midtown ML,Eden Long,Aff,"JRong																																																												29.5																																																																																								AIyer																																																												29.8","LLignugaris																																																												29.2																																																																																								JMoye																																																												29.0"
Hunter CD,Otterson Homeschool AO,Jing Jing Xiao,Neg,"CChen																																																												29.0																																																																																								TDickerson																																																												29.1","PAgrawal																																																												29.3																																																																																								AOdugu																																																												29.2"
Mountain Brook PP,Coral Academy of Science Las Vegas AK,David Jia,Aff,"WPortera																																																												28.1																																																																																								MPortera																																																												30.0","JAdler																																																												29.0																																																																																								ZKristosik																																																												28.0"
Acton-Boxborough SG,Lassiter KR,Gavin Serr,Aff,"MSundaram																																																												28.0																																																																																								NGoli																																																												27.9","MKang																																																												27.8																																																																																								NRaman																																																												27.7"
Chattahoochee QL,CDI HM,Alexander Tivlumun,Aff,"ALao																																																												29.0																																																																																								AQian																																																												28.5","AMotivala																																																												27.5																																																																																								EHuang																																																												27.0"
Mountain House KD,Park City MD,Javier Lopez-Miranda,Neg,"MDhruv																																																												28.4																																																																																								AKurup																																																												28.1","SMinter																																																												28.6																																																																																								SDildy																																																												28.2"
Hunter JK,Cranbrook YL,Charles Kishi,Neg,"IJetley																																																												28.5																																																																																								KKhuu																																																												28.0","SLu																																																												28.7																																																																																								LYang																																																												29.6"
Taipei American HT,Midtown BM,Frances Yong,Aff,"VHung																																																												29.9																																																																																								ITsai																																																												30.0","NBrawner																																																												29.8																																																																																								RMackler																																																												29.6"
Taipei American HL,Lambert LM,Rina Song,Neg,"LLee																																																												27.9																																																																																								NHirokawa																																																												28.0","JLiu																																																												29.0																																																																																								AMukker																																																												29.1"
Canyon Crest FS,Thomas S. Wootton TT,Jeannine Yu,Aff,"DSong																																																												29.7																																																																																								AFehmi																																																												29.6","ATian																																																												29.4																																																																																								ITang																																																												29.5"
River Hill BT,Chattahoochee CK,Norman Tillero,Aff,"RBi																																																												29.5																																																																																								TTang																																																												30.0","AChoi																																																												27.0																																																																																								SKalva																																																												28.0"
Winston Churchill IM,Sunset WS,Joy Taw,Aff,"CIngram																																																												29.0																																																																																								BMacKay																																																												29.1","SSaha																																																												28.9																																																																																								SWang																																																												28.8"
Quarry Lane SM,Acton-Boxborough GS,Ben Jacobs,Neg,"RMamdur																																																												27.8																																																																																								VSingamsetti																																																												28.2","VGollapudi																																																												28.8																																																																																								GSivasenthil																																																												28.6"
Richard Montgomery WY,Del Norte SC,Haritha Katta,Neg,"AWei																																																												29.3																																																																																								KYuan																																																												29.2","SChoubey																																																												29.6																																																																																								NShah																																																												25.0"
Eden Prairie VV,Del Norte ZN,Matthew Horne,Aff,"AVirdi																																																												30.0																																																																																								KVirdi																																																												29.5","CNi																																																												29.0																																																																																								AZhang																																																												28.9"
Marist EF,Acton-Boxborough GA,Yutong Hu,Neg,"KEscayg																																																												27.5																																																																																								CFrame																																																												27.6","MAdusumilli																																																												28.5																																																																																								AGoel																																																												28.6"
Chattahoochee PC,Delbarton VD,Sinan Roumie,Neg,"PChanda																																																												28.5																																																																																								DPrasad																																																												28.2","AD'Souza																																																												29.3																																																																																								SValiveti																																																												29.2"
Cranbrook DG,Trinity Prep DD,Malcolm Davis,Neg,"DGan																																																												27.0																																																																																								NWang																																																												28.0","NDaniel																																																												29.2																																																																																								ADeStefano																																																												29.3"
Lovett LV,Hunter TV,Sreekar Nagulapalli,Neg,"ELee																																																												29.5																																																																																								JVan Os																																																												27.3","RTang																																																												29.4																																																																																								AVarah																																																												29.8"
Avenues: The World BC,Cranbrook HZ,Arnav Mehta,Neg,"JBrashear																																																												28.8																																																																																								RChen																																																												29.0","MHuang																																																												29.6																																																																																								JZhang																																																												28.9"
Lake Highland Prep MA,JR Masterman HW,Jai Sehgal,Aff,"IArain																																																												29.4																																																																																								HMartinez																																																												29.3","JWei																																																												28.4																																																																																								HHalimitabrizi																																																												28.6"
Lambert LG,Acton-Boxborough LL,Sunil Kalva,Aff,"ZLiew																																																												27.0																																																																																								JGuan																																																												26.0","MLiu																																																												25.0																																																																																								TLi																																																												28.0"
Canyon Crest WS,Cranbrook FZ,Elijah Smith,Aff,"MSynn																																																												29.1																																																																																								JWang																																																												29.0","LFeng																																																												28.5																																																																																								IZhang																																																												28.4"
Delbarton RW,Acton-Boxborough NS,Jonathan Waters,Aff,"RRoss																																																												29.2																																																																																								TWyso																																																												29.5","SNarra																																																												29.0																																																																																								SShroff																																																												29.3"
