Pro,Con,Judge,Win
Nueva DC,Thomas S. Wootton GaAn,Asha Biju,Pro
Avenues: The World BC,Blake SV,Subrata Saharoy,Pro
Germantown BW,BASIS Phoenix MS,Tyler Zabolio,Con
Westborough AS,Valley Christian LL,Mia Goldberg,Con
Christopher Columbus GG,Ravenwood ST,Tequa Salehi-Rad,Pro
Mountain House DK,Bronx Science SV,Malcolm Davis,Con
Thomas S. Wootton GA,Ardrey Kell SA,Max Hong,Con
Sharon SG,Walter Johnson JL,Edward Rumbos-Perez,Con
Summit AH,Sharon XX,Minhhy Truoung,Con
McLean KZ,Horace Mann PJ,Henry Peter,Con
Tri-Valley Coalition WJ,Nueva CC,Naveen Addagudi,Con
Iowa City West GA,Rye GT,Jignesh Shah,Pro
Ardrey Kell SV,Bronx Science KF,Anupama Bhargava,Pro
Nueva WM,Bellaire AK,Edgar Cheng,Con
Hunter TC,Hamilton HB,Phillis Wan,Con
Westborough CP,Mountain House BK,Ankur Jaswal,Con
Iowa City West DE,Christopher Columbus RC,Rajul Mamgain,Pro
NS Independent CK,Dalton SC,Kion Manesh,Con
NS Independent LS,Bronx Science MN,Nirmala Kummathi,Pro
NS Independent LP,Hewitt BB,Emanuel Schorsch,Con
McLean LL,Leland CL,Sumukh Tendulkar,Con
Leland MB,Bronx Science OT,Sangeeta Shroff,Pro
Central HS Springfield KG,Hewitt DR,Jai Sehgal,Con
Stuyvesant ZO,NS Independent RY,Weiwei Chen,Con
Mountain House PJ,Vista Del Lago BP,Amit Kulshreshtha,Pro
Horace Mann VK,Kinkaid CT,Hong Jiang,Pro
Leland IT,Westborough JS,Nagarajan Hariharan,Pro
Syosset HS,Lincoln East RW,Amit Rawlani,Pro
Stuyvesant BD,Skyline BA,brian lam,Con
Horace Mann CT,Bronx Science WK,bill mcnairy,Pro
Lincoln East JS,Mountain House PM,Jun Yan,Con
Leland MR,North Allegheny HK,Shikhar Kaul,Pro
Ravenwood GV,Bronx Science FW,Harsha Rajapakse,Pro
Cary Acad DB,Mission San Jose MG,Luke Sullivan,Pro
Lincoln East SN,BASIS Scottsdale SS,Yan Yang,Con
Mission San Jose BS,Summit ZS,Ethan Ramos,Con
Lincoln East AG,Phillips Exeter BS,Ilya Zharov,Pro
Hunter SS,Scarsdale LZ,Akshana Dassanaike,Con
Seven Lakes EM,Bronx Science WL,Nan Yao,Pro
NS Independent KY,Brentwood SJ,Ravi Tiyyagura,Con
Bronx Science CC,Seven Lakes XL,Stephen Anthony,Pro
Denver East ZB,NS Independent DM,Tieying Huang,Con
Emerald AO,Bronx Science LR,Samantha Schonfeld,Pro
North Allegheny GR,Chapin RK,Subash Bhattachan,Con
Glen Rock KF,Rye TT,Lama Mulki,Pro
NS Independent XW,Livingston YZ,Brooke Meints,Pro
Del Norte AJ,NS Independent BT,Gopikrishna Eriki,Con
Mission San Jose SP,Acton-Boxborough SiGo,Olga Sayyidina,Pro
North Allegheny DD,Summit MT,Wei LI,Con
Lincoln East BN,Folsom CJ,Roselie Schneider,Con
Del Norte WS,Bronx Science SM,Lichen Liang,Con
Syosset MZ,Centennial HS (MD) ZC,Xiomara Jean Louis,Con
Acton-Boxborough NS,Bronx Science ZC,Roland Au-Yeung,Pro
Bronx Science HZ,Livingston GZ,Izhan Qureishy,Con
Bronx Science BV,Flintridge Prep CB,Lynn Chen,Con
Langley BG,Del Norte CH,Sharan Mudgal,Pro
Hamilton MP,Cary Acad WL,Jamie Kim,Con
Vista Del Lago RK,Germantown SH,Yibing Xin,Pro
Nueva RI,NS Independent SZ,Ravi Pasumarthi,Pro
Bronx Science FE,"Ridgewood HS - Ridgewood, NJ YZ",Sky Juinio,Con
Myers Park HV,Bronx Science LC,Christina Xu,Con
Strawberry Crest EG,Eden Prairie VV,Weiyao Xiao,Con
Denver East RP,Mission San Jose RS,Jintao Jiang,Pro
Bronx Science IB,Summit LD,Adam Meskouri,Pro
Plano West AV,Denver East MG,Mehul Lakhanpal,Pro
BASIS Peoria Independent AL,Bronx Science BC,Gary Ji,Con
Stuyvesant LB,Hamilton GZ,Neeru Agarwal,Pro
Acton-Boxborough GS,SD ZZ,Wanjun Wang,Pro
Trinity TJ,Lakeville North MZ,Amit Kumar,Con
Summit AP,Lynbrook SH,Dylan McEntyre,Con
BASIS Phoenix PG,Del Norte SC,Truman Le,Pro
Lawrenceville NC,Bronx Science SL,Meena Ramakrishnan,Pro
East Ridge JS,North Allegheny NS,Les Phillips,Con
Hunter TV,Langley JL,Vinita Bhutoria,Pro
Canyon Crest SX,Bronx Science TT,Patrice Young,Con
Bellaire CX,Nueva SE,John Holen,Con
Iowa City West AT,Kennedy LN,Amy Huang,Con
Northwood SX,Del Norte ZN,Ram Miller,Con
Del Norte NX,Leland YJ,Shuhag Ghosh,Con
Horace Mann BF,Lawrenceville LA,Teresa Uthurralt,Pro
Brentwood SP,Trinity AS,Brandon Ford,Pro
NS Independent PT,CR North MS,Karun Chinthapatla,Con
BASIS Independent McLean BR,SD SW,,"Pro BYE																									Con FFT"
Acton-Boxborough LL,Denver East CK,,"Pro BYE																									Con FFT"
Trinity CM,Bronx Science BM,,"Pro BYE																									Con BYE"
CR North KV,Canyon HS,,"Pro BYE																									Con FFT"
