Pro,Con,Judges,Votes,Win
Brentwood MY,Seven Lakes CM,"Hasan Khan																																						Madison Kim																																						Jasper Tessel","Pro																															Con																															Con","2-1																															CON"
Strake Jesuit LC,American Heritage Broward PC,"Vincent Chen																																						Alex Huang																																						Trent Carter","Pro																															Pro																															Pro","3-0																															PRO"
Pine View GM,Montgomery Blair LT,"Sebastian Glos																																						Bruce Missell																																						Robert Kent","Con																															Pro																															Pro","2-1																															PRO"
Richard Montgomery LW,Strake Jesuit MuHa,"Srinivasa Balmuri																																						Julian Bahamon																																						Zia Patel","Pro																															Con																															Con","2-1																															CON"
Bronx Science AE,Strake Jesuit ZS,"Jordan Press																																						Sienna Vaughn																																						Arturo Feliz-Camilo","Con																															Pro																															Con","2-1																															CON"
Fairmont Prep SK,Strake Jesuit NT,"Lindsey McNamara																																						Laura Aybar																																						Sophia Guarnieri","Pro																															Pro																															Con","2-1																															PRO"
Germantown Friends LZ,American Heritage Palm Beach CE,"Ishan Dubey																																						Ingrid Groose																																						Zach Dyar","Pro																															Con																															Pro","2-1																															PRO"
Millburn CW,Strake Jesuit HW,"Spencer Orlowski																																						Kiva James																																						Amanda Pritchard","Pro																															Pro																															Pro","3-0																															PRO"
Olympia MP,Brentwood JS,"Jaime Garcia																																						Kate Hubbell																																						Justin Perez","Con																															Con																															Con","3-0																															CON"
Strake Jesuit HH,Potomac LM,"Hassan Palanpurwala																																						Quinn McKenzie																																						Vera Tolari","Pro																															Pro																															Con","2-1																															PRO"
Dreyfoos Arts FM,Strake Jesuit WC,"Asa Arnold																																						David Hobson																																						Maria Alvarez","Con																															Con																															Con","3-0																															CON"
Strake Jesuit MH,Trinity Prep DD,"Norman Tillero																																						Shanjun Li																																						Dina Imamovic-Sirois","Con																															Pro																															Con","2-1																															CON"
Pittsburgh Central Catholic AG,Palm Harbor ML,"Reagan Yount																																						Gabe Rusk																																						David Kennedy","Con																															Con																															Con","3-0																															CON"
Christopher Columbus CA,Cary Acad JR,"Ashley Inoa																																						Gandhi Subramanian																																						Obi Assali","Con																															Con																															Con","3-0																															CON"
Seven Lakes LL,Lake Highland Prep AG,"Michelle McGovern																																						Avinash Byakod																																						Nathan Padron","Pro																															Pro																															Pro","3-0																															PRO"
Lake Highland Prep SM,Lake Highland Prep SA,,Lake Highland Prep SA advances,Lake Highland Prep SA advances
