Pro,Con,Judges,Votes,Win
Leland MR,Notre Dame San Jose YA,"Philip Perez																																						Prasun Mishra																																						Sridhar Narra","Con																															Pro																															Pro","2-1																															PRO"
CDI BM,Cranbrook GZ,"Jun Yan																																						Ling Zhao																																						Vasudevan Swamidurai","Con																															Pro																															Pro","2-1																															PRO"
Archbishop Mitty SS,Sidwell Independent FG,"Savitha Srivatsa																																						Tom Perret																																						Mohammad Khan","Pro																															Con																															Con","2-1																															CON"
Stuyvesant BD,Mission San Jose WD,"Nitika Kaushal																																						Rina Song																																						saipradeep venkatraman","Con																															Con																															Con","3-0																															CON"
University MQ,Los Altos LL,"Dylan McEntyre																																						Caleb Chen																																						Mohammed Habib","Con																															Con																															Pro","2-1																															CON"
Brentwood MY,Leland LC,"Jing Jing Xiao																																						Ayan Jung																																						Colleen Devery","Con																															Con																															Con","3-0																															CON"
Saratoga TL,Cary Acad LW,"Manami Roychowdhury-Saha																																						Gauri Sharma																																						Sonu Chauhan","Pro																															Con																															Pro","2-1																															PRO"
Eagle Independent MR,Stuyvesant LB,"Sophia Polley-Fisanich																																						Li He																																						Cherie Wang","Pro																															Con																															Pro","2-1																															PRO"
Saratoga RT,West Windsor Plainsboro South PB,"Subrata Saharoy																																						Taruna Chandok																																						Anthony Zahtila","Con																															Pro																															Con","2-1																															CON"
Vista Del Lago PB,Acton-Boxborough NS,"Art Rask																																						Alok Kapoor																																						Ben Lemley","Con																															Pro																															Pro","2-1																															PRO"
Bay Area Independent CL,Castro Valley HG,"Anita Narra																																						Vikram Rao																																						Jordan Ramsey","Con																															Pro																															Pro","2-1																															PRO"
Cary Acad RJ,Leland MB,"Hody Hung																																						Rishabh Singh																																						Kitiny Phumchun","Con																															Pro																															Pro","2-1																															PRO"
NS Independent KC,Summit SZ,"Roselie Schneider																																						Sanjay Revagad																																						Allison Ma","Pro																															Pro																															Pro","3-0																															PRO"
Bellarmine  BM,Cranbrook LY,"Prabhjot Saini																																						Abhishek Gangwal																																						Daoshan Sun","Pro																															Pro																															Con","2-1																															PRO"
Livingston YZ,Lincoln-Sudbury KH,"John Louie																																						Shen Dong																																						Yiraldo Campos","Pro																															Pro																															Pro","3-0																															PRO"
Scarsdale ZL,National Debate Club (NDC) SX,"Jyothi Jayachamarajapura																																						Murphy Chang																																						Austin Kelachukwu","Con																															Pro																															Con","2-1																															CON"
