Aff,Neg,Judges,Votes,Win
Charlotte Latin RC,Winston Churchill MW,"Jamie Zhang																																						huibo liu																																						Jill Van","Neg																															Neg																															Neg","3-0																															NEG"
Del Norte ZN,JR Masterman WE,"Jing Jing Xiao																																						Zach Fleesler																																						Sage Carter","Aff																															Neg																															Neg","2-1																															NEG"
Leland KI,Myers Park MP,"Gabe Rusk																																						Mahmoud Hassanpour																																						Regina Han Jansky","Aff																															Aff																															Aff","3-0																															AFF"
Kinkaid TC,Lincoln-Sudbury HK,"Doug Miller																																						Vicky Yang																																						Pallavi Chirakala","Aff																															Neg																															Neg","2-1																															NEG"
Saratoga JG,Princeton KT,"Ying Zou																																						Elizabeth Terveen																																						Dharmender Chandok","Aff																															Aff																															Aff","3-0																															AFF"
Cary Acad LJ,Bronx Science IB,"Brooke Blanton																																						Yan Huang																																						Tom Parsi","Aff																															Aff																															Aff","3-0																															AFF"
Leland YL,Mission San Jose WD,"Ethan Jacobs																																						Dina Imamovic																																						Pavan Reddy","Neg																															Neg																															Neg","3-0																															NEG"
East Ridge MV,Huntington CN,"Ben Jacobs																																						Kiran Savanur																																						Seon Jeon","Neg																															Aff																															Neg","2-1																															NEG"
Canyon Crest WS,Mira Loma PP,"Michael Hansen																																						Ivana Gvozdenovic																																						Shilpa Bansod","Aff																															Neg																															Aff","2-1																															AFF"
Mission San Jose MG,Alliance RY,"Evan Mao																																						Nico Raffinengo																																						Sonya Patel","Neg																															Aff																															Neg","2-1																															NEG"
National Debate Club (NDC) IB,Westridge WC,"Mari Hirano-Kang																																						Dhruv Prakash																																						Stefan Bauschard","Neg																															Aff																															Neg","2-1																															NEG"
Delbarton EP,Golden State LL,"Cherie Wang																																						Tyler Stough																																						Caleb Chen","Aff																															Aff																															Aff","3-0																															AFF"
Atlantic Independent CN,Potomac LM,"Chunlin Tang																																						Robert Holmes																																						Erik Hsu","Aff																															Aff																															Aff","3-0																															AFF"
Lake Highland Prep AS,BASIS Peoria Independent GV,"Joey Antonelli																																						Jing Liu																																						Sung Jun Jeon","Aff																															Neg																															Aff","2-1																															AFF"
Acton-Boxborough LL,Tri-Valley Coalition HL,"Adithya Vaidyanathan																																						Zhanliang Qin																																						Roychowdhury-Saha Manami","Aff																															Neg																															Aff","2-1																															AFF"
American Heritage Broward PC,Mountain Lakes HF,"Katie Blowers																																						Sienna Vaughn																																						Nik Schintgen","Neg																															Aff																															Aff","2-1																															AFF"
Lambert South Independent DM,St Luke's MW,"Marius Corbu																																						Donald Broussard																																						Jennie Fan","Aff																															Neg																															Neg","2-1																															NEG"
Chapin MS,Flintridge Prep WY,"Jeffrey-David Swift																																						Annalisa Keuler																																						Ken Wu","Aff																															Neg																															Aff","2-1																															AFF"
Trinity Prep DC,Mount Auburn Hospital Independent MC,"Matt Suescun																																						Alexandra Yang																																						Alexander Valcarcel","Aff																															Aff																															Neg","2-1																															AFF"
Cranbrook HZ,Sidwell Independent FG,"Caitlyn Jones																																						Spencer Orlowski																																						Ashok Maheshwari","Neg																															Neg																															Neg","3-0																															NEG"
Canyon Crest CS,Lakeville North TZ,"Calvin Goldsberry																																						Joseph Nahas																																						Kathy Sheehan","Neg																															Neg																															Aff","2-1																															NEG"
Lynbrook PL,Sidwell Independent HJ,"Sherry Meng																																						Zhaogang Qiao																																						Mercedes Civantos","Neg																															Aff																															Aff","2-1																															AFF"
Livingston NS,Southlake Carroll BS,"Neeru Bhan																																						Bhavna Deshpande																																						Naomi Davis","Neg																															Aff																															Aff","2-1																															AFF"
Christopher Columbus CA,Lincoln-Sudbury RC,"Rachel Rothschild																																						Curtis Murungi																																						Kole Ingram","Neg																															Neg																															Neg","3-0																															NEG"
NC School Of Science and Math - Durham KS,Fairmont Prep KT,"Pradeep Pithumani																																						Sunay Hegde																																						Pushpendra Duhoon","Aff																															Neg																															Aff","2-1																															AFF"
Acton-Boxborough SS,Seven Lakes EM,"ZHE TANG																																						Remington Hicks																																						Anbu Subramanian","Aff																															Neg																															Neg","2-1																															NEG"
MCD Prep CZ,Sidwell Independent BC,"Ivan Shah																																						Austin Kelachukwu																																						Anjana Ramachandran","Aff																															Neg																															Neg","2-1																															NEG"
Strath Haven DZ,Eden Prairie VV,"Tania Giovannetti																																						Katheryne Dwyer																																						Rachel Zubrin","Aff																															Aff																															Aff","3-0																															AFF"
Campbell Hall BM,University AK,"Sue Zhu																																						Rohun Gupta																																						Kelly Timmerman","Aff																															Neg																															Aff","2-1																															AFF"
Taipei American TH,Ardrey Kell AS,"Samir Jain																																						Feng Qu																																						David Wu","Aff																															Neg																															Neg","2-1																															NEG"
Lakeville North LM,Monta Vista TG,"Venu Goli																																						Rina Song																																						sasidhar gundimeda","Aff																															Neg																															Aff","2-1																															AFF"
McLean WJ,Horace Mann JH,"Chitkala Sethuraman																																						Heidi Ward																																						Deepa Sachdeva","Aff																															Aff																															Neg","2-1																															AFF"
