Pro,Con,Judges,Votes,Win
Theodore Roosevelt CM,Germantown Friends LZ,"Ara Mehran																																						Henry Anastasi-Scott																																						Maddie Cook","Con																															Con																															Con","3-0																															CON"
Canyon Crest FS,Emerald KG,"Hui Tang																																						Leah Edmonds																																						Hui Zhang","Pro																															Con																															Pro","2-1																															PRO"
American Heritage Broward PC,Milton Acad MC,"Bilal Butt																																						Malcolm Davis																																						Jen Lee","Pro																															Pro																															Pro","3-0																															PRO"
JR Masterman WE,Fairmont Prep SS,"Charlie Timm																																						Lillian Albrecht																																						Shaun Jones","Con																															Con																															Con","3-0																															CON"
Nueva AH,Harker LL,"Katheryne Dwyer																																						Bailey Koh																																						Ben Kleiman","Pro																															Pro																															Pro","3-0																															PRO"
Emerald AG,Montgomery Blair LT,"Vivek Yarlagedda																																						Fiona Hu																																						Obi Assali","Con																															Pro																															Con","2-1																															CON"
Lexington MS,Iowa City West AE,"Marge Strong																																						Payton Shen																																						Sinan Roumie","Con																															Con																															Con","3-0																															CON"
Saratoga JG,Palm Harbor ML,"Yongshun Lin																																						Uday Jain																																						Kate Totz","Pro																															Pro																															Pro","3-0																															PRO"
Arlington CL,Nueva CG,"Brooke Blanton																																						Andy Stubbs																																						Henna Kalsi","Pro																															Pro																															Con","2-1																															PRO"
Hawken MJ,Charlotte Latin BW,"Sky Juinio																																						Art Rask																																						Sienna Vaughn","Pro																															Con																															Con","2-1																															CON"
Winston Churchill IM,Potomac ML,"Kate Hubbell																																						Ethan Massa																																						Shanjun Li","Pro																															Pro																															Con","2-1																															PRO"
Strake Jesuit  CW,Strake Jesuit  MS,,Strake Jesuit  MS advances,Strake Jesuit  MS advances
Plano West KL,,,,
Strake Jesuit  ZG,,,,
Delbarton EP,,,,
East Ridge MV,,,,
