Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Skyline KS,Fort Collins NB,Elizabeth Urie,Aff,29.0,28.5
Marlborough AM,Archbishop Mitty AG,Aubrie Powers,Aff,29.0,28.5
Highland EL,Fort Collins IO,Elvis Pineda,Neg,28.7,28.8
Fort Collins CM,Skyline WC,Fariya Sharif,Neg,27.0,28.0
Archbishop Mitty CP,Fort Collins CH,Steve Knell,Aff,28.1,27.0
Marlborough SW,Highland LK,Jason Clarke,Aff,29.1,29.0
Marlborough OO,West HS SLC LM,Nate Tanner,Aff,29.5,29.4
Cheyenne East BE,Marlborough SS,Scott Coller,Neg,30.0,29.0
Marlborough SM,Meadows TB,Mia Carlos,Aff,30.0,29.0
Park City AB,Marlborough PS,Josh Mitchell,Neg,28.5,28.6
Marlborough SMe,Alta CC,Cas Mulford,Neg,27.8,28.5
Cheyenne East NK,Marlborough FM,Elliot Tilley,Aff,28.9,28.3
Marlborough CS,Highland LP,John Shackelford,Aff,29.4,28.4
George Washington IF,West HS SLC KS,Jun Kwon,Aff,29.5,28.6
Marlborough LS,BASIS Chandler WI,Brent Kious,Aff,28.5,26.5
