Aff,Neg,Judges,Votes,Win
Horace Greeley SG,Bronx Science LS,"Chetan Hertzig																																						Rodrigo Paramo																																						Ethan Chen","Aff																															Neg																															Aff","2-1																															AFF"
Marlborough OO,Cary Acad LM,"Rishil Nettam																																						Shreeram Modi																																						Aidan Etkin","Neg																															Aff																															Aff","2-1																															AFF"
Lynbrook BZ,Colleyville Heritage GM,"Patrick Fox																																						Spencer Swickle																																						Curtis Ortega","Aff																															Aff																															Aff","3-0																															AFF"
Monta Vista EY,Strake Jesuit  SR,"Ayman Badawy																																						Aerin Engelstad																																						Eloise So","Neg																															Aff																															Aff","2-1																															AFF"
Peninsula SU,Barrington AC,"Adam Torson																																						Nick Loew																																						Tyler Thur","Aff																															Aff																															Aff","3-0																															AFF"
Head-Royce AJ,Greenhill VT,"Conner Shih																																						Samar Kibe																																						Tinghan Wang","Aff																															Aff																															Neg","2-1																															AFF"
Plano West AR,Vestavia Hills VZ,"Elizabeth Elliott																																						Sachin Aggarwal																																						Truman Le","Aff																															Neg																															Aff","2-1																															AFF"
Coppell KT,Greenhill AK,"Colton Gilbert																																						Kalil Bennett																																						Chansey Agler","Aff																															Aff																															Aff","3-0																															AFF"
American Heritage Broward ZC,Lynbrook OM,"Jim Sydnor																																						Krutin Devesh																																						Chris Castillo","Neg																															Neg																															Neg","3-0																															NEG"
Harker SD,Greenhill DM,"Chris Theis																																						Luke Schooler																																						Jordan Keller","Neg																															Neg																															Aff","2-1																															NEG"
Greenhill SK,Pacific American VK,"William Mathison																																						Nigel Taylor-Ward																																						Lindsey McNamara","Aff																															Aff																															Aff","3-0																															AFF"
Greenhill EX,McNeil AS,"Amanda Ciocca																																						Reese Potash																																						David Asafu-Adjaye","Neg																															Neg																															Neg","3-0																															NEG"
Harrison FW,Harvard-Westlake KM,"Anthony Berryhill																																						Brian Manuel																																						Logan Viera","Aff																															Aff																															Aff","3-0																															AFF"
Harvard-Westlake AS,Horace Greeley AM,"Adhitya Ravikumar																																						Alyson Granchi																																						Ayo Sanneh","Aff																															Aff																															Aff","3-0																															AFF"
Little Rock Central GT,Harker SS,"Patrick Tapia																																						Matt Cekanor																																						Jared Shirts","Neg																															Neg																															Aff","2-1																															NEG"
Harker AA,Loyola TH,"Jacob Nails																																						Riley Rees																																						Laurel Pack","Neg																															Neg																															Neg","3-0																															NEG"
