Aff,Neg,Judge,Win
ADL VK,Little Rock Central HK,Sara Nichols,Neg
Cabot KB,Millard North PA,Taylor Tate,Aff
Harvard-Westlake MR,Cabot KC,Micah Wang,Aff
Redlands EZ,Mountain View AW,Joseph Barquin,Neg
Millard North KB,Harvard-Westlake EO,Sara Nichols,Aff
BASIS Chandler WI,Little Rock Central GT,Elmer Yang,Neg
Evergreen Valley AA,Claudia Taylor Johnson MP,Zaid Umar,Aff
Harvard-Westlake TK,Frazer LD,Luke Smith,Aff
ADL GL,Harvard-Westlake JH,Christian Kasten,Neg
ADL RL,Harvard-Westlake EY,Christian Kasten,Neg
Evergreen Valley SK,Berkeley Carroll JH,Cyris Lim,Aff
Harvard-Westlake DB,Park Vista CN,Sunny Bodduluri,Neg
West HS SLC LM,Little Rock Central SH,Micah Wang,Aff
Mountain View CS,Mercer Island JY,Taylor Tate,Neg
Harvard-Westlake FS,St Thomas CO,Cyris Lim,Neg
Little Rock Central YH,ADL JP,Luke Smith,Aff
ADL KW,Little Rock Central CS,Brendon Bankey,Neg
