Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
San Marino BP,Immaculate Heart CD,Stephen Fazio,Neg,27.0,28.0
Sage AJ,Nova 42 DW,Andrew Lopez,Aff,28.8,27.5
Claremont SH,San Dieguito MC,Susie Cassel,Aff,29.0,28.0
Immaculate Heart JD,Westview KT,Stephen Fazio,Aff,27.1,27.0
Los Osos ZC,Marlborough JWe,Imaan Sidhu,Aff,28.9,28.8
ILearn Education JK,ModernBrain AH,Susie Cassel,Aff,29.0,26.0
Sage IH,Carlsbad AP,Imaan Sidhu,Aff,29.5,28.9
Harker AK,Immaculate Heart SP,Thomas Janes,Aff,27.3,27.2
Immaculate Heart CO,Windward EB,Julian Kuffour,Neg,29.4,29.5
Claremont MC,Peninsula AK,James Zucker,Neg,27.0,29.0
Marlborough CS,Carlsbad NJ,Conner Shih,Aff,28.9,28.8
Loyola JP,Claremont DF,Catherine Morris,Neg,29.0,29.5
Francis Parker MJ,ModernBrain GH,Chuanfei Ke,Neg,27.3,27.5
ModernBrain GC,Olympian AR,Megan Pateno,Neg,28.0,28.5
Flintridge Prep CX,Loyola MR,Joaquin Arreola,Aff,29.8,29.7
Harker DD,Rancho Bernardo SR,Andrew Lopez,Aff,29.3,27.5
Carlsbad GT,Sage LZ,David Martinez,Aff,28.8,28.7
Oceanside TS,Bonita Vista JC,Victor Jih,Neg,26.0,26.5
San Marino KH,Bonita Vista LS,Thomas Janes,Aff,28.5,28.9
Olympian LP,Loyola SC,Shaina Sanchez,Neg,28.5,29.0
Immaculate Heart AM,Olympian TH,Jerry Torne,Aff,29.0,26.0
Loyola AK,ILearn Education DS,Victor Wu,Aff,28.4,28.3
Harker JS,ModernBrain AW,Lesly De Anda,Neg,29.0,28.5
Peninsula EC,Marlborough AK,Dash Gilrain-Lennon,Neg,28.6,29.3
Claremont MY,Windward JR,Jerry Torne,Neg,27.0,30.0
Loyola LA,Marlborough EF,chan park,Neg,28.9,29.1
Granada Hills Charter KM,Rancho Bernardo KK,Nisha Parekh,Aff,30.0,29.0
ILearn Education LA,Bonita Vista JJ,Chuanfei Ke,Neg,27.5,27.9
Loyola CK,Claremont SC,Fritz Pielstick,Aff,28.6,28.5
Los Osos ZY,Claremont BR,Bonnie Kassebaum,Neg,29.9,30.0
Los Osos EL,Peninsula JT,Shaina Sanchez,Aff,29.3,29.2
Immaculate Heart AE,Loyola ED,Victor Wu,Neg,29.1,29.3
Windward EH,Rancho Bernardo NS,Nisha Parekh,Neg,29.0,29.5
Harker KA,Bonita Vista GH,Hongmei Wang,Aff,28.5,28.3
Marlborough SK,Bonita Vista VH,Allyson Spurlock,Aff,29.2,28.5
San Marino EH,San Dieguito WB,Megan Pateno,Aff,26.5,26.0
Harker EL,Los Osos DK,Timothy Meyer,Aff,27.6,27.5
Harker GN,Marlborough AL,David Martinez,Neg,28.8,28.9
ModernBrain JW,Peninsula AA,Connor Gutierrez,Aff,30.0,29.0
Peninsula KT,Westview KA,Connor Gutierrez,Aff,30.0,29.0
Harker JY,ModernBrain SP,James Zucker,Neg,29.0,29.5
ModernBrain JH,San Marino KP,Joaquin Arreola,Aff,29.4,29.1
Peninsula LZ,Immaculate Heart BB,Allyson Spurlock,Aff,28.6,28.4
Peninsula JE,Loyola TH,Julian Kuffour,Neg,29.1,29.2
Peninsula LZh,Marlborough EP,Conner Shih,Neg,28.6,29.0
Immaculate Heart AP,Peninsula YL,Catherine Morris,Aff,26.5,25.5
San Marino RL,Harker JC,Lesly De Anda,Aff,29.0,29.5
Los Osos HK,Marlborough GC,chan park,Neg,29.1,29.3
Loyola EM,Marlborough MF,Dash Gilrain-Lennon,Neg,28.7,29.0
