Aff,Neg,Judges,Votes,Win
McNeil JL,Plano West AR,"Jackson White																																						Ryan Graham																																						Aaron Barcio","Neg																															Neg																															Aff","2-1																															NEG"
Greenhill OG,McNeil AS,"Benjamin Wolf																																						Kumail Zaidi																																						Nigel Taylor-Ward","Neg																															Neg																															Neg","3-0																															NEG"
Southlake Carroll SK,McNeil NV,"Wyatt Hatfield																																						Neville Tom																																						Avery Wilson","Neg																															Neg																															Neg","3-0																															NEG"
Coppell KT,Northland Christian LM,"Pranav Sreenivas																																						Garrett Bishop																																						parker hamstra","Neg																															Neg																															Neg","3-0																															NEG"
St Thomas CO,Memorial AW,"Patrick Fox																																						Fahim Jahingir																																						Leo Crowley","Aff																															Aff																															Neg","2-1																															AFF"
Strake Jesuit  MM,Memorial BL,"Ishan Rereddy																																						Kush Vijapure																																						Jessica Dickey","Aff																															Aff																															Aff","3-0																															AFF"
Strake Jesuit  KS,Greenhill MA,"Johnathen Standifer																																						Curtis Ortega																																						Anderson Hendrix","Neg																															Aff																															Aff","2-1																															AFF"
Greenhill EX,Colleyville Heritage GM,"Johnathen Standifer																																						Kumail Zaidi																																						Leo Crowley","Neg																															Neg																															Aff","2-1																															NEG"
Greenhill AK,Awty International AZ,"Jack Quisenberry																																						Taylor Tate																																						Fahim Jahingir","Aff																															Aff																															Aff","3-0																															AFF"
Clear Lake CW,Plano West SG,"Pranav Sreenivas																																						Garrett Bishop																																						Ishan Rereddy","Neg																															Aff																															Neg","2-1																															NEG"
Greenhill DM,Plano West NS,"Antonio Arguelles																																						Colton Gilbert																																						Ryan Love","Neg																															Neg																															Aff","2-1																															NEG"
Cypress Ranch SS,Plano West ZM,"Adam Lipton																																						Srijan Sharma																																						Arshi Maniar","Neg																															Neg																															Neg","3-0																															NEG"
Acton-Boxborough NK,Plano West RC,"Wyatt Hatfield																																						Austin Broussard																																						Truman Le","Aff																															Aff																															Aff","3-0																															AFF"
Westwood DV,Memorial EJ,"Curtis Ortega																																						Jamie Hao																																						Anderson Hendrix","Neg																															Neg																															Neg","3-0																															NEG"
Strake Jesuit  SR,Greenhill VT,"Antonio Arguelles																																						Jack Quisenberry																																						Pranav Gorty","Neg																															Neg																															Neg","3-0																															NEG"
Strake Jesuit  KM,Strake Jesuit  LC,,Strake Jesuit  LC advances,Strake Jesuit  LC advances
