Aff,Neg,Judges,Votes,Win
Sehome RS,Dougherty Valley PN,"Arjun Rishi																																						Jackson White																																						Ashley Zhao","Neg																															Aff																															Aff","2-1																															AFF"
American Heritage Broward SM,BASIS Scottsdale SS,"Cyris Lim																																						Parker Klyn																																						Arrman Kapoor","Neg																															Neg																															Neg","3-0																															NEG"
Lake Highland Prep NA,American Heritage Broward ES,"Srividya Ravishankar																																						Jared Burke																																						Norma Delgado","Neg																															Aff																															Aff","2-1																															AFF"
Madison Central AA,Lexington AL,"Anthony Berryhill																																						Yesh Rao																																						Theo Khakoo","Neg																															Neg																															Neg","3-0																															NEG"
Isidore Newman WC,Dougherty Valley SL,"Ashton Spradling																																						Brian Manuel																																						Giovanny Zacarias","Neg																															Neg																															Neg","3-0																															NEG"
Southlake Carroll SK,Avon SJ,"Fariya Sharif																																						Anderson Hendrix																																						Brendan Finnegan","Aff																															Aff																															Neg","2-1																															AFF"
Berkeley Carroll JH,American Heritage Broward JG,"Ethan Chen																																						Conal Thomas-McGinnis																																						Kerry Xu","Aff																															Aff																															Neg","2-1																															AFF"
St Thomas CO,BASIS Silicon Valley VP,"Chloe Wolf																																						David Guidry																																						Michael Pulver","Neg																															Neg																															Aff","2-1																															NEG"
Polytechnic KK,Northwest JP,"Avery Wilson																																						Saied Beckford																																						Neel Kanamangala","Neg																															Neg																															Aff","2-1																															NEG"
ADL VK,Trojan Independent PM,"Cyrus Jackson																																						Jack Booth																																						Laura Huang","Neg																															Neg																															Neg","3-0																															NEG"
Memorial AW,Ardsley NN,"Joseph Barquin																																						Alexandra Mork																																						Luke Schooler","Aff																															Aff																															Aff","3-0																															AFF"
Millburn SK,Greenhill MA,"Chetan Hertzig																																						Jacob Nails																																						Lucky Chiniasye","Neg																															Neg																															Neg","3-0																															NEG"
Harvard-Westlake EY,Northwest WL,"Christopher Liu																																						Ryan Morgan																																						Dan Bagwell","Neg																															Neg																															Neg","3-0																															NEG"
Horace Greeley AM,Riverside Independent SH,"Leslie Carlson																																						Chris Arthur																																						Joey Antonelli","Neg																															Aff																															Aff","2-1																															AFF"
BASIS Silicon Valley YS,Northern Valley AC,"Mason Remaley																																						Neha Ajmera																																						David McGinnis","Aff																															Neg																															Neg","2-1																															NEG"
Colleyville Heritage CB,Lexington OO,"Scott Brown																																						Clay Stewart																																						David Jia","Neg																															Aff																															Neg","2-1																															NEG"
Northwood JS,Argument Institute AP,"Brice Ezell																																						Ayman Badawy																																						Isaiah Salgado","Neg																															Neg																															Neg","3-0																															NEG"
Cary Acad RP,Lake Highland Prep CB,"Manjunath Vasishta																																						Samantha McGee																																						Vimmy Pippari","Aff																															Aff																															Aff","3-0																															AFF"
Holy Trinity Episcopal AR,Iowa City West FH,"Eshan Ahmad																																						Ethan Ramos																																						Nicholas Diaz","Neg																															Neg																															Neg","3-0																															NEG"
Edgemont AP,Cary Acad LM,"Jai Sehgal																																						Aditya Shetty																																						Chelsea Hodgson","Aff																															Neg																															Neg","2-1																															NEG"
Monta Vista SC,Memorial CS,"Austin Thoma																																						Matt Casas																																						Grant Chmielewski","Neg																															Aff																															Neg","2-1																															NEG"
Harrison AZ,Northern Valley HK,"Deborah Wus																																						Shruti Pokharna																																						Ryan Curran","Aff																															Neg																															Aff","2-1																															AFF"
Greenhill OG,Brophy VW,"Patrick Hansen																																						Donald Broussard																																						Katerina Panagiotopoulos","Neg																															Neg																															Neg","3-0																															NEG"
Westwood DV,Woodlands Independent ML,"Eshaan Chachad																																						X Braithwaite																																						Lydia Aklilu","Aff																															Neg																															Aff","2-1																															AFF"
Mountain View AW,Ridge SK,"Elizabeth Nicaj																																						Ishan Rereddy																																						Vontrez White","Aff																															Neg																															Aff","2-1																															AFF"
Arizona  SZ,Papaya Valley SK,"Hana Abou Alaiwa																																						James Jude																																						Adam Fagel","Neg																															Neg																															Neg","3-0																															NEG"
Harvard-Westlake DB,Laurel CW,"Adam Kesselman																																						Eva Lamberson																																						Anika Mehra","Aff																															Aff																															Aff","3-0																															AFF"
Bronx Science SS,PV Independent CN,"Megan Waters																																						Lydia Wang																																						Andrew Zepeda Monroy","Neg																															Neg																															Neg","3-0																															NEG"
