Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Loyola JR,Little Rock Central YH,Bryce Sheffield,Neg,28.5,29.0
Westwood AV,Coppell ZM,Luke Schooler,Aff,28.0,27.0
Immaculate Heart OA,Plano West SG,Adam Lipton,Aff,28.8,28.7
Millard North KB,Harker RG,Pranav Sreenivas,Aff,29.4,28.8
Winston Churchill TC,Colleyville Heritage CB,DH Henderson,Neg,28.9,29.1
Greenhill DM,McNeil NV,Nate Watkins,Aff,29.7,29.6
Marlborough AM,Greenhill EX,Alexandra Mork,Aff,29.2,29.0
Barrington AC,Marlborough OO,Dylan Liu,Neg,29.8,29.9
Harvard-Westlake SB,Strake Jesuit  BB,Curtis Ortega,Aff,29.1,29.0
Greenhill AK,BASIS Silicon Valley JK,Samantha McLoughlin,Neg,28.9,29.0
Westwood DV,BASIS Silicon Valley VP,Chris Theis,Neg,28.7,29.0
Harvard-Westlake DB,Harker SG,Riley Rees,Aff,29.0,28.6
Meadows TB,Marlborough CS,Rodrigo Paramo,Aff,28.5,28.4
Elkins SS,Greenhill AN,Chris Castillo,Neg,28.7,28.8
Greenhill MA,Southlake Carroll AB,Nate Watkins,Neg,29.3,29.4
Greenhill VT,Loyola TH,Lawson Hudson,Neg,29.3,29.4
Westwood AT,Plano West RC,Ethan Chen,Neg,29.5,29.7
Clear Lake CW,Greenhill SK,Samantha McLoughlin,Neg,29.1,29.4
Clear Lake RZ,Plano West AR,Niko Sims,Neg,28.5,28.6
Strake Jesuit  MM,McNeil AS,Alice Waters,Neg,29.0,29.1
St Thomas CO,Strake Jesuit  NF,Ian Matuszeski,Aff,29.0,28.9
Strake Jesuit  LC,Harker AS,Kush Vijapure,Aff,28.9,28.8
Little Rock Central CS,Harvard-Westlake LS,Nigel Taylor-Ward,Neg,30.0,29.9
Marlborough LF,Harvard-Westlake KM,Tim Alderete,Neg,29.5,29.4
Jordan AT,Loyola MT,Jay Patel,Neg,29.0,29.8
Harvard-Westlake MR,Harker ID,Chris Theis,Neg,29.0,29.1
Marlborough ALo,Loyola ED,Andy Stubbs,Neg,29.3,29.2
Marlborough DK,Westwood AU,Alexandra Mork,Neg,28.5,28.9
Immaculate Heart ES,Strake Jesuit  SW,Christian Bohmer,Neg,29.1,29.2
Westwood TG,Immaculate Heart CJ,Joseph Hong,Neg,29.1,29.2
Plano West NS,Greenhill AG,Claudia Ribera,Aff,29.2,28.7
Immaculate Heart FD,Westwood AS,Chris Castillo,Neg,28.5,28.6
Jordan AS,Harker GN,Adam Torson,Neg,28.5,28.6
Strake Jesuit  AY,Harvard-Westlake OF,Andy Stubbs,Aff,29.1,29.0
Sonoma AM,Greenhill OG,Khamani Griffin,Aff,29.8,29.0
Harker TP,Strake Jesuit  JW,Elizabeth Elliott,Neg,28.9,29.0
Marlborough SM,Immaculate Heart OG,William Liu,Aff,29.2,28.7
Westwood SM,Coppell KT,Niko Sims,Neg,28.7,28.8
Portola JL,Rock Hill TI,Xain Bhagwandin,Neg,28.5,28.7
Immaculate Heart AE,Strake Jesuit  MMa,Aryan Jasani,Aff,29.1,29.0
Awty International DR,Marlborough LS,Quentin Clark,Neg,29.4,29.5
Kinkaid CM,Westwood AP,Amanda Ciocca,Aff,29.5,29.2
Harker SS,Marlborough AK,David Dosch,Aff,29.2,28.8
Loyola UT,Harker ASa,Aryan Jasani,Neg,29.0,29.1
Winston Churchill MH,Peninsula EE,DH Henderson,Aff,28.8,28.7
Cabot KB,Immaculate Heart NH,Pranav Sreenivas,Aff,29.7,29.4
Southlake Carroll IM,University AH,Ian Matuszeski,Aff,29.1,28.5
Little Rock Central GT,Harker LC,Avery Wilson,Neg,28.8,28.9
Marlborough RB,Southlake Carroll SK,David Dosch,Aff,28.8,28.6
