Aff,Neg,Judges,Votes,Win
Coppell KT,Phillips Exeter TH,"Elvis Pineda																																						Carlye Sanchez																																						Blake Ziegler","Aff																															Aff																															Aff","3-0																															AFF"
Sharks Independent WL,Papaya Valley SK,"Chloe Wolf																																						Ryan Morgan																																						David Jia","Neg																															Neg																															Aff","2-1																															NEG"
BASIS Silicon Valley VP,Riverside Independent SH,"Elizabeth Elliott																																						Sreenivasulu Kankanala																																						Misty Wang","Neg																															Neg																															Neg","3-0																															NEG"
Able2Shine MH,Horace Greeley SG,"Saied Beckford																																						Joel Henson																																						Brie Thomas McGinnis","Neg																															Neg																															Neg","3-0																															NEG"
Walt Whitman SC,Marlborough OO,"Hunniya Ahmad																																						Nicholas Ford																																						Isabella Maldia","Neg																															Neg																															Neg","3-0																															NEG"
Lynbrook BZ,Dougherty Valley SL,"Michael Brand																																						Amadea Datel																																						Pranjal Verma","Aff																															Aff																															Neg","2-1																															AFF"
Hunter AC,Loyola TH,"Riya Shenvi																																						Nelson Okunlola																																						Ronak Patel","Neg																															Neg																															Neg","3-0																															NEG"
Brearley IL,Northern Valley AC,"Daniel Medina																																						Martin Saenz																																						Justin Schnitzer","Neg																															Neg																															Neg","3-0																															NEG"
Millard North CB,Horace Greeley CC,"Drew Benthein																																						Jordan Brown																																						Jonathan Meza","Aff																															Neg																															Aff","2-1																															AFF"
Syosset AP,Phillips Exeter ES,"Zakai Petilon																																						Coralynn Yang																																						Dash Gilrain","Aff																															Neg																															Neg","2-1																															NEG"
Cabot KB,Westwood SM,"Joseph Barquin																																						Clement Agho-Otoghile																																						Briajia Levi","Aff																															Aff																															Aff","3-0																															AFF"
Sehome Independent RS,ADL VK,"Zhiying Hu																																						Ethan Chen																																						Faizaan Dossani","Neg																															Neg																															Neg","3-0																															NEG"
Veritas Independent TI,Awty International AZ,"Anderson Hendrix																																						Rowan MacLean																																						Michael Pulver","Neg																															Neg																															Neg","3-0																															NEG"
Memorial EJ,MSTW Independent AP,"Anthony Berryhill																																						Ishan Rereddy																																						Matt Casas","Aff																															Neg																															Aff","2-1																															AFF"
Kent Denver CM,Harvard-Westlake AS,"David Coates																																						Nethmin Liyanage																																						Holden Bukowsky","Neg																															Neg																															Neg","3-0																															NEG"
Altamont SB,St Thomas CO,"Garrett Bishop																																						Nathan Weimar																																						Reece Aguilar","Neg																															Neg																															Aff","2-1																															NEG"
West HS SLC LM,Lake Highland Prep NA,"Lydia Wang																																						Nate Graziano																																						David McGinnis","Aff																															Aff																															Neg","2-1																															AFF"
Interlake JP,Marlborough AK,"Cyrus Jackson																																						Lydia Aklilu																																						Shawn Lo","Aff																															Aff																															Aff","3-0																															AFF"
Lynbrook ST,Berkeley Carroll JH,"Andrew Park																																						Fiona Hu																																						Asher Meron","Neg																															Aff																															Neg","2-1																															NEG"
Clear Lake RZ,Ridge SK,"Grant Brown																																						Avery Wilson																																						Joseph Hong","Aff																															Aff																															Aff","3-0																															AFF"
Lynbrook AS,Gunn SP,"Ivan Lin																																						Gordon Krauss																																						David Guidry","Neg																															Neg																															Neg","3-0																															NEG"
Harvard-Westlake JW,Gabrielino OL,"Norma Delgado																																						Gerard Grigsby																																						Sonali Nicola","Neg																															Neg																															Neg","3-0																															NEG"
BASIS Scottsdale JV,Awty International DR,"Amanda Ciocca																																						Truman Le																																						Vontrez White","Neg																															Neg																															Neg","3-0																															NEG"
Ridge HK,Cherry Hill HS East CR,"Haiet Ashar																																						Lesly De Anda																																						Jacob Nails","Neg																															Aff																															Aff","2-1																															AFF"
Laurel CW,Clear Lake CW,"Denitsa Zvetkova																																						Adam Mimou																																						Jules Yang","Aff																															Aff																															Neg","2-1																															AFF"
Holy Trinity Episcopal CH,Edgemont AG,"Arjun Chopra																																						Brianna Aaron																																						Conal Thomas-McGinnis","Aff																															Aff																															Aff","3-0																															AFF"
Northland Christian LM,Sharks Independent KW,"Emilio Garza																																						Joseph Flores																																						Eva Lamberson","Aff																															Aff																															Aff","3-0																															AFF"
Brophy VW,Cary Acad LM,"Hunter Harwood																																						Michael Harris																																						Katerina Panagiotopoulos","Neg																															Aff																															Neg","2-1																															NEG"
Peninsula JE,Phillips Exeter JM,"Chansey Agler																																						Rob Sosa																																						Patrick Tapia","Aff																															Neg																															Aff","2-1																															AFF"
Langham Creek EY,Brophy NR,"Cindy Chanay																																						Patrick Fox																																						Isaiah Salgado","Aff																															Aff																															Aff","3-0																															AFF"
Horace Greeley AM,Dougherty Valley PN,"Madeline Hosking																																						Meryem Anderoglu																																						Judah Jones","Neg																															Aff																															Aff","2-1																															AFF"
Harvard-Westlake OF,Harvard-Westlake KM,,Harvard-Westlake KM advances,Harvard-Westlake KM advances
