Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Nova LD,Cosby MS,Arthur Kulawik,Aff,28.8,28.4
American Heritage Broward SL,Christopher Columbus TP,William Waddell,Neg,28.2,28.8
Nova AA,Lake Highland Prep AW,Reha Patel,Neg,30.0,30.0
Lake Highland Prep MD,West Broward NA,Shannon Bartram,Aff,29.0,28.5
Holy Trinity Episcopal CH,American Heritage Broward CM,Cyris Lim,Neg,28.9,28.8
American Heritage Broward JG,Robinson AD,Siddharth Sunkireddy,Neg,28.0,28.0
Lake Highland Prep SS,Bishop Moore Catholic BB,Grant Chmielewski,Aff,28.3,28.3
Lake Highland Prep JQ,Frazer LD,Rob Sosa,Aff,28.4,28.2
Bishop Moore Catholic CB,Cosby GM,Stephen Scopa,Aff,29.0,28.0
Park Vista CN,American Heritage Broward SA,Jenny Vidrine,Aff,30.0,28.5
American Heritage Broward MC,King DP,Deena McNamara,Neg,28.8,30.0
Newsome IG,Cosby AS,Judy Cheng,Aff,29.0,28.8
Fort Lauderdale CH,Pine View AE,Mason Cheng,Neg,28.6,28.7
Cypress Bay SS,Lake Highland Prep AM,Steven Sigler,Neg,29.0,28.5
Palm Beach Independent EW,American Heritage Broward KB,Kennedy Marrs,Aff,26.0,28.0
Frazer JR,Lake Highland Prep SM,Carlye Sanchez,Neg,28.6,28.6
John I Leonard AB,American Heritage Broward CA,Conal Thomas-McGinnis,Neg,28.0,30.0
Pine View BL,American Heritage Broward JC,Anna Dlugasch,Aff,29.1,28.8
American Heritage Broward ES,American Heritage Palm Beach AI,Victor Wildman,Neg,29.0,29.5
West Broward CC,American Heritage Palm Beach NI,Cora Ferguson,Aff,30.0,28.5
American Heritage Broward SM,Pine View BB,KJ Reese,Aff,29.4,28.8
Lake Highland Prep SR,King JM,Tristan Voss,Aff,29.3,29.2
West Broward PF,Lake Highland Prep AA,Sanghoon Park,Neg,28.6,28.7
Robinson BV,Fort Lauderdale AS,Rajan Sambandam,Aff,29.1,27.1
Oxbridge CC,Lake Highland Prep AC,Trevor Brewer,Aff,28.5,28.5
Lake Highland Prep CG,Holy Trinity Episcopal AR,Garrett Bishop,Neg,29.2,29.3
