Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Stuyvesant EJ,Bronx Science CH,Deborah Wus,Neg,28.7,29.7
Hill JG,Strake Jesuit  DV,James Grey,Aff,28.8,27.6
Bridgewater Raritan HK,Cumberland Valley NL,Alex Paul,Aff,28.7,28.3
Stuyvesant EL,Pennsbury PR,Jerry Sun,Aff,28.9,28.2
Bronx Science LS,Bridgewater Raritan MY,Avery Dover,Aff,29.7,28.6
Hamilton GJ,Strake Jesuit  MZ,Princeden Hom,Neg,28.7,28.8
Pennsbury SB,Lexington RI,Mohanraj Arunachalam,Neg,28.6,28.8
Bronx Science GG,Strake Jesuit  LC,Yin Thein,Neg,28.6,28.7
Pingry SH,Strath Haven LD,Campbell Haire,Aff,30.0,29.7
Strake Jesuit  SW,Lexington VZ,Rohan Mannathukkaran,Aff,28.0,28.0
Strake Jesuit  AY,Bronx Science KL,Xavier Phillip,Neg,28.9,29.2
Pennsbury AW,Garnet Valley NV,Jesse Laitman,Aff,29.8,29.0
Stuyvesant YL,Pennsbury AS,Nikhil Mehta,Neg,28.0,29.0
Pennsbury DD,Garnet Valley SA,Binu Balakrishnan,Aff,29.6,28.9
Bridgewater Raritan AM,Pennsbury LC,Angel Xiang,Aff,28.0,27.8
Lexington CS,Marriotts Ridge EL,Derrick Bean,Aff,29.0,28.0
Strath Haven NS,Bridgewater Raritan EC,Henry Ji,Aff,29.5,28.7
Bronx Science SS,Bridgewater Raritan MM,Aimee Trivino,Aff,28.5,28.4
BASIS Chandler WI,Millburn SK,abdullahi abdulazeez,Neg,28.4,29.2
Montville AS,Millburn VS,Swara Dasari,Aff,29.5,29.3
Strake Jesuit  NF,Lexington KZ,Alexander MacDonald,Aff,29.0,28.5
Strake Jesuit  EX,Bridgewater Raritan PM,Elesa Knowles,Aff,28.6,28.3
