Pro,Con,Judges,Votes,Win
Fairmont Prep CS,BASIS Peoria KC,"Adam Lipton																																						Gavin Serr																																						Bilal Faisal","Pro																															Pro																															Pro","3-0																															PRO"
Arizona  VV,Leland YJ,"Ethan Park																																						Sachin Chandra																																						Senthil Kumar Vijayakumar","Con																															Con																															Con","3-0																															CON"
Fairmont Prep PP,Archbishop Mitty SV,"Anna Zhang																																						Mukta Kulkarni																																						Charlie Walker","Pro																															Con																															Pro","2-1																															PRO"
Bellarmine  BI,National Debate Club (NDC) BI,"Ryan Graham																																						hoangtien la																																						Sudeep Vattikuti","Con																															Con																															Con","3-0																															CON"
Mountain House KP,Mountain View BS,"Jonathan Spencer																																						Young Cho																																						Cas Mulford","Pro																															Con																															Pro","2-1																															PRO"
Canyon Crest SR,Nueva MW,"Dens Sumesh																																						Jingai Wu																																						Brian Kelly","Pro																															Pro																															Con","2-1																															PRO"
College Prep DS,National Debate Club (NDC) HS,"Kevin Cisneros																																						Nick Kuminoff																																						Priya List","Con																															Pro																															Con","2-1																															CON"
BASIS Peoria LA,Awty International ZX,"Mariana Rai																																						Carla Ventura																																						Fallon Sullivan","Con																															Con																															Pro","2-1																															CON"
Arizona  AD,Strake Jesuit  CM,"Ryan Duan																																						Joshua Stinson																																						Shiv Kamble","Con																															Con																															Con","3-0																															CON"
Nueva ES,Fairmont Prep LS,"Anna Williams																																						Cale McCrary																																						Ishan Dubey","Pro																															Pro																															Pro","3-0																															PRO"
Magnolia YZ,Nueva YD,"Mizan Rahman																																						Crawford Leavoy																																						Naveen Karanam","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  LH,Golden State CZ,"Mike Bausch																																						Swadheen Gupta																																						Katheryne Dwyer","Pro																															Con																															Pro","2-1																															PRO"
Strake Jesuit  MS,Dougherty Valley WB,"Ronan Spencer																																						Yi Zhou																																						Abhijit Khare","Con																															Con																															Con","3-0																															CON"
Los Altos DD,Leland RM,"Jonathan MacMillan																																						Nathan Tanner																																						Spencer Balkenhol","Con																															Pro																															Pro","2-1																															PRO"
VDA - Vancouver ZT,Southlake Carroll GW,"Sky Juinio																																						Cayman Giordano																																						Mehul Lad","Con																															Con																															Pro","2-1																															CON"
Fairmont Prep PJ,Fairmont Prep KT,,Fairmont Prep KT advances,Fairmont Prep KT advances
