Aff,Neg,Judges,Votes,Win
Ivy HJ,Iowa City West EA,"Edward Rumbos-Perez																																						Charles Kishi																																						Daul Lakes","Neg																															Neg																															Neg","3-0																															NEG"
Potomac PL,Summit AH,"Nicoleta Enciu																																						David Luke																																						Ethan Ramos","Aff																															Neg																															Neg","2-1																															NEG"
Atlantic Independent CB,Harbinger SZ,"Uma Paleti																																						Alpesh Chokshi																																						Ayisha Umar","Aff																															Neg																															Neg","2-1																															NEG"
Potomac BP,Poolesville HD,"Beth Cole																																						Jai Sehgal																																						Claire Bockholt","Neg																															Neg																															Neg","3-0																															NEG"
VDA - Vancouver YL,Bergen HS,"Vinod Raina																																						Mohit JHAMB																																						Richard Li","Neg																															Neg																															Aff","2-1																															NEG"
National Debate Club (NDC) SH,Potomac SA,"Yakub Islamov																																						Jianli Yang																																						Lexie Malik","Aff																															Neg																															Aff","2-1																															AFF"
Ivy SC,Flintridge Prep LX,"Wenping Lu																																						Kaushik Sathiyandrakumar																																						Saanvi Goyal","Aff																															Aff																															Aff","3-0																															AFF"
Bergen HD,American Bicoastal Independent TM,"Wei Zhu																																						Josh Steinle																																						Janiel Victorino","Aff																															Aff																															Neg","2-1																															AFF"
North Allegheny GR,Brooks Debate Institute CP,"Wendy Meng																																						Louisa Yu																																						Porter Winterton","Aff																															Aff																															Aff","3-0																															AFF"
North Allegheny DD,New York State Independent CS,"Frida Ramirez																																						Lesly De Anda																																						Amanda Nobra","Neg																															Aff																															Aff","2-1																															AFF"
North Allegheny SN,Valley Oak PU,"Eduardo Garcia																																						Anne Smith																																						David Wise","Aff																															Aff																															Aff","3-0																															AFF"
Eden Prairie DV,National Debate Club (NDC) WR,"Daoshan Sun																																						Serhiy Hoshovsky																																						Charles Liang","Neg																															Aff																															Aff","2-1																															AFF"
Omega ZV,Canyon HS,"Deepali Mehrotra																																						giridaran sundararajan																																						Wynn Taylor","Neg																															Neg																															Neg","3-0																															NEG"
Dougherty Valley KT,North Allegheny AK,"Jing Jing Xiao																																						Jose Renteria																																						Curtis Jefferson","Neg																															Neg																															Aff","2-1																															NEG"
Westridge WC,Mountain House KP,"Rajasree Rajendran																																						Prab Kalra																																						Phani Uppalapati","Neg																															Neg																															Aff","2-1																															NEG"
Iowa City West GA,Delta WB,"Anna Zhang																																						Samuel Beach																																						Sreelatha Bheemidi","Aff																															Aff																															Neg","2-1																															AFF"
