Pro,Con,Judges,Votes,Win
NAVI NS,NS Independent SL,"Kaylyn Kim																																						Srihita Kotturi																																						Dan Crawford","Con																															Con																															Con","3-0																															CON"
NS Independent SoLu,Monte Vista VG,"Savitha Srivatsa																																						Pratiksha Nirmale																																						Alice Fomin","Con																															Con																															Con","3-0																															CON"
Windemere Ranch ADACC KB,Newton North ZA,"Wenping Lu																																						Luis Carvajal Picott																																						Joseph Alonso","Con																															Pro																															Pro","2-1																															PRO"
Blue Ridge CS,Argument Institute TM,"Femila Raja																																						Tony Wang																																						Charles Kishi","Con																															Con																															Pro","2-1																															CON"
NAVI KaHa,Mission San Jose SB,"Chetan Chandra																																						Jiten Dedhia																																						Rohit Krish","Con																															Con																															Con","3-0																															CON"
Jellyfish Independent WZ,Thomas Wootton Independent LP,"Deepak Khanna																																						Aiden Swartz																																						Lakshmi Priya Venkateshwar","Con																															Pro																															Con","2-1																															CON"
MSTW Independent SK,Mountain View SB,"Sonja Bekken																																						Tanishka Tomar																																						Hetal Gogri","Pro																															Pro																															Con","2-1																															PRO"
Monte Vista KP,Christopher Columbus CR,"Weiyao Xiao																																						Jasmine Park																																						Ping Luo","Con																															Con																															Con","3-0																															CON"
Bergen RS,Fairmont Prep JP,"Surabhi Bansal																																						Hari Nutakki																																						Gurmeet Sachdeva","Con																															Con																															Con","3-0																															CON"
Emerald AO,Christopher Columbus GG,"Aadil Ali																																						Beth Cole																																						Rajiv Kumar","Con																															Con																															Pro","2-1																															CON"
Monte Vista BM,American Heritage Palm Beach CR,"Raif Ahmed																																						Connor Wanless																																						Suchitra Tripathi","Pro																															Con																															Pro","2-1																															PRO"
NS Independent WX,MSTW Independent GK,"Nidhi Bhagat																																						Jayoung Han																																						Audrey Wang","Pro																															Pro																															Con","2-1																															PRO"
MSTW Independent PM,NS Independent LP,"Smitha Thota																																						Aaron Trujillo																																						Tejo Panini Nemalikanti","Pro																															Pro																															Pro","3-0																															PRO"
Livingston TN,Jellyfish Independent KW,"ashmita chauhan																																						Angad Virdi																																						Surabhi Marathe","Con																															Pro																															Pro","2-1																															PRO"
Monte Vista LH,Bergen County Academies PC,"Seshu Parepalli																																						Jeanne Jiang																																						Jesal Chopra","Pro																															Pro																															Pro","3-0																															PRO"
Westridge KP,Centennial KP,"Aanya Ghosh																																						Sherry Huang																																						Jayant Namdhari","Con																															Pro																															Con","2-1																															CON"
